image_id,split,class_id,class_name,file_name,original_path,cropped_path,true_color,conflict_color,truth_source,truth_status,acceptable_true_colors,review_status,review_notes,preliminary_color_guess,selection_rank,selection_bucket,selection_tier,quality_score,color_group,candidate_source,prior_issue_flag,reviewer_check_needed,include_in_analysis,include_in_primary_main_analysis,include_in_v2_auxiliary_analysis,exclusion_reason,notes
test_06328,test,176,Rolls-Royce Ghost Sedan 2012,test_06328.jpg,data/raw/stanford_cars/cars_test/06328.jpg,data/processed/stanford_cars/clean_crops/test_06328.jpg,blue,red,manual_review_v3,excluded_after_manual_review_v3,,manual_review_excluded_v3,codex_single_review_contact_sheet_confirmed: reviewed=blue,blue,,manual_review_excluded_v3,manual_review_excluded_v3,0.8313,blue,manual_review_v3,no,yes,no,no,no,ambiguous_after_manual_review,"codex_single_review_contact_sheet_confirmed: reviewed=blue | codex_single_review_contact_sheet_confirmed: reviewed=blue | body_core=chromatic; top_scores=[('blue', 522.1971382498741), ('red', 0.18918778002262115)]; dominant_share=0.347"
test_06708,test,94,Dodge Durango SUV 2012,test_06708.jpg,data/raw/stanford_cars/cars_test/06708.jpg,data/processed/stanford_cars/clean_crops/test_06708.jpg,black,white,manual_review_v3,excluded_after_manual_review_v3,,manual_review_excluded_v3,prior_issue_flag | codex_second_review_correction: reviewed=blue -> black; reason=other_wrong_audit,blue,,manual_review_excluded_v3,manual_review_excluded_v3,0.7908,black,manual_review_v3,yes,yes,no,no,no,ambiguous_after_manual_review,"prior_issue_flag | codex_second_review_correction: reviewed=blue -> black; reason=other_wrong_audit | prior_issue_flag | codex_second_review_correction: reviewed=blue -> black; reason=other_wrong_audit | body_core=chromatic; top_scores=[('blue', 184.22441636770964), ('orange', 27.526088774204254)]; dominant_share=0.397"
test_06787,test,144,Jaguar XK XKR 2012,test_06787.jpg,data/raw/stanford_cars/cars_test/06787.jpg,data/processed/stanford_cars/clean_crops/test_06787.jpg,black,white,manual_review_v3,excluded_after_manual_review_v3,,manual_review_excluded_v3,prior_issue_flag | codex_second_review_correction: reviewed=red -> black; reason=other_wrong_audit,red,,manual_review_excluded_v3,manual_review_excluded_v3,0.8111,black,manual_review_v3,yes,yes,no,no,no,ambiguous_after_manual_review,"prior_issue_flag | codex_second_review_correction: reviewed=red -> black; reason=other_wrong_audit | prior_issue_flag | codex_second_review_correction: reviewed=red -> black; reason=other_wrong_audit | body_core=chromatic; top_scores=[('red', 52.2631563693285), ('brown', 10.427747465670109)]; dominant_share=0.508"
test_07319,test,153,Lamborghini Diablo Coupe 2001,test_07319.jpg,data/raw/stanford_cars/cars_test/07319.jpg,data/processed/stanford_cars/clean_crops/test_07319.jpg,white,black,manual_review_v3,manual_expansion_excluded_v3,,manual_expansion_excluded_v3,expansion_candidate_rejected_gold_beige_after_manual_review,white,,manual_expansion_excluded_v3,do_not_use_in_formal_v3,0.7643,white,clean_subset_manual_review_v3,no,no,no,no,no,expansion_candidate_rejected_gold_beige_after_manual_review,do_not_use_in_formal_v3 | quality_score=0.7643; color_confidence=0.832; background_complexity=0.4293; foreground_dominant_share=0.2381
test_07434,test,115,Ford Focus Sedan 2007,test_07434.jpg,data/raw/stanford_cars/cars_test/07434.jpg,data/processed/stanford_cars/clean_crops/test_07434.jpg,blue,red,manual_review_v3,manual_expansion_excluded_v3,,manual_expansion_excluded_v3,expansion_candidate_rejected_white_after_manual_review,blue,,manual_expansion_excluded_v3,do_not_use_in_formal_v3,0.7596,blue,clean_subset_manual_review_v3,no,no,no,no,no,expansion_candidate_rejected_white_after_manual_review,do_not_use_in_formal_v3 | quality_score=0.7596; color_confidence=0.929; background_complexity=0.5296; foreground_dominant_share=0.1501
test_07887,test,132,Hyundai Tucson SUV 2012,test_07887.jpg,data/raw/stanford_cars/cars_test/07887.jpg,data/processed/stanford_cars/clean_crops/test_07887.jpg,blue,red,manual_review_v3,manual_expansion_excluded_v3,,manual_expansion_excluded_v3,expansion_candidate_rejected_silver_after_manual_review,blue,,manual_expansion_excluded_v3,do_not_use_in_formal_v3,0.7615,blue,clean_subset_manual_review_v3,no,no,no,no,no,expansion_candidate_rejected_silver_after_manual_review,do_not_use_in_formal_v3 | quality_score=0.7615; color_confidence=0.947; background_complexity=0.5021; foreground_dominant_share=0.2258
test_07916,test,167,Mitsubishi Lancer Sedan 2012,test_07916.jpg,data/raw/stanford_cars/cars_test/07916.jpg,data/processed/stanford_cars/clean_crops/test_07916.jpg,blue,red,manual_review_v3,manual_expansion_excluded_v3,,manual_expansion_excluded_v3,expansion_candidate_rejected_white_after_manual_review,blue,,manual_expansion_excluded_v3,do_not_use_in_formal_v3,0.7626,blue,clean_subset_manual_review_v3,no,no,no,no,no,expansion_candidate_rejected_white_after_manual_review,do_not_use_in_formal_v3 | quality_score=0.7626; color_confidence=0.949; background_complexity=0.3782; foreground_dominant_share=0.1243
train_00043,train,119,GMC Savana Van 2012,train_00043.jpg,data/raw/stanford_cars/cars_train/00043.jpg,data/processed/stanford_cars/clean_crops/train_00043.jpg,blue,red,manual_review_v3,manual_expansion_excluded_v3,,manual_expansion_excluded_v3,expansion_candidate_rejected_silver_after_manual_review,blue,,manual_expansion_excluded_v3,do_not_use_in_formal_v3,0.7688,blue,clean_subset_manual_review_v3,no,no,no,no,no,expansion_candidate_rejected_silver_after_manual_review,do_not_use_in_formal_v3 | quality_score=0.7688; color_confidence=0.91; background_complexity=0.4909; foreground_dominant_share=0.1135
train_01346,train,13,Audi A5 Coupe 2012,train_01346.jpg,data/raw/stanford_cars/cars_train/01346.jpg,data/processed/stanford_cars/clean_crops/train_01346.jpg,black,white,manual_review_v3,excluded_after_manual_review_v3,,manual_review_excluded_v3,prior_issue_flag | reviewer_check_needed | codex_single_review_contact_sheet_correction: provisional=other -> reviewed=black | residual_black_vehicle_misread_after_v2_refresh,other,,manual_review_excluded_v3,manual_review_excluded_v3,0.7898,black,manual_review_v3,yes,yes,no,no,no,ambiguous_after_manual_review,"prior_issue_flag | reviewer_check_needed | codex_single_review_contact_sheet_correction: provisional=other -> reviewed=black | residual_black_vehicle_misread_after_v2_refresh | prior_issue_flag | reviewer_check_needed | codex_single_review_contact_sheet_correction: provisional=other -> reviewed=black | residual_black_vehicle_misread_after_v2_refresh | body_core=chromatic; top_scores=[('orange', 68.24114067107439), ('red', 37.50356621295214)]; dominant_share=0.518"
train_02068,train,16,Audi V8 Sedan 1994,train_02068.jpg,data/raw/stanford_cars/cars_train/02068.jpg,data/processed/stanford_cars/clean_crops/train_02068.jpg,blue,red,manual_review_v3,manual_expansion_excluded_v3,,manual_expansion_excluded_v3,expansion_candidate_rejected_black_after_manual_review,blue,,manual_expansion_excluded_v3,do_not_use_in_formal_v3,0.7796,blue,clean_subset_manual_review_v3,no,no,no,no,no,expansion_candidate_rejected_black_after_manual_review,do_not_use_in_formal_v3 | quality_score=0.7796; color_confidence=0.911; background_complexity=0.6073; foreground_dominant_share=0.1262
train_02754,train,139,Hyundai Elantra Touring Hatchback 2012,train_02754.jpg,data/raw/stanford_cars/cars_train/02754.jpg,data/processed/stanford_cars/clean_crops/train_02754.jpg,blue,red,manual_review_v3,manual_expansion_excluded_v3,,manual_expansion_excluded_v3,expansion_candidate_rejected_silver_after_manual_review,blue,,manual_expansion_excluded_v3,do_not_use_in_formal_v3,0.7606,blue,clean_subset_manual_review_v3,no,no,no,no,no,expansion_candidate_rejected_silver_after_manual_review,do_not_use_in_formal_v3 | quality_score=0.7606; color_confidence=0.959; background_complexity=0.33; foreground_dominant_share=0.2349
train_04054,train,36,BMW M6 Convertible 2010,train_04054.jpg,data/raw/stanford_cars/cars_train/04054.jpg,data/processed/stanford_cars/clean_crops/train_04054.jpg,blue,red,manual_review_v3,excluded_after_manual_review_v3,,manual_review_excluded_v3,,blue,,manual_review_excluded_v3,manual_review_excluded_v3,0.7692,blue,manual_review_v3,no,yes,no,no,no,ambiguous_after_manual_review,"body_core=chromatic; top_scores=[('blue', 6389.880797289312), ('red', 4.0514587461948395)]; dominant_share=0.192"
train_04428,train,14,Audi TTS Coupe 2012,train_04428.jpg,data/raw/stanford_cars/cars_train/04428.jpg,data/processed/stanford_cars/clean_crops/train_04428.jpg,blue,red,manual_review_v3,manual_expansion_excluded_v3,,manual_expansion_excluded_v3,expansion_candidate_rejected_not_confidently_blue_after_manual_review,blue,,manual_expansion_excluded_v3,do_not_use_in_formal_v3,0.7818,blue,clean_subset_manual_review_v3,no,no,no,no,no,expansion_candidate_rejected_not_confidently_blue_after_manual_review,do_not_use_in_formal_v3 | quality_score=0.7818; color_confidence=0.938; background_complexity=0.549; foreground_dominant_share=0.0621
train_05810,train,70,Chevrolet Silverado 1500 Classic Extended Cab 2007,train_05810.jpg,data/raw/stanford_cars/cars_train/05810.jpg,data/processed/stanford_cars/clean_crops/train_05810.jpg,blue,red,manual_review_v3,manual_expansion_excluded_v3,,manual_expansion_excluded_v3,expansion_candidate_rejected_white_after_manual_review,blue,,manual_expansion_excluded_v3,do_not_use_in_formal_v3,0.7652,blue,clean_subset_manual_review_v3,no,no,no,no,no,expansion_candidate_rejected_white_after_manual_review,do_not_use_in_formal_v3 | quality_score=0.7652; color_confidence=0.952; background_complexity=0.6048; foreground_dominant_share=0.1215
train_06119,train,85,Dodge Caravan Minivan 1997,train_06119.jpg,data/raw/stanford_cars/cars_train/06119.jpg,data/processed/stanford_cars/clean_crops/train_06119.jpg,blue,red,manual_review_v3,manual_expansion_excluded_v3,,manual_expansion_excluded_v3,expansion_candidate_rejected_maroon_after_manual_review,blue,,manual_expansion_excluded_v3,do_not_use_in_formal_v3,0.7797,blue,clean_subset_manual_review_v3,no,no,no,no,no,expansion_candidate_rejected_maroon_after_manual_review,do_not_use_in_formal_v3 | quality_score=0.7797; color_confidence=0.937; background_complexity=0.5926; foreground_dominant_share=0.1016
train_07422,train,120,GMC Yukon Hybrid SUV 2012,train_07422.jpg,data/raw/stanford_cars/cars_train/07422.jpg,data/processed/stanford_cars/clean_crops/train_07422.jpg,black,white,manual_review_v3,excluded_after_manual_review_v3,,manual_review_excluded_v3,,black,,manual_review_excluded_v3,manual_review_excluded_v3,0.762,black,manual_review_v3,no,yes,no,no,no,ambiguous_after_manual_review,body_core=neutral_dark; dark_neutral=0.471; dominant_share=0.373
train_07923,train,95,Dodge Durango SUV 2007,train_07923.jpg,data/raw/stanford_cars/cars_train/07923.jpg,data/processed/stanford_cars/clean_crops/train_07923.jpg,blue,red,manual_review_v3,manual_expansion_excluded_v3,,manual_expansion_excluded_v3,expansion_candidate_rejected_black_after_manual_review,blue,,manual_expansion_excluded_v3,do_not_use_in_formal_v3,0.7736,blue,clean_subset_manual_review_v3,no,no,no,no,no,expansion_candidate_rejected_black_after_manual_review,do_not_use_in_formal_v3 | quality_score=0.7736; color_confidence=0.943; background_complexity=0.5866; foreground_dominant_share=0.1584
