image_id,split,class_id,class_name,file_name,original_path,cropped_path,true_color,conflict_color,truth_source,acceptable_true_colors,review_status,review_notes,preliminary_color_guess,selection_rank,selection_bucket,quality_score,prior_issue_flag,reviewer_check_needed,include_in_primary_main_analysis,include_in_v2_auxiliary_analysis,exclusion_reason,notes
test_06418,test,145,Jeep Patriot SUV 2012,test_06418.jpg,data/raw/stanford_cars/cars_test/06418.jpg,data/processed/stanford_cars/clean_crops/test_06418.jpg,other,red,reviewed,,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=other,other,39,quality_ranked_fill,0.8063,no,yes,no,no,ambiguous_true_color_excluded:other,reviewer_check_needed | codex_single_review_contact_sheet_confirmed: reviewed=other
test_06909,test,185,Tesla Model S Sedan 2012,test_06909.jpg,data/raw/stanford_cars/cars_test/06909.jpg,data/processed/stanford_cars/clean_crops/test_06909.jpg,silver,blue,reviewed,white,codex_second_review_boundary_case,codex_second_review_boundary_case: reviewed=silver; acceptable_true_colors=white,gray,37,quality_ranked_fill,0.8073,yes,yes,no,no,ambiguous_true_color_excluded:silver,prior_issue_flag | reviewer_check_needed | codex_second_review_boundary_case: reviewed=silver; acceptable_true_colors=white
train_00483,train,90,Dodge Dakota Crew Cab 2010,train_00483.jpg,data/raw/stanford_cars/cars_train/00483.jpg,data/processed/stanford_cars/clean_crops/train_00483.jpg,other,red,reviewed,,codex_single_review_corrected,codex_single_review_contact_sheet_correction: provisional=yellow -> reviewed=other,yellow,51,guaranteed_yellow,0.8032,yes,yes,no,no,ambiguous_true_color_excluded:other,prior_issue_flag | reviewer_check_needed | codex_single_review_contact_sheet_correction: provisional=yellow -> reviewed=other
train_01310,train,172,Plymouth Neon Coupe 1999,train_01310.jpg,data/raw/stanford_cars/cars_train/01310.jpg,data/processed/stanford_cars/clean_crops/train_01310.jpg,green,yellow,reviewed,,codex_second_review_corrected,codex_second_review_correction: reviewed=blue -> green; reason=other_wrong_audit,blue,101,quality_ranked_fill,0.7878,yes,no,no,no,dark_low_saturation_color_boundary_case,prior_issue_flag | codex_second_review_correction: reviewed=blue -> green; reason=other_wrong_audit
train_01358,train,59,Chevrolet Camaro Convertible 2012,train_01358.jpg,data/raw/stanford_cars/cars_train/01358.jpg,data/processed/stanford_cars/clean_crops/train_01358.jpg,silver,blue,reviewed,gray,codex_second_review_boundary_case,codex_second_review_boundary_case: reviewed=silver; acceptable_true_colors=gray,gray,106,quality_ranked_fill,0.7871,yes,yes,no,no,ambiguous_true_color_excluded:silver,prior_issue_flag | reviewer_check_needed | codex_second_review_boundary_case: reviewed=silver; acceptable_true_colors=gray
train_01446,train,144,Jaguar XK XKR 2012,train_01446.jpg,data/raw/stanford_cars/cars_train/01446.jpg,data/processed/stanford_cars/clean_crops/train_01446.jpg,silver,blue,reviewed,,codex_single_review_corrected,codex_single_review_contact_sheet_correction: provisional=white -> reviewed=silver,white,7,quality_ranked_fill,0.853,yes,yes,no,no,ambiguous_true_color_excluded:silver,prior_issue_flag | reviewer_check_needed | codex_single_review_contact_sheet_correction: provisional=white -> reviewed=silver | persistent_silver_white_boundary_after_v2_refresh
train_02408,train,154,Land Rover Range Rover SUV 2012,train_02408.jpg,data/raw/stanford_cars/cars_train/02408.jpg,data/processed/stanford_cars/clean_crops/train_02408.jpg,green,yellow,reviewed,,codex_second_review_corrected,codex_second_review_correction: reviewed=blue -> green; reason=other_wrong_audit,blue,109,quality_ranked_fill,0.7869,yes,no,no,no,dark_low_saturation_color_boundary_case,prior_issue_flag | codex_second_review_correction: reviewed=blue -> green; reason=other_wrong_audit
train_02901,train,37,BMW X3 SUV 2012,train_02901.jpg,data/raw/stanford_cars/cars_train/02901.jpg,data/processed/stanford_cars/clean_crops/train_02901.jpg,silver,blue,reviewed,,codex_single_review_corrected,codex_single_review_contact_sheet_correction: provisional=gray -> reviewed=silver,gray,42,quality_ranked_fill,0.8059,yes,no,no,no,ambiguous_true_color_excluded:silver,prior_issue_flag | codex_single_review_contact_sheet_correction: provisional=gray -> reviewed=silver
train_03515,train,144,Jaguar XK XKR 2012,train_03515.jpg,data/raw/stanford_cars/cars_train/03515.jpg,data/processed/stanford_cars/clean_crops/train_03515.jpg,silver,blue,reviewed,,codex_single_review_corrected,codex_single_review_contact_sheet_correction: provisional=white -> reviewed=silver,white,99,quality_ranked_fill,0.788,yes,no,no,no,ambiguous_true_color_excluded:silver,prior_issue_flag | codex_single_review_contact_sheet_correction: provisional=white -> reviewed=silver
train_05584,train,34,BMW M3 Coupe 2012,train_05584.jpg,data/raw/stanford_cars/cars_train/05584.jpg,data/processed/stanford_cars/clean_crops/train_05584.jpg,silver,blue,reviewed,gray,codex_second_review_boundary_case,codex_second_review_boundary_case: reviewed=silver; acceptable_true_colors=gray,blue,22,quality_ranked_fill,0.8164,yes,yes,no,no,ambiguous_true_color_excluded:silver,prior_issue_flag | reviewer_check_needed | codex_second_review_boundary_case: reviewed=silver; acceptable_true_colors=gray
train_06345,train,52,Cadillac SRX SUV 2012,train_06345.jpg,data/raw/stanford_cars/cars_train/06345.jpg,data/processed/stanford_cars/clean_crops/train_06345.jpg,gray,red,reviewed,,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=gray,gray,49,quality_ranked_fill,0.804,no,no,no,no,ambiguous_true_color_excluded:gray,codex_single_review_contact_sheet_confirmed: reviewed=gray
train_06380,train,160,McLaren MP4-12C Coupe 2012,train_06380.jpg,data/raw/stanford_cars/cars_train/06380.jpg,data/processed/stanford_cars/clean_crops/train_06380.jpg,other,red,reviewed,,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=other,other,2,guaranteed_other,0.8751,no,yes,no,no,ambiguous_true_color_excluded:other,reviewer_check_needed | codex_single_review_contact_sheet_confirmed: reviewed=other
