image_id,split,class_id,class_name,file_name,original_path,cropped_path,width,height,quality_score,color_confidence,background_complexity,foreground_dominant_share,preliminary_color_guess,selection_rank,selection_bucket,selection_notes,split_or_subset
test_05126,test,140,Hyundai Azera Sedan 2012,test_05126.jpg,data/raw/stanford_cars/cars_test/05126.jpg,data/processed/stanford_cars/clean_crops/test_05126.jpg,415,256,0.9028,0.98,0.5765,0.642,blue,1,guaranteed_blue,subset=stanford_cars_clean_main120; color=blue; quality_score=0.9028; bucket=guaranteed_blue,stanford_cars_clean_main120
test_07373,test,149,Jeep Compass SUV 2012,test_07373.jpg,data/raw/stanford_cars/cars_test/07373.jpg,data/processed/stanford_cars/clean_crops/test_07373.jpg,455,256,0.8276,0.825,0.6873,0.4317,black,12,quality_ranked_fill,subset=stanford_cars_clean_main120; color=black; quality_score=0.8276; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_07372,test,36,BMW M6 Convertible 2010,test_07372.jpg,data/raw/stanford_cars/cars_test/07372.jpg,data/processed/stanford_cars/clean_crops/test_07372.jpg,391,256,0.824,0.884,0.3457,0.4577,black,13,quality_ranked_fill,subset=stanford_cars_clean_main120; color=black; quality_score=0.824; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_06383,test,44,Bentley Continental Flying Spur Sedan 2007,test_06383.jpg,data/raw/stanford_cars/cars_test/06383.jpg,data/processed/stanford_cars/clean_crops/test_06383.jpg,405,256,0.8239,0.865,0.658,0.3723,white,14,quality_ranked_fill,subset=stanford_cars_clean_main120; color=white; quality_score=0.8239; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_02608,train,76,Chrysler Aspen SUV 2009,train_02608.jpg,data/raw/stanford_cars/cars_train/02608.jpg,data/processed/stanford_cars/clean_crops/train_02608.jpg,450,256,0.8216,0.953,0.5792,0.2596,red,15,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.8216; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_07332,train,94,Dodge Durango SUV 2012,train_07332.jpg,data/raw/stanford_cars/cars_train/07332.jpg,data/processed/stanford_cars/clean_crops/train_07332.jpg,418,256,0.8211,0.948,0.5007,0.2495,red,16,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.8211; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_03820,train,164,Mercedes-Benz E-Class Sedan 2012,train_03820.jpg,data/raw/stanford_cars/cars_train/03820.jpg,data/processed/stanford_cars/clean_crops/train_03820.jpg,419,256,0.8195,0.848,0.5682,0.3438,black,17,quality_ranked_fill,subset=stanford_cars_clean_main120; color=black; quality_score=0.8195; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_03234,test,159,Mazda Tribute SUV 2011,test_03234.jpg,data/raw/stanford_cars/cars_test/03234.jpg,data/processed/stanford_cars/clean_crops/test_03234.jpg,526,256,0.8184,0.792,0.1054,0.2393,gray,18,guaranteed_gray,subset=stanford_cars_clean_main120; color=gray; quality_score=0.8184; bucket=guaranteed_gray,stanford_cars_clean_main120
test_04952,test,81,Chrysler PT Cruiser Convertible 2008,test_04952.jpg,data/raw/stanford_cars/cars_test/04952.jpg,data/processed/stanford_cars/clean_crops/test_04952.jpg,401,256,0.8183,0.858,0.5691,0.3986,black,19,quality_ranked_fill,subset=stanford_cars_clean_main120; color=black; quality_score=0.8183; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_01144,train,190,Volkswagen Golf Hatchback 2012,train_01144.jpg,data/raw/stanford_cars/cars_train/01144.jpg,data/processed/stanford_cars/clean_crops/train_01144.jpg,384,256,0.8181,0.951,0.0958,0.1013,red,20,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.8181; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_05058,train,33,BMW X6 SUV 2012,train_05058.jpg,data/raw/stanford_cars/cars_train/05058.jpg,data/processed/stanford_cars/clean_crops/train_05058.jpg,385,256,0.8165,0.94,0.3607,0.1093,red,21,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.8165; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_05584,train,34,BMW M3 Coupe 2012,train_05584.jpg,data/raw/stanford_cars/cars_train/05584.jpg,data/processed/stanford_cars/clean_crops/train_05584.jpg,445,256,0.8164,0.949,0.4572,0.2021,blue,22,quality_ranked_fill,subset=stanford_cars_clean_main120; color=blue; quality_score=0.8164; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_04796,train,107,Ford Mustang Convertible 2007,train_04796.jpg,data/raw/stanford_cars/cars_train/04796.jpg,data/processed/stanford_cars/clean_crops/train_04796.jpg,468,256,0.8159,0.938,0.3485,0.062,red,23,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.8159; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_03809,train,155,Land Rover LR2 SUV 2012,train_03809.jpg,data/raw/stanford_cars/cars_train/03809.jpg,data/processed/stanford_cars/clean_crops/train_03809.jpg,394,256,0.8156,0.94,0.3626,0.1466,red,24,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.8156; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_07139,train,64,Chevrolet Express Cargo Van 2007,train_07139.jpg,data/raw/stanford_cars/cars_train/07139.jpg,data/processed/stanford_cars/clean_crops/train_07139.jpg,356,256,0.8152,0.852,0.422,0.2805,gray,25,guaranteed_gray,subset=stanford_cars_clean_main120; color=gray; quality_score=0.8152; bucket=guaranteed_gray,stanford_cars_clean_main120
test_01536,test,146,Jeep Wrangler SUV 2012,test_01536.jpg,data/raw/stanford_cars/cars_test/01536.jpg,data/processed/stanford_cars/clean_crops/test_01536.jpg,448,256,0.8149,0.82,0.0376,0.1109,gray,26,quality_ranked_fill,subset=stanford_cars_clean_main120; color=gray; quality_score=0.8149; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_04125,train,159,Mazda Tribute SUV 2011,train_04125.jpg,data/raw/stanford_cars/cars_train/04125.jpg,data/processed/stanford_cars/clean_crops/train_04125.jpg,347,256,0.8141,0.949,0.0432,0.0963,red,27,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.8141; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_06787,test,144,Jaguar XK XKR 2012,test_06787.jpg,data/raw/stanford_cars/cars_test/06787.jpg,data/processed/stanford_cars/clean_crops/test_06787.jpg,385,256,0.8111,0.895,0.5406,0.368,red,28,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.8111; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_00601,test,81,Chrysler PT Cruiser Convertible 2008,test_00601.jpg,data/raw/stanford_cars/cars_test/00601.jpg,data/processed/stanford_cars/clean_crops/test_00601.jpg,396,256,0.8109,0.866,0.0669,0.3945,blue,29,quality_ranked_fill,subset=stanford_cars_clean_main120; color=blue; quality_score=0.8109; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_05003,test,56,Chevrolet Corvette ZR1 2012,test_05003.jpg,data/raw/stanford_cars/cars_test/05003.jpg,data/processed/stanford_cars/clean_crops/test_05003.jpg,408,256,0.8108,0.937,0.4026,0.0542,blue,30,quality_ranked_fill,subset=stanford_cars_clean_main120; color=blue; quality_score=0.8108; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_03602,test,111,Ford Ranger SuperCab 2011,test_03602.jpg,data/raw/stanford_cars/cars_test/03602.jpg,data/processed/stanford_cars/clean_crops/test_03602.jpg,419,256,0.8105,0.829,0.6812,0.3649,black,31,quality_ranked_fill,subset=stanford_cars_clean_main120; color=black; quality_score=0.8105; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_04145,test,195,Volvo XC90 SUV 2007,test_04145.jpg,data/raw/stanford_cars/cars_test/04145.jpg,data/processed/stanford_cars/clean_crops/test_04145.jpg,473,256,0.81,0.913,0.4122,0.1993,other,32,quality_ranked_fill,subset=stanford_cars_clean_main120; color=other; quality_score=0.81; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_05992,test,194,Volvo 240 Sedan 1993,test_05992.jpg,data/raw/stanford_cars/cars_test/05992.jpg,data/processed/stanford_cars/clean_crops/test_05992.jpg,346,256,0.809,0.906,0.4902,0.2548,red,33,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.809; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_03893,test,95,Dodge Durango SUV 2007,test_03893.jpg,data/raw/stanford_cars/cars_test/03893.jpg,data/processed/stanford_cars/clean_crops/test_03893.jpg,427,256,0.8088,0.944,0.4368,0.0904,red,34,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.8088; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_05272,train,21,Audi S5 Convertible 2012,train_05272.jpg,data/raw/stanford_cars/cars_train/05272.jpg,data/processed/stanford_cars/clean_crops/train_05272.jpg,373,256,0.808,0.961,0.0881,0.1839,blue,35,quality_ranked_fill,subset=stanford_cars_clean_main120; color=blue; quality_score=0.808; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_03801,test,155,Land Rover LR2 SUV 2012,test_03801.jpg,data/raw/stanford_cars/cars_test/03801.jpg,data/processed/stanford_cars/clean_crops/test_03801.jpg,400,256,0.8073,0.886,0.6521,0.4832,blue,36,quality_ranked_fill,subset=stanford_cars_clean_main120; color=blue; quality_score=0.8073; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_06909,test,185,Tesla Model S Sedan 2012,test_06909.jpg,data/raw/stanford_cars/cars_test/06909.jpg,data/processed/stanford_cars/clean_crops/test_06909.jpg,427,256,0.8073,0.82,0.1007,0.1411,gray,37,quality_ranked_fill,subset=stanford_cars_clean_main120; color=gray; quality_score=0.8073; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_00966,train,27,BMW 1 Series Convertible 2012,train_00966.jpg,data/raw/stanford_cars/cars_train/00966.jpg,data/processed/stanford_cars/clean_crops/train_00966.jpg,415,256,0.8065,0.94,0.4524,0.0842,red,38,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.8065; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_06418,test,145,Jeep Patriot SUV 2012,test_06418.jpg,data/raw/stanford_cars/cars_test/06418.jpg,data/processed/stanford_cars/clean_crops/test_06418.jpg,480,256,0.8063,0.799,0.0548,0.0813,other,39,quality_ranked_fill,subset=stanford_cars_clean_main120; color=other; quality_score=0.8063; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_06865,test,97,Dodge Charger SRT-8 2009,test_06865.jpg,data/raw/stanford_cars/cars_test/06865.jpg,data/processed/stanford_cars/clean_crops/test_06865.jpg,419,256,0.8061,0.946,0.447,0.0785,red,40,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.8061; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_03269,test,126,Honda Odyssey Minivan 2012,test_03269.jpg,data/raw/stanford_cars/cars_test/03269.jpg,data/processed/stanford_cars/clean_crops/test_03269.jpg,388,256,0.8059,0.939,0.4454,0.0922,blue,41,quality_ranked_fill,subset=stanford_cars_clean_main120; color=blue; quality_score=0.8059; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_02901,train,37,BMW X3 SUV 2012,train_02901.jpg,data/raw/stanford_cars/cars_train/02901.jpg,data/processed/stanford_cars/clean_crops/train_02901.jpg,384,256,0.8059,0.811,0.3874,0.2706,gray,42,quality_ranked_fill,subset=stanford_cars_clean_main120; color=gray; quality_score=0.8059; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_06420,test,112,Ford GT Coupe 2006,test_06420.jpg,data/raw/stanford_cars/cars_test/06420.jpg,data/processed/stanford_cars/clean_crops/test_06420.jpg,455,256,0.8056,0.942,0.4575,0.1567,red,43,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.8056; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_02117,train,153,Lamborghini Diablo Coupe 2001,train_02117.jpg,data/raw/stanford_cars/cars_train/02117.jpg,data/processed/stanford_cars/clean_crops/train_02117.jpg,410,256,0.8053,0.949,0.4933,0.1027,yellow,44,guaranteed_yellow,subset=stanford_cars_clean_main120; color=yellow; quality_score=0.8053; bucket=guaranteed_yellow,stanford_cars_clean_main120
train_01610,train,40,Bentley Arnage Sedan 2009,train_01610.jpg,data/raw/stanford_cars/cars_train/01610.jpg,data/processed/stanford_cars/clean_crops/train_01610.jpg,417,256,0.8051,0.833,0.5941,0.3181,red,45,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.8051; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_01593,test,169,Nissan NV Passenger Van 2012,test_01593.jpg,data/raw/stanford_cars/cars_test/01593.jpg,data/processed/stanford_cars/clean_crops/test_01593.jpg,406,256,0.8048,0.948,0.4932,0.1468,red,46,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.8048; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_01195,test,195,Volvo XC90 SUV 2007,test_01195.jpg,data/raw/stanford_cars/cars_test/01195.jpg,data/processed/stanford_cars/clean_crops/test_01195.jpg,432,256,0.8046,0.807,0.0908,0.1298,gray,47,quality_ranked_fill,subset=stanford_cars_clean_main120; color=gray; quality_score=0.8046; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_05653,train,90,Dodge Dakota Crew Cab 2010,train_05653.jpg,data/raw/stanford_cars/cars_train/05653.jpg,data/processed/stanford_cars/clean_crops/train_05653.jpg,362,256,0.8042,0.947,0.4893,0.1078,blue,48,quality_ranked_fill,subset=stanford_cars_clean_main120; color=blue; quality_score=0.8042; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_06345,train,52,Cadillac SRX SUV 2012,train_06345.jpg,data/raw/stanford_cars/cars_train/06345.jpg,data/processed/stanford_cars/clean_crops/train_06345.jpg,355,256,0.804,0.813,0.1939,0.3099,gray,49,quality_ranked_fill,subset=stanford_cars_clean_main120; color=gray; quality_score=0.804; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_06150,train,169,Nissan NV Passenger Van 2012,train_06150.jpg,data/raw/stanford_cars/cars_train/06150.jpg,data/processed/stanford_cars/clean_crops/train_06150.jpg,382,256,0.8033,0.777,0.4059,0.312,other,50,quality_ranked_fill,subset=stanford_cars_clean_main120; color=other; quality_score=0.8033; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_00483,train,90,Dodge Dakota Crew Cab 2010,train_00483.jpg,data/raw/stanford_cars/cars_train/00483.jpg,data/processed/stanford_cars/clean_crops/train_00483.jpg,455,256,0.8032,0.943,0.4803,0.1266,yellow,51,guaranteed_yellow,subset=stanford_cars_clean_main120; color=yellow; quality_score=0.8032; bucket=guaranteed_yellow,stanford_cars_clean_main120
test_01672,test,149,Jeep Compass SUV 2012,test_01672.jpg,data/raw/stanford_cars/cars_test/01672.jpg,data/processed/stanford_cars/clean_crops/test_01672.jpg,455,256,0.8031,0.935,0.4636,0.0997,red,52,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.8031; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_03891,test,97,Dodge Charger SRT-8 2009,test_03891.jpg,data/raw/stanford_cars/cars_test/03891.jpg,data/processed/stanford_cars/clean_crops/test_03891.jpg,386,256,0.8029,0.946,0.5189,0.0639,blue,53,quality_ranked_fill,subset=stanford_cars_clean_main120; color=blue; quality_score=0.8029; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_08107,train,79,Chrysler 300 SRT-8 2010,train_08107.jpg,data/raw/stanford_cars/cars_train/08107.jpg,data/processed/stanford_cars/clean_crops/train_08107.jpg,417,256,0.8028,0.879,0.4875,0.4525,black,54,quality_ranked_fill,subset=stanford_cars_clean_main120; color=black; quality_score=0.8028; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_01497,test,121,GMC Acadia SUV 2012,test_01497.jpg,data/raw/stanford_cars/cars_test/01497.jpg,data/processed/stanford_cars/clean_crops/test_01497.jpg,396,256,0.8026,0.829,0.3863,0.2502,gray,55,quality_ranked_fill,subset=stanford_cars_clean_main120; color=gray; quality_score=0.8026; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_07371,train,84,Dodge Caliber Wagon 2007,train_07371.jpg,data/raw/stanford_cars/cars_train/07371.jpg,data/processed/stanford_cars/clean_crops/train_07371.jpg,419,256,0.802,0.923,0.442,0.0956,red,56,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.802; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_00771,train,168,Nissan Leaf Hatchback 2012,train_00771.jpg,data/raw/stanford_cars/cars_train/00771.jpg,data/processed/stanford_cars/clean_crops/train_00771.jpg,385,256,0.8013,0.946,0.5121,0.0664,blue,57,quality_ranked_fill,subset=stanford_cars_clean_main120; color=blue; quality_score=0.8013; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_03590,test,196,smart fortwo Convertible 2012,test_03590.jpg,data/raw/stanford_cars/cars_test/03590.jpg,data/processed/stanford_cars/clean_crops/test_03590.jpg,367,256,0.801,0.953,0.2637,0.1327,red,58,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.801; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_00211,train,176,Rolls-Royce Ghost Sedan 2012,train_00211.jpg,data/raw/stanford_cars/cars_train/00211.jpg,data/processed/stanford_cars/clean_crops/train_00211.jpg,392,256,0.801,0.833,0.6154,0.3233,blue,59,quality_ranked_fill,subset=stanford_cars_clean_main120; color=blue; quality_score=0.801; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_01104,test,56,Chevrolet Corvette ZR1 2012,test_01104.jpg,data/raw/stanford_cars/cars_test/01104.jpg,data/processed/stanford_cars/clean_crops/test_01104.jpg,409,256,0.8008,0.832,0.2436,0.196,gray,60,quality_ranked_fill,subset=stanford_cars_clean_main120; color=gray; quality_score=0.8008; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_06344,test,153,Lamborghini Diablo Coupe 2001,test_06344.jpg,data/raw/stanford_cars/cars_test/06344.jpg,data/processed/stanford_cars/clean_crops/test_06344.jpg,384,256,0.8007,0.946,0.4287,0.0779,yellow,61,quality_ranked_fill,subset=stanford_cars_clean_main120; color=yellow; quality_score=0.8007; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_05596,test,135,Hyundai Elantra Sedan 2007,test_05596.jpg,data/raw/stanford_cars/cars_test/05596.jpg,data/processed/stanford_cars/clean_crops/test_05596.jpg,420,256,0.8003,0.946,0.2978,0.1194,red,62,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.8003; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_07040,test,53,Cadillac Escalade EXT Crew Cab 2007,test_07040.jpg,data/raw/stanford_cars/cars_test/07040.jpg,data/processed/stanford_cars/clean_crops/test_07040.jpg,382,256,0.8001,0.825,0.5984,0.4022,green,63,guaranteed_green,subset=stanford_cars_clean_main120; color=green; quality_score=0.8001; bucket=guaranteed_green,stanford_cars_clean_main120
test_03550,test,144,Jaguar XK XKR 2012,test_03550.jpg,data/raw/stanford_cars/cars_test/03550.jpg,data/processed/stanford_cars/clean_crops/test_03550.jpg,378,256,0.7999,0.944,0.597,0.49,red,64,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.7999; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_04688,test,103,Ferrari 458 Italia Convertible 2012,test_04688.jpg,data/raw/stanford_cars/cars_test/04688.jpg,data/processed/stanford_cars/clean_crops/test_04688.jpg,386,256,0.7987,0.958,0.541,0.1579,red,65,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.7987; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_02679,test,139,Hyundai Elantra Touring Hatchback 2012,test_02679.jpg,data/raw/stanford_cars/cars_test/02679.jpg,data/processed/stanford_cars/clean_crops/test_02679.jpg,439,256,0.7984,0.951,0.4051,0.153,red,66,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.7984; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_03419,test,191,Volkswagen Golf Hatchback 1991,test_03419.jpg,data/raw/stanford_cars/cars_test/03419.jpg,data/processed/stanford_cars/clean_crops/test_03419.jpg,378,256,0.7983,0.947,0.3284,0.0669,red,67,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.7983; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_03771,train,162,Mercedes-Benz C-Class Sedan 2012,train_03771.jpg,data/raw/stanford_cars/cars_train/03771.jpg,data/processed/stanford_cars/clean_crops/train_03771.jpg,397,256,0.7982,0.912,0.4709,0.0726,red,68,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.7982; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_00516,test,29,BMW 3 Series Sedan 2012,test_00516.jpg,data/raw/stanford_cars/cars_test/00516.jpg,data/processed/stanford_cars/clean_crops/test_00516.jpg,367,256,0.7981,0.92,0.3508,0.0769,red,69,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.7981; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_05360,test,24,Audi S4 Sedan 2007,test_05360.jpg,data/raw/stanford_cars/cars_test/05360.jpg,data/processed/stanford_cars/clean_crops/test_05360.jpg,435,256,0.7979,0.844,0.479,0.2497,black,70,quality_ranked_fill,subset=stanford_cars_clean_main120; color=black; quality_score=0.7979; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_02405,test,85,Dodge Caravan Minivan 1997,test_02405.jpg,data/raw/stanford_cars/cars_test/02405.jpg,data/processed/stanford_cars/clean_crops/test_02405.jpg,433,256,0.7977,0.93,0.5142,0.0663,red,71,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.7977; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_02205,train,68,Chevrolet TrailBlazer SS 2009,train_02205.jpg,data/raw/stanford_cars/cars_train/02205.jpg,data/processed/stanford_cars/clean_crops/train_02205.jpg,360,256,0.7975,0.897,0.4652,0.4157,black,72,quality_ranked_fill,subset=stanford_cars_clean_main120; color=black; quality_score=0.7975; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_07222,test,97,Dodge Charger SRT-8 2009,test_07222.jpg,data/raw/stanford_cars/cars_test/07222.jpg,data/processed/stanford_cars/clean_crops/test_07222.jpg,456,256,0.7969,0.945,0.5756,0.1247,blue,73,quality_ranked_fill,subset=stanford_cars_clean_main120; color=blue; quality_score=0.7969; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_05942,train,68,Chevrolet TrailBlazer SS 2009,train_05942.jpg,data/raw/stanford_cars/cars_train/05942.jpg,data/processed/stanford_cars/clean_crops/train_05942.jpg,410,256,0.7968,0.86,0.431,0.2279,white,74,quality_ranked_fill,subset=stanford_cars_clean_main120; color=white; quality_score=0.7968; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_06365,train,172,Plymouth Neon Coupe 1999,train_06365.jpg,data/raw/stanford_cars/cars_train/06365.jpg,data/processed/stanford_cars/clean_crops/train_06365.jpg,415,256,0.7966,0.945,0.5769,0.0703,red,75,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.7966; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_02396,train,87,Dodge Ram Pickup 3500 Quad Cab 2009,train_02396.jpg,data/raw/stanford_cars/cars_train/02396.jpg,data/processed/stanford_cars/clean_crops/train_02396.jpg,382,256,0.7959,0.957,0.4903,0.1417,red,76,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.7959; bucket=quality_ranked_fill,stanford_cars_clean_main120
