image_id,split,class_id,class_name,file_name,source_image_path,original_path,cropped_path,width,height,original_width,original_height,bbox,bbox_xywh,bbox_area_ratio,bbox_width,bbox_height,aspect_ratio,crop_box,crop_width,crop_height,crop_fill_ratio,target_short_edge,cropped_width,cropped_height,true_color,estimated_color,preliminary_color_guess,color_confidence,needs_manual_review,foreground_dominant_share,background_complexity,quality_score,keep,drop,keep_or_drop,keep_reason,passed_clean_filters,filter_fail_reasons,crop_source,mask_source,focus_pixel_count,score_summary,notes,manual_exclusion_reason,duplicate_group_id,duplicate_canonical_image_id
test_00079,test,63,Chevrolet Sonic Sedan 2012,test_00079.jpg,data/raw/stanford_cars/cars_test/00079.jpg,data/raw/stanford_cars/cars_test/00079.jpg,,1024,573,1024,573,"[144, 117, 871, 527]","[144, 117, 727, 410]",0.508,727,410,1.7732,"[13, 43, 1002, 573]",989,530,0.5687,256,,,gray,gray,gray,0.767,0,0.0753,0.5929,0.6224,0,1,drop,rank_below_keep_cutoff,1,,bbox,bbox_body_core,,body_core=neutral_mid; total_neutral=0.667; mean_value=0.594; dominant_share=0.072,body_core=neutral_mid; total_neutral=0.667; mean_value=0.594; dominant_share=0.072,,,
test_00089,test,192,Volkswagen Beetle Hatchback 2012,test_00089.jpg,data/raw/stanford_cars/cars_test/00089.jpg,data/raw/stanford_cars/cars_test/00089.jpg,,1024,686,1024,686,"[82, 95, 970, 596]","[82, 95, 888, 501]",0.6333,888,501,1.7725,"[0, 5, 1024, 686]",1024,681,0.638,256,,,red,red,red,0.937,0,0.0859,0.6253,0.7069,0,1,drop,rank_below_keep_cutoff,1,,bbox,bbox_body_core,,"body_core=chromatic; top_scores=[('red', 8857.422807961702), ('blue', 280.66929791867733)]; dominant_share=0.126","body_core=chromatic; top_scores=[('red', 8857.422807961702), ('blue', 280.66929791867733)]; dominant_share=0.126",,,
test_00093,test,82,Daewoo Nubira Wagon 2002,test_00093.jpg,data/raw/stanford_cars/cars_test/00093.jpg,data/raw/stanford_cars/cars_test/00093.jpg,,800,533,800,533,"[70, 110, 759, 506]","[70, 110, 689, 396]",0.6399,689,396,1.7399,"[0, 39, 800, 533]",800,494,0.6904,256,,,blue,blue,blue,0.943,0,0.1134,0.7082,0.7298,0,1,drop,rank_below_keep_cutoff,1,,bbox,bbox_body_core,,"body_core=chromatic; top_scores=[('blue', 2596.616241492331), ('green', 50.281653463840485)]; dominant_share=0.148","body_core=chromatic; top_scores=[('blue', 2596.616241492331), ('green', 50.281653463840485)]; dominant_share=0.148",,,
test_00099,test,152,Lamborghini Gallardo LP 570-4 Superleggera 2012,test_00099.jpg,data/raw/stanford_cars/cars_test/00099.jpg,data/raw/stanford_cars/cars_test/00099.jpg,,950,648,950,648,"[47, 115, 920, 614]","[47, 115, 873, 499]",0.7076,873,499,1.7495,"[0, 25, 950, 648]",950,623,0.736,256,,,green,green,green,0.718,0,0.1753,0.523,0.712,0,1,drop,rank_below_keep_cutoff,1,,bbox,bbox_body_core,,"body_core=chromatic; top_scores=[('green', 2722.6127126961946), ('yellow', 2288.5544189736247)]; dominant_share=0.294","body_core=chromatic; top_scores=[('green', 2722.6127126961946), ('yellow', 2288.5544189736247)]; dominant_share=0.294",,,
test_00101,test,189,Toyota 4Runner SUV 2012,test_00101.jpg,data/raw/stanford_cars/cars_test/00101.jpg,data/raw/stanford_cars/cars_test/00101.jpg,,640,480,640,480,"[29, 87, 618, 421]","[29, 87, 589, 334]",0.6404,589,334,1.7635,"[0, 27, 640, 480]",640,453,0.6786,256,,,blue,blue,blue,0.942,0,0.1383,0.4276,0.7513,0,1,drop,rank_below_keep_cutoff,1,,bbox,bbox_body_core,,"body_core=chromatic; top_scores=[('blue', 935.4338926896453), ('orange', 33.52597323060036)]; dominant_share=0.218","body_core=chromatic; top_scores=[('blue', 935.4338926896453), ('orange', 33.52597323060036)]; dominant_share=0.218",,,
test_00116,test,154,Land Rover Range Rover SUV 2012,test_00116.jpg,data/raw/stanford_cars/cars_test/00116.jpg,data/raw/stanford_cars/cars_test/00116.jpg,,640,480,640,480,"[59, 150, 611, 458]","[59, 150, 552, 308]",0.5534,552,308,1.7922,"[0, 95, 640, 480]",640,385,0.69,256,,,blue,blue,blue,0.907,0,0.2666,0.6541,0.753,0,1,drop,rank_below_keep_cutoff,1,,bbox,bbox_body_core,,"body_core=chromatic; top_scores=[('blue', 779.7535509541631), ('orange', 102.63855709135532)]; dominant_share=0.314","body_core=chromatic; top_scores=[('blue', 779.7535509541631), ('orange', 102.63855709135532)]; dominant_share=0.314",,,
test_00122,test,120,GMC Yukon Hybrid SUV 2012,test_00122.jpg,data/raw/stanford_cars/cars_test/00122.jpg,data/raw/stanford_cars/cars_test/00122.jpg,,720,479,720,479,"[61, 124, 628, 427]","[61, 124, 567, 303]",0.4981,567,303,1.8713,"[0, 69, 720, 479]",720,410,0.582,256,,,blue,blue,blue,0.943,0,0.1001,0.4604,0.6916,0,1,drop,rank_below_keep_cutoff,1,,bbox,bbox_body_core,,"body_core=chromatic; top_scores=[('blue', 2068.4351666271687), ('orange', 25.299042493104935)]; dominant_share=0.124","body_core=chromatic; top_scores=[('blue', 2068.4351666271687), ('orange', 25.299042493104935)]; dominant_share=0.124",,,
test_00123,test,57,Chevrolet Corvette Ron Fellows Edition Z06 2007,test_00123.jpg,data/raw/stanford_cars/cars_test/00123.jpg,data/raw/stanford_cars/cars_test/00123.jpg,,640,480,640,480,"[18, 77, 617, 403]","[18, 77, 599, 326]",0.6357,599,326,1.8374,"[0, 18, 640, 462]",640,444,0.6872,256,,,white,white,white,0.87,0,0.133,0.5321,0.7257,0,1,drop,rank_below_keep_cutoff,1,,bbox,bbox_body_core,,body_core=neutral_bright; bright_neutral=0.720; dominant_share=0.216,body_core=neutral_bright; bright_neutral=0.720; dominant_share=0.216,,,
test_00133,test,23,Audi S4 Sedan 2012,test_00133.jpg,data/raw/stanford_cars/cars_test/00133.jpg,data/raw/stanford_cars/cars_test/00133.jpg,,750,469,750,469,"[54, 94, 611, 393]","[54, 94, 557, 299]",0.4735,557,299,1.8629,"[0, 40, 711, 447]",711,407,0.5755,256,,,blue,blue,blue,0.936,0,0.1155,0.7553,0.6566,0,1,drop,rank_below_keep_cutoff,1,,bbox,bbox_body_core,,"body_core=chromatic; top_scores=[('blue', 2709.7888822183013), ('red', 57.44996136426926)]; dominant_share=0.078","body_core=chromatic; top_scores=[('blue', 2709.7888822183013), ('red', 57.44996136426926)]; dominant_share=0.078",,,
test_00136,test,109,Ford Expedition EL SUV 2009,test_00136.jpg,data/raw/stanford_cars/cars_test/00136.jpg,data/raw/stanford_cars/cars_test/00136.jpg,,800,600,800,600,"[61, 103, 751, 472]","[61, 103, 690, 369]",0.5304,690,369,1.8699,"[0, 37, 800, 538]",800,501,0.6353,256,,,blue,blue,blue,0.951,0,0.137,0.6106,0.7097,0,1,drop,rank_below_keep_cutoff,1,,bbox,bbox_body_core,,"body_core=chromatic; top_scores=[('blue', 1093.0839963108301), ('red', 6.516028307378292)]; dominant_share=0.183","body_core=chromatic; top_scores=[('blue', 1093.0839963108301), ('red', 6.516028307378292)]; dominant_share=0.183",,,
test_00146,test,154,Land Rover Range Rover SUV 2012,test_00146.jpg,data/raw/stanford_cars/cars_test/00146.jpg,data/raw/stanford_cars/cars_test/00146.jpg,,640,480,640,480,"[30, 85, 609, 397]","[30, 85, 579, 312]",0.588,579,312,1.8558,"[0, 29, 640, 453]",640,424,0.6657,256,,,gray,gray,gray,0.795,0,0.3887,0.5116,0.7585,0,1,drop,rank_below_keep_cutoff,1,,bbox,bbox_body_core,,body_core=neutral_mid; total_neutral=0.592; mean_value=0.200; dominant_share=0.482,body_core=neutral_mid; total_neutral=0.592; mean_value=0.200; dominant_share=0.482,,,
test_00156,test,172,Plymouth Neon Coupe 1999,test_00156.jpg,data/raw/stanford_cars/cars_test/00156.jpg,data/raw/stanford_cars/cars_test/00156.jpg,,1600,1200,1600,1200,"[217, 277, 1366, 895]","[217, 277, 1149, 618]",0.3698,1149,618,1.8592,"[10, 166, 1573, 1006]",1563,840,0.5408,256,,,gray,gray,gray,0.766,0,0.0768,0.6121,0.6033,0,1,drop,rank_below_keep_cutoff,1,,bbox,bbox_body_core,,body_core=neutral_mid; total_neutral=0.638; mean_value=0.564; dominant_share=0.114,body_core=neutral_mid; total_neutral=0.638; mean_value=0.564; dominant_share=0.114,,,
test_00163,test,45,Bugatti Veyron 16.4 Convertible 2009,test_00163.jpg,data/raw/stanford_cars/cars_test/00163.jpg,data/raw/stanford_cars/cars_test/00163.jpg,,1280,782,1280,782,"[130, 88, 1086, 646]","[130, 88, 956, 558]",0.5329,956,558,1.7133,"[0, 0, 1258, 746]",1258,746,0.5684,256,,,gray,gray,gray,0.81,0,0.2281,0.5359,0.6533,0,1,drop,rank_below_keep_cutoff,1,,bbox,bbox_body_core,,body_core=neutral_mid; total_neutral=0.799; mean_value=0.556; dominant_share=0.265,body_core=neutral_mid; total_neutral=0.799; mean_value=0.556; dominant_share=0.265,,,
test_00181,test,31,BMW 6 Series Convertible 2007,test_00181.jpg,data/raw/stanford_cars/cars_test/00181.jpg,data/raw/stanford_cars/cars_test/00181.jpg,,600,450,600,450,"[16, 63, 598, 372]","[16, 63, 582, 309]",0.6661,582,309,1.8835,"[0, 7, 600, 428]",600,421,0.7119,256,,,white,white,white,0.823,0,0.1601,0.6129,0.7177,0,1,drop,rank_below_keep_cutoff,1,,bbox,bbox_body_core,,body_core=neutral_bright; bright_neutral=0.468; dominant_share=0.242,body_core=neutral_bright; bright_neutral=0.468; dominant_share=0.242,,,
test_00183,test,2,Acura RL Sedan 2012,test_00183.jpg,data/raw/stanford_cars/cars_test/00183.jpg,data/raw/stanford_cars/cars_test/00183.jpg,,640,450,640,450,"[27, 82, 618, 400]","[27, 82, 591, 318]",0.6526,591,318,1.8585,"[0, 25, 640, 450]",640,425,0.6909,256,,,gray,gray,gray,0.793,0,0.1082,0.5022,0.7088,0,1,drop,rank_below_keep_cutoff,1,,bbox,bbox_body_core,,body_core=neutral_mid; total_neutral=0.784; mean_value=0.507; dominant_share=0.118,body_core=neutral_mid; total_neutral=0.784; mean_value=0.507; dominant_share=0.118,,,
test_00209,test,87,Dodge Ram Pickup 3500 Quad Cab 2009,test_00209.jpg,data/raw/stanford_cars/cars_test/00209.jpg,data/raw/stanford_cars/cars_test/00209.jpg,data/processed/stanford_cars/clean_crops/test_00209.jpg,640,480,640,480,"[15, 74, 625, 413]","[15, 74, 610, 339]",0.6731,610,339,1.7994,"[0, 13, 640, 474]",640,461,0.7009,256,355,256,gray,gray,gray,0.797,0,0.2688,0.0635,0.7885,1,0,keep,top_quality_subset,1,,bbox,bbox_body_core,,body_core=neutral_mid; total_neutral=0.729; mean_value=0.468; dominant_share=0.262,body_core=neutral_mid; total_neutral=0.729; mean_value=0.468; dominant_share=0.262,,,
test_00232,test,10,Aston Martin Virage Convertible 2012,test_00232.jpg,data/raw/stanford_cars/cars_test/00232.jpg,data/raw/stanford_cars/cars_test/00232.jpg,,640,427,640,427,"[43, 36, 609, 355]","[43, 36, 566, 319]",0.6607,566,319,1.7743,"[0, 0, 640, 412]",640,412,0.6847,256,,,gray,gray,gray,0.787,0,0.1424,0.5934,0.6952,0,1,drop,rank_below_keep_cutoff,1,,bbox,bbox_body_core,,body_core=neutral_mid; total_neutral=0.752; mean_value=0.435; dominant_share=0.114,body_core=neutral_mid; total_neutral=0.752; mean_value=0.435; dominant_share=0.114,,,
test_00233,test,51,Cadillac CTS-V Sedan 2012,test_00233.jpg,data/raw/stanford_cars/cars_test/00233.jpg,data/raw/stanford_cars/cars_test/00233.jpg,,640,426,640,426,"[20, 65, 628, 393]","[20, 65, 608, 328]",0.7315,608,328,1.8537,"[0, 6, 640, 426]",640,420,0.7419,256,,,gray,gray,gray,0.801,0,0.1324,0.6185,0.729,0,1,drop,rank_below_keep_cutoff,1,,bbox,bbox_body_core,,body_core=neutral_mid; total_neutral=0.798; mean_value=0.449; dominant_share=0.175,body_core=neutral_mid; total_neutral=0.798; mean_value=0.449; dominant_share=0.175,,,
test_00246,test,67,Chevrolet Malibu Hybrid Sedan 2010,test_00246.jpg,data/raw/stanford_cars/cars_test/00246.jpg,data/raw/stanford_cars/cars_test/00246.jpg,,640,480,640,480,"[31, 91, 618, 398]","[31, 91, 587, 307]",0.5866,587,307,1.9121,"[0, 36, 640, 453]",640,417,0.6752,256,,,blue,blue,blue,0.95,0,0.1333,0.587,0.7339,0,1,drop,rank_below_keep_cutoff,1,,bbox,bbox_body_core,,"body_core=chromatic; top_scores=[('blue', 956.0155494138598), ('green', 1.2028232663869858)]; dominant_share=0.126","body_core=chromatic; top_scores=[('blue', 956.0155494138598), ('green', 1.2028232663869858)]; dominant_share=0.126",,,
test_00247,test,182,Suzuki Kizashi Sedan 2012,test_00247.jpg,data/raw/stanford_cars/cars_test/00247.jpg,data/raw/stanford_cars/cars_test/00247.jpg,data/processed/stanford_cars/clean_crops/test_00247.jpg,630,420,630,420,"[42, 78, 598, 405]","[42, 78, 556, 327]",0.6871,556,327,1.7003,"[0, 19, 630, 420]",630,401,0.7197,256,402,256,red,red,red,0.947,0,0.0984,0.5686,0.7607,1,0,keep,top_quality_subset,1,,bbox,bbox_body_core,,"body_core=chromatic; top_scores=[('red', 10034.63220757246), ('orange', 95.69681665301323)]; dominant_share=0.134","body_core=chromatic; top_scores=[('red', 10034.63220757246), ('orange', 95.69681665301323)]; dominant_share=0.134",,,
test_00257,test,130,Hyundai Veloster Hatchback 2012,test_00257.jpg,data/raw/stanford_cars/cars_test/00257.jpg,data/raw/stanford_cars/cars_test/00257.jpg,,1600,1067,1600,1067,"[79, 146, 1529, 993]","[79, 146, 1450, 847]",0.7194,1450,847,1.7119,"[0, 0, 1600, 1067]",1600,1067,0.7194,256,,,white,white,white,0.827,0,0.1535,0.4634,0.7378,0,1,drop,rank_below_keep_cutoff,1,,bbox,bbox_body_core,,body_core=neutral_bright; bright_neutral=0.497; dominant_share=0.227,body_core=neutral_bright; bright_neutral=0.497; dominant_share=0.227,,,
test_00258,test,127,Honda Odyssey Minivan 2007,test_00258.jpg,data/raw/stanford_cars/cars_test/00258.jpg,data/raw/stanford_cars/cars_test/00258.jpg,,640,480,640,480,"[39, 80, 606, 393]","[39, 80, 567, 313]",0.5777,567,313,1.8115,"[0, 24, 640, 449]",640,425,0.6525,256,,,blue,blue,blue,0.942,0,0.0658,0.4835,0.7313,0,1,drop,rank_below_keep_cutoff,1,,bbox,bbox_body_core,,"body_core=chromatic; top_scores=[('blue', 967.9277300536633), ('red', 11.365315437316895)]; dominant_share=0.080","body_core=chromatic; top_scores=[('blue', 967.9277300536633), ('red', 11.365315437316895)]; dominant_share=0.080",,,
test_00261,test,172,Plymouth Neon Coupe 1999,test_00261.jpg,data/raw/stanford_cars/cars_test/00261.jpg,data/raw/stanford_cars/cars_test/00261.jpg,,640,480,640,480,"[39, 72, 602, 403]","[39, 72, 563, 331]",0.6066,563,331,1.7009,"[0, 12, 640, 463]",640,451,0.6456,256,,,red,red,red,0.942,0,0.0553,0.5601,0.7173,0,1,drop,rank_below_keep_cutoff,1,,bbox,bbox_body_core,,"body_core=chromatic; top_scores=[('red', 8965.089622661471), ('blue', 109.03799737244844)]; dominant_share=0.089","body_core=chromatic; top_scores=[('red', 8965.089622661471), ('blue', 109.03799737244844)]; dominant_share=0.089",,,
test_00294,test,14,Audi TTS Coupe 2012,test_00294.jpg,data/raw/stanford_cars/cars_test/00294.jpg,data/raw/stanford_cars/cars_test/00294.jpg,data/processed/stanford_cars/clean_crops/test_00294.jpg,1024,640,1024,640,"[67, 118, 959, 617]","[67, 118, 892, 499]",0.6792,892,499,1.7876,"[0, 28, 1024, 640]",1024,612,0.7103,256,428,256,gray,gray,gray,0.814,0,0.2853,0.4962,0.7602,1,0,keep,top_quality_subset,1,,bbox,bbox_body_core,,body_core=neutral_mid; total_neutral=0.808; mean_value=0.503; dominant_share=0.282,body_core=neutral_mid; total_neutral=0.808; mean_value=0.503; dominant_share=0.282,,,
test_00338,test,193,Volvo C30 Hatchback 2012,test_00338.jpg,data/raw/stanford_cars/cars_test/00338.jpg,data/raw/stanford_cars/cars_test/00338.jpg,,2000,1320,2000,1320,"[195, 232, 1760, 1153]","[195, 232, 1565, 921]",0.546,1565,921,1.6992,"[0, 66, 2000, 1319]",2000,1253,0.5752,256,,,red,red,red,0.947,0,0.146,0.4686,0.6871,0,1,drop,rank_below_keep_cutoff,1,,bbox,bbox_body_core,,"body_core=chromatic; top_scores=[('red', 8673.038105741143), ('orange', 67.95832855254412)]; dominant_share=0.135","body_core=chromatic; top_scores=[('red', 8673.038105741143), ('orange', 67.95832855254412)]; dominant_share=0.135",,,
test_00346,test,167,Mitsubishi Lancer Sedan 2012,test_00346.jpg,data/raw/stanford_cars/cars_test/00346.jpg,data/raw/stanford_cars/cars_test/00346.jpg,,1600,1200,1600,1200,"[165, 255, 1390, 968]","[165, 255, 1225, 713]",0.4549,1225,713,1.7181,"[0, 127, 1600, 1096]",1600,969,0.5634,256,,,gray,gray,gray,0.831,0,0.1697,0.5002,0.6451,0,1,drop,rank_below_keep_cutoff,1,,bbox,bbox_body_core,,body_core=neutral_mid; total_neutral=0.951; mean_value=0.567; dominant_share=0.200,body_core=neutral_mid; total_neutral=0.951; mean_value=0.567; dominant_share=0.200,,,
test_00365,test,53,Cadillac Escalade EXT Crew Cab 2007,test_00365.jpg,data/raw/stanford_cars/cars_test/00365.jpg,data/raw/stanford_cars/cars_test/00365.jpg,data/processed/stanford_cars/clean_crops/test_00365.jpg,640,428,640,428,"[2, 98, 629, 426]","[2, 98, 627, 328]",0.7508,627,328,1.9116,"[0, 39, 640, 428]",640,389,0.8261,256,421,256,blue,blue,blue,0.946,0,0.1326,0.6423,0.7879,1,0,keep,top_quality_subset,1,,bbox,bbox_body_core,,"body_core=chromatic; top_scores=[('blue', 8169.538671076298), ('orange', 59.98671846091747)]; dominant_share=0.121","body_core=chromatic; top_scores=[('blue', 8169.538671076298), ('orange', 59.98671846091747)]; dominant_share=0.121",,,
test_00366,test,110,Ford Edge SUV 2012,test_00366.jpg,data/raw/stanford_cars/cars_test/00366.jpg,data/raw/stanford_cars/cars_test/00366.jpg,,600,600,600,600,"[37, 157, 576, 453]","[37, 157, 539, 296]",0.4432,539,296,1.8209,"[0, 104, 600, 506]",600,402,0.6615,256,,,gray,gray,gray,0.833,0,0.2321,0.4057,0.7296,0,1,drop,rank_below_keep_cutoff,1,,bbox,bbox_body_core,,body_core=neutral_mid; total_neutral=0.969; mean_value=0.566; dominant_share=0.184,body_core=neutral_mid; total_neutral=0.969; mean_value=0.566; dominant_share=0.184,,,
test_00377,test,162,Mercedes-Benz C-Class Sedan 2012,test_00377.jpg,data/raw/stanford_cars/cars_test/00377.jpg,data/raw/stanford_cars/cars_test/00377.jpg,,630,473,630,473,"[36, 84, 567, 371]","[36, 84, 531, 287]",0.5114,531,287,1.8502,"[0, 32, 630, 423]",630,391,0.6187,256,,,gray,gray,gray,0.785,0,0.1258,0.4709,0.668,0,1,drop,rank_below_keep_cutoff,1,,bbox,bbox_body_core,,body_core=neutral_mid; total_neutral=0.705; mean_value=0.378; dominant_share=0.180,body_core=neutral_mid; total_neutral=0.705; mean_value=0.378; dominant_share=0.180,,,
test_00384,test,27,BMW 1 Series Convertible 2012,test_00384.jpg,data/raw/stanford_cars/cars_test/00384.jpg,data/raw/stanford_cars/cars_test/00384.jpg,,640,480,640,480,"[67, 87, 619, 378]","[67, 87, 552, 291]",0.5229,552,291,1.8969,"[0, 35, 640, 430]",640,395,0.6354,256,,,white,white,white,0.886,0,0.3601,0.5533,0.7524,0,1,drop,rank_below_keep_cutoff,1,,bbox,bbox_body_core,,body_core=neutral_bright; bright_neutral=0.671; dominant_share=0.433,body_core=neutral_bright; bright_neutral=0.671; dominant_share=0.433,,,
test_00392,test,121,GMC Acadia SUV 2012,test_00392.jpg,data/raw/stanford_cars/cars_test/00392.jpg,data/raw/stanford_cars/cars_test/00392.jpg,data/processed/stanford_cars/clean_crops/test_00392.jpg,640,458,640,458,"[16, 94, 625, 442]","[16, 94, 609, 348]",0.723,609,348,1.75,"[0, 31, 640, 458]",640,427,0.7755,256,384,256,gray,gray,gray,0.822,0,0.2561,0.5599,0.7838,1,0,keep,top_quality_subset,1,,bbox,bbox_body_core,,body_core=neutral_mid; total_neutral=0.921; mean_value=0.504; dominant_share=0.163,body_core=neutral_mid; total_neutral=0.921; mean_value=0.504; dominant_share=0.163,,,
