review_id,image_file,audit_row_id,target_row_id,sample_id,image_id,image_path,model,condition,robustness_variant,audit_source_module,true_color,false_prompt_color,model_output,source_dataset,is_conflict_aligned,is_faithful,audit_group,parsed_label,match_strategy,review_status,body_color_visible,visual_clarity,body_color_salience,specular_reflection,shadow_or_night_effect,background_color_bias,multi_car_interference,occlusion,include_in_validity_analysis,audit_notes,reviewer_initials,row_complete,analysis_inclusion
VC-013,images/VC-013.jpg,audit_078,target_036_main_original_C4_vcor_train_white_54322230fe,vcor_train_white_54322230fe_C4_stronger_open_conflict,vcor_train_white_54322230fe,data_external/vcor_selected/candidate_pool/white/vcor_train_white_54322230fe.jpg,LLaVA-1.5-7B,C4_stronger_open_conflict,C4_original,main_original_C4,white,black,Black,VCoR,True,False,target_conflict_flip,black,target_case,complete,yes,moderate,medium,none_minor,none_minor,moderate,none,none,include,,Yutong Liu,Complete,include
VC-014,images/VC-014.jpg,audit_034,target_035_main_original_C4_vcor_train_white_4726bf9d2c,vcor_train_white_46e3655634_C4_stronger_open_conflict,vcor_train_white_46e3655634,data_external/vcor_selected/candidate_pool/white/vcor_train_white_46e3655634.jpg,LLaVA-1.5-7B,C4_stronger_open_conflict,,control_for_main_original_C4,white,black,White,VCoR,False,True,matched_faithful_control,white,matched_true_color_source_condition,complete,partly,clear,medium,none_minor,none_minor,none_minor,none,minor,include,,Yutong Liu,Complete,include
VC-015,images/VC-015.jpg,audit_012,target_000_main_original_C3_test_00209,train_07828_C3_presupposition_correction_allowed,train_07828,data/processed/stanford_cars/clean_crops/train_07828.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,white,black,White,StanfordCars,False,True,matched_faithful_control,white,matched_true_color_source_condition,complete,yes,clear,medium,none_minor,none_minor,none_minor,none,none,include,,Yutong Liu,Complete,include
VC-016,images/VC-016.jpg,audit_024,target_010_main_original_C3_train_05773,vcor_train_white_3fc8c3261f_C3_presupposition_correction_allowed,vcor_train_white_3fc8c3261f,data_external/vcor_selected/candidate_pool/white/vcor_train_white_3fc8c3261f.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,white,black,White,VCoR,False,True,matched_faithful_control,white,matched_true_color_condition,complete,partly,moderate,medium,none_minor,none_minor,moderate,none,minor,include,,Yutong Liu,Complete,include
VC-017,images/VC-017.jpg,audit_053,target_007_main_original_C3_train_00272,train_00272_C3_presupposition_correction_allowed,train_00272,data/processed/stanford_cars/clean_crops/train_00272.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_original,main_original_C3,white,black,Black,StanfordCars,True,False,target_conflict_flip,black,target_case,complete,partly,moderate,medium,none_minor,none_minor,strong,none,moderate,include,"Open-top view, occupants, red roof section, and vivid green background add visual confounds; white body remains visible.",Yutong Liu,Complete,include
VC-018,images/VC-018.jpg,audit_059,target_017_main_original_C3_vcor_test_white_cc79dd085a,vcor_test_white_cc79dd085a_C3_presupposition_correction_allowed,vcor_test_white_cc79dd085a,data_external/vcor_selected/candidate_pool/white/vcor_test_white_cc79dd085a.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_original,main_original_C3,white,black,Black,VCoR,True,False,target_conflict_flip,black,target_case,complete,yes,clear,medium,none_minor,none_minor,none_minor,none,none,include,,Yutong Liu,Complete,include
VC-019,images/VC-019.jpg,audit_018,target_011_main_original_C3_train_06150,vcor_train_white_05ebcf6962_C3_presupposition_correction_allowed,vcor_train_white_05ebcf6962,data_external/vcor_selected/candidate_pool/white/vcor_train_white_05ebcf6962.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,white,black,White,VCoR,False,True,matched_faithful_control,white,matched_true_color_condition,complete,yes,moderate,medium,none_minor,none_minor,moderate,none,none,include,,Yutong Liu,Complete,include
VC-020,images/VC-020.jpg,audit_081,target_037_wording_variant_C3_v2_test_00209,test_00209__C3_v2,test_00209,data/processed/stanford_cars/clean_crops/test_00209.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_v2,wording_variant_C3_v2,white,black,Black,StanfordCars,True,False,target_conflict_flip,black,target_case,complete,yes,clear,medium,none_minor,none_minor,none_minor,none,none,include,,Yutong Liu,Complete,include
VC-021,images/VC-021.jpg,audit_063,target_021_main_original_C3_vcor_train_white_24008a96fd,vcor_train_white_24008a96fd_C3_presupposition_correction_allowed,vcor_train_white_24008a96fd,data_external/vcor_selected/candidate_pool/white/vcor_train_white_24008a96fd.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_original,main_original_C3,white,black,Black,VCoR,True,False,target_conflict_flip,black,target_case,complete,yes,clear,medium,moderate,none_minor,none_minor,none,none,include,,Yutong Liu,Complete,include
VC-022,images/VC-022.jpg,audit_005,target_013_main_original_C3_vcor_test_blue_19bb38978c,vcor_test_blue_6f138e9672_C3_presupposition_correction_allowed,vcor_test_blue_6f138e9672,data_external/vcor_selected/candidate_pool/blue/vcor_test_blue_6f138e9672.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,blue,red,Blue,VCoR,False,True,matched_faithful_control,blue,matched_true_color_source_condition,complete,yes,clear,high,moderate,none_minor,none_minor,none,none,include,,Yutong Liu,Complete,include
VC-023,images/VC-023.jpg,audit_013,target_022_main_original_C3_vcor_train_white_2491c92cf7,vcor_test_white_05beec100f_C3_presupposition_correction_allowed,vcor_test_white_05beec100f,data_external/vcor_selected/candidate_pool/white/vcor_test_white_05beec100f.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,white,black,White,VCoR,False,True,matched_faithful_control,white,matched_true_color_source_condition,complete,yes,moderate,medium,none_minor,none_minor,moderate,none,none,include,,Yutong Liu,Complete,include
VC-024,images/VC-024.jpg,audit_015,target_015_main_original_C3_vcor_test_white_ac8fd42ee4,vcor_test_white_5f1aa0dd05_C3_presupposition_correction_allowed,vcor_test_white_5f1aa0dd05,data_external/vcor_selected/candidate_pool/white/vcor_test_white_5f1aa0dd05.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,white,black,White,VCoR,False,True,matched_faithful_control,white,matched_true_color_source_condition,complete,yes,clear,medium,none_minor,none_minor,none_minor,none,none,include,,Yutong Liu,Complete,include
VC-025,images/VC-025.jpg,audit_037,target_039_wording_variant_C3_v2_train_08107,test_03801__C3_v2,test_03801,data/processed/stanford_cars/clean_crops/test_03801.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_v2,control_for_wording_variant_C3_v2,black,white,Black,StanfordCars,False,True,matched_faithful_control,black,matched_true_color_source_condition,complete,yes,moderate,high,none_minor,moderate,strong,none,none,include,"Dark body is judgeable, but the tilted outdoor image has strong stylized foliage/background colour.",Yutong Liu,Complete,include
VC-026,images/VC-026.jpg,audit_054,target_009_main_original_C3_train_03125,train_03125_C3_presupposition_correction_allowed,train_03125,data/processed/stanford_cars/clean_crops/train_03125.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_original,main_original_C3,white,black,Black,StanfordCars,True,False,target_conflict_flip,black,target_case,complete,yes,moderate,medium,moderate,none_minor,strong,none,minor,include,Exhibition lighting and red floor introduce a noticeable colour cast around the white body.,Yutong Liu,Complete,include
VC-027,images/VC-027.jpg,audit_038,target_038_wording_variant_C3_v2_test_07534,test_05003__C3_v2,test_05003,data/processed/stanford_cars/clean_crops/test_05003.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_v2,control_for_wording_variant_C3_v2,blue,red,Blue,StanfordCars,False,True,matched_faithful_control,blue,matched_true_color_source_condition,complete,yes,clear,high,moderate,none_minor,none_minor,none,none,include,,Yutong Liu,Complete,include
VC-028,images/VC-028.jpg,audit_060,target_018_main_original_C3_vcor_train_white_0403cc673a,vcor_train_white_0403cc673a_C3_presupposition_correction_allowed,vcor_train_white_0403cc673a,data_external/vcor_selected/candidate_pool/white/vcor_train_white_0403cc673a.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_original,main_original_C3,white,black,Black,VCoR,True,False,target_conflict_flip,black,target_case,complete,yes,moderate,medium,none_minor,none_minor,moderate,minor,none,include,,Yutong Liu,Complete,include
VC-029,images/VC-029.jpg,audit_036,target_032_main_original_C4_vcor_train_white_07e38253c0,vcor_train_white_4dde922c1d_C4_stronger_open_conflict,vcor_train_white_4dde922c1d,data_external/vcor_selected/candidate_pool/white/vcor_train_white_4dde922c1d.jpg,LLaVA-1.5-7B,C4_stronger_open_conflict,,control_for_main_original_C4,white,black,White,VCoR,False,True,matched_faithful_control,white,matched_true_color_source_condition,complete,yes,clear,medium,moderate,none_minor,none_minor,none,none,include,,Yutong Liu,Complete,include
VC-030,images/VC-030.jpg,audit_004,target_008_main_original_C3_train_00771,test_07222_C3_presupposition_correction_allowed,test_07222,data/processed/stanford_cars/clean_crops/test_07222.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,blue,red,Blue,StanfordCars,False,True,matched_faithful_control,blue,matched_true_color_source_condition,complete,yes,clear,high,moderate,none_minor,moderate,minor,none,include,,Yutong Liu,Complete,include
VC-031,images/VC-031.jpg,audit_023,target_026_main_original_C3_vcor_train_white_54322230fe,vcor_train_white_380aa05f84_C3_presupposition_correction_allowed,vcor_train_white_380aa05f84,data_external/vcor_selected/candidate_pool/white/vcor_train_white_380aa05f84.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,white,black,White,VCoR,False,True,matched_faithful_control,white,matched_true_color_source_condition,complete,yes,clear,medium,none_minor,none_minor,none_minor,none,none,include,,Yutong Liu,Complete,include
VC-032,images/VC-032.jpg,audit_047,target_013_main_original_C3_vcor_test_blue_19bb38978c,vcor_test_blue_19bb38978c_C3_presupposition_correction_allowed,vcor_test_blue_19bb38978c,data_external/vcor_selected/candidate_pool/blue/vcor_test_blue_19bb38978c.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_original,main_original_C3,blue,red,Red,VCoR,True,False,target_conflict_flip,red,target_case,complete,yes,clear,high,moderate,none_minor,none_minor,none,none,include,,Yutong Liu,Complete,include
VC-033,images/VC-033.jpg,audit_043,target_006_main_original_C3_test_08002,test_08002_C3_presupposition_correction_allowed,test_08002,data/processed/stanford_cars/clean_crops/test_08002.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_original,main_original_C3,black,white,White,StanfordCars,True,False,target_conflict_flip,white,target_case,complete,yes,moderate,high,strong,none_minor,moderate,present,none,include,"Wet parking-lot scene, reflections, and multiple background vehicles complicate the black-body judgement.",Yutong Liu,Complete,include
VC-034,images/VC-034.jpg,audit_017,target_016_main_original_C3_vcor_test_white_c27b6c305a,vcor_test_white_dbe2a973a1_C3_presupposition_correction_allowed,vcor_test_white_dbe2a973a1,data_external/vcor_selected/candidate_pool/white/vcor_test_white_dbe2a973a1.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,white,black,White,VCoR,False,True,matched_faithful_control,white,matched_true_color_source_condition,complete,yes,clear,medium,none_minor,none_minor,none_minor,none,none,include,,Yutong Liu,Complete,include
VC-035,images/VC-035.jpg,audit_032,target_031_main_original_C4_vcor_test_white_c27b6c305a,vcor_train_white_2f636b92fe_C4_stronger_open_conflict,vcor_train_white_2f636b92fe,data_external/vcor_selected/candidate_pool/white/vcor_train_white_2f636b92fe.jpg,LLaVA-1.5-7B,C4_stronger_open_conflict,,control_for_main_original_C4,white,black,White,VCoR,False,True,matched_faithful_control,white,matched_true_color_source_condition,complete,yes,clear,medium,none_minor,none_minor,none_minor,none,none,include,,Yutong Liu,Complete,include
VC-036,images/VC-036.jpg,audit_073,target_031_main_original_C4_vcor_test_white_c27b6c305a,vcor_test_white_c27b6c305a_C4_stronger_open_conflict,vcor_test_white_c27b6c305a,data_external/vcor_selected/candidate_pool/white/vcor_test_white_c27b6c305a.jpg,LLaVA-1.5-7B,C4_stronger_open_conflict,C4_original,main_original_C4,white,black,Black,VCoR,True,False,target_conflict_flip,black,target_case,complete,yes,moderate,medium,none_minor,none_minor,moderate,minor,none,include,,Yutong Liu,Complete,include
VC-037,images/VC-037.jpg,audit_007,target_004_main_original_C3_test_06383,test_01993_C3_presupposition_correction_allowed,test_01993,data/processed/stanford_cars/clean_crops/test_01993.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,white,black,White,StanfordCars,False,True,matched_faithful_control,white,matched_true_color_source_condition,complete,yes,moderate,medium,none_minor,moderate,moderate,none,none,include,,Yutong Liu,Complete,include
VC-038,images/VC-038.jpg,audit_039,target_037_wording_variant_C3_v2_test_00209,train_05773__C3_v2,train_05773,data/processed/stanford_cars/clean_crops/train_05773.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_v2,control_for_wording_variant_C3_v2,white,black,White,StanfordCars,False,True,matched_faithful_control,white,matched_true_color_source_condition,complete,yes,clear,medium,moderate,none_minor,moderate,none,none,include,,Yutong Liu,Complete,include
VC-039,images/VC-039.jpg,audit_008,target_002_main_original_C3_test_03751,train_00925_C3_presupposition_correction_allowed,train_00925,data/processed/stanford_cars/clean_crops/train_00925.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,white,black,White,StanfordCars,False,True,matched_faithful_control,white,matched_true_color_source_condition,complete,yes,moderate,medium,none_minor,moderate,moderate,none,none,include,,Yutong Liu,Complete,include
VC-040,images/VC-040.jpg,audit_021,target_021_main_original_C3_vcor_train_white_24008a96fd,vcor_train_white_242c206862_C3_presupposition_correction_allowed,vcor_train_white_242c206862,data_external/vcor_selected/candidate_pool/white/vcor_train_white_242c206862.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,white,black,White,VCoR,False,True,matched_faithful_control,white,matched_true_color_source_condition,complete,yes,clear,medium,none_minor,none_minor,none_minor,none,none,include,,Yutong Liu,Complete,include
VC-041,images/VC-041.jpg,audit_003,target_005_main_original_C3_test_07534,test_03891_C3_presupposition_correction_allowed,test_03891,data/processed/stanford_cars/clean_crops/test_03891.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,blue,red,Blue,StanfordCars,False,True,matched_faithful_control,blue,matched_true_color_source_condition,complete,yes,clear,high,moderate,none_minor,none_minor,none,none,include,,Yutong Liu,Complete,include
VC-042,images/VC-042.jpg,audit_033,target_034_main_original_C4_vcor_train_white_422cd72c41,vcor_train_white_380aa05f84_C4_stronger_open_conflict,vcor_train_white_380aa05f84,data_external/vcor_selected/candidate_pool/white/vcor_train_white_380aa05f84.jpg,LLaVA-1.5-7B,C4_stronger_open_conflict,,control_for_main_original_C4,white,black,White,VCoR,False,True,matched_faithful_control,white,matched_true_color_source_condition,complete,yes,clear,medium,none_minor,none_minor,none_minor,none,none,include,,Yutong Liu,Complete,include
VC-043,images/VC-043.jpg,audit_052,target_004_main_original_C3_test_06383,test_06383_C3_presupposition_correction_allowed,test_06383,data/processed/stanford_cars/clean_crops/test_06383.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_original,main_original_C3,white,black,Black,StanfordCars,True,False,target_conflict_flip,black,target_case,complete,yes,clear,medium,strong,none_minor,moderate,none,none,include,"Strong direct sunlight and body-panel reflections are visible, although the white body remains judgeable.",Yutong Liu,Complete,include
VC-044,images/VC-044.jpg,audit_061,target_019_main_original_C3_vcor_train_white_07e38253c0,vcor_train_white_07e38253c0_C3_presupposition_correction_allowed,vcor_train_white_07e38253c0,data_external/vcor_selected/candidate_pool/white/vcor_train_white_07e38253c0.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_original,main_original_C3,white,black,Black,VCoR,True,False,target_conflict_flip,black,target_case,complete,yes,moderate,medium,moderate,none_minor,moderate,none,none,include,,Yutong Liu,Complete,include
VC-045,images/VC-045.jpg,audit_016,target_017_main_original_C3_vcor_test_white_cc79dd085a,vcor_test_white_a7a977f8a4_C3_presupposition_correction_allowed,vcor_test_white_a7a977f8a4,data_external/vcor_selected/candidate_pool/white/vcor_test_white_a7a977f8a4.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,white,black,White,VCoR,False,True,matched_faithful_control,white,matched_true_color_source_condition,complete,yes,clear,medium,none_minor,moderate,strong,none,none,include,,Yutong Liu,Complete,include
VC-046,images/VC-046.jpg,audit_076,target_034_main_original_C4_vcor_train_white_422cd72c41,vcor_train_white_422cd72c41_C4_stronger_open_conflict,vcor_train_white_422cd72c41,data_external/vcor_selected/candidate_pool/white/vcor_train_white_422cd72c41.jpg,LLaVA-1.5-7B,C4_stronger_open_conflict,C4_original,main_original_C4,white,black,Black,VCoR,True,False,target_conflict_flip,black,target_case,complete,yes,clear,medium,none_minor,none_minor,none_minor,none,none,include,,Yutong Liu,Complete,include
VC-047,images/VC-047.jpg,audit_069,target_029_main_original_C4_train_08107,train_08107_C4_stronger_open_conflict,train_08107,data/processed/stanford_cars/clean_crops/train_08107.jpg,LLaVA-1.5-7B,C4_stronger_open_conflict,C4_original,main_original_C4,black,white,White,StanfordCars,True,False,target_conflict_flip,white,target_case,complete,yes,moderate,high,strong,none_minor,moderate,present,none,include,Exhibition lighting creates strong reflections; other display vehicles are visible behind the primary black car.,Yutong Liu,Complete,include
VC-048,images/VC-048.jpg,audit_074,target_032_main_original_C4_vcor_train_white_07e38253c0,vcor_train_white_07e38253c0_C4_stronger_open_conflict,vcor_train_white_07e38253c0,data_external/vcor_selected/candidate_pool/white/vcor_train_white_07e38253c0.jpg,LLaVA-1.5-7B,C4_stronger_open_conflict,C4_original,main_original_C4,white,black,Black,VCoR,True,False,target_conflict_flip,black,target_case,complete,yes,moderate,medium,moderate,none_minor,moderate,none,none,include,,Yutong Liu,Complete,include
VC-049,images/VC-049.jpg,audit_031,target_036_main_original_C4_vcor_train_white_54322230fe,vcor_test_white_5f1aa0dd05_C4_stronger_open_conflict,vcor_test_white_5f1aa0dd05,data_external/vcor_selected/candidate_pool/white/vcor_test_white_5f1aa0dd05.jpg,LLaVA-1.5-7B,C4_stronger_open_conflict,,control_for_main_original_C4,white,black,White,VCoR,False,True,matched_faithful_control,white,matched_true_color_source_condition,complete,yes,clear,medium,none_minor,none_minor,none_minor,none,none,include,,Yutong Liu,Complete,include
VC-050,images/VC-050.jpg,audit_056,target_011_main_original_C3_train_06150,train_06150_C3_presupposition_correction_allowed,train_06150,data/processed/stanford_cars/clean_crops/train_06150.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_original,main_original_C3,white,black,Black,StanfordCars,True,False,target_conflict_flip,black,target_case,complete,yes,moderate,medium,none_minor,moderate,moderate,minor,none,include,Indoor exhibition lighting and a background vehicle add moderate visual interference.,Yutong Liu,Complete,include
VC-051,images/VC-051.jpg,audit_075,target_033_main_original_C4_vcor_train_white_119357b266,vcor_train_white_119357b266_C4_stronger_open_conflict,vcor_train_white_119357b266,data_external/vcor_selected/candidate_pool/white/vcor_train_white_119357b266.jpg,LLaVA-1.5-7B,C4_stronger_open_conflict,C4_original,main_original_C4,white,black,Black,VCoR,True,False,target_conflict_flip,black,target_case,complete,yes,clear,medium,none_minor,none_minor,moderate,none,none,include,,Yutong Liu,Complete,include
VC-052,images/VC-052.jpg,audit_046,target_008_main_original_C3_train_00771,train_00771_C3_presupposition_correction_allowed,train_00771,data/processed/stanford_cars/clean_crops/train_00771.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_original,main_original_C3,blue,red,Red,StanfordCars,True,False,target_conflict_flip,red,target_case,complete,yes,clear,high,moderate,none_minor,moderate,minor,none,include,,Yutong Liu,Complete,include
VC-053,images/VC-053.jpg,audit_065,target_023_main_original_C3_vcor_train_white_422cd72c41,vcor_train_white_422cd72c41_C3_presupposition_correction_allowed,vcor_train_white_422cd72c41,data_external/vcor_selected/candidate_pool/white/vcor_train_white_422cd72c41.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_original,main_original_C3,white,black,Black,VCoR,True,False,target_conflict_flip,black,target_case,complete,yes,clear,medium,none_minor,none_minor,none_minor,none,none,include,,Yutong Liu,Complete,include
VC-054,images/VC-054.jpg,audit_062,target_020_main_original_C3_vcor_train_white_119357b266,vcor_train_white_119357b266_C3_presupposition_correction_allowed,vcor_train_white_119357b266,data_external/vcor_selected/candidate_pool/white/vcor_train_white_119357b266.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_original,main_original_C3,white,black,Black,VCoR,True,False,target_conflict_flip,black,target_case,complete,yes,clear,medium,none_minor,none_minor,moderate,none,none,include,,Yutong Liu,Complete,include
VC-055,images/VC-055.jpg,audit_071,target_027_main_original_C4_train_00272,train_00272_C4_stronger_open_conflict,train_00272,data/processed/stanford_cars/clean_crops/train_00272.jpg,LLaVA-1.5-7B,C4_stronger_open_conflict,C4_original,main_original_C4,white,black,Black,StanfordCars,True,False,target_conflict_flip,black,target_case,complete,partly,moderate,medium,none_minor,none_minor,strong,none,moderate,include,"Open-top view, occupants, red roof section, and vivid green background add visual confounds; white body remains visible.",Yutong Liu,Complete,include
