sample_id,image_path,model,condition,true_color,false_prompt_color,model_output,source_dataset,is_conflict_aligned,audit_group,parsed_label,match_strategy,audit_visual_clarity,audit_specular_reflection,audit_background_color_bias,audit_multi_car_interference,audit_occlusion,audit_notes
train_00272_C3_presupposition_correction_allowed,data/processed/stanford_cars/clean_crops/train_00272.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,Black,StanfordCars,True,conflict_aligned_case,black,target_case,,,,,,
train_03125_C3_presupposition_correction_allowed,data/processed/stanford_cars/clean_crops/train_03125.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,Black,StanfordCars,True,conflict_aligned_case,black,target_case,,,,,,
train_05773_C3_presupposition_correction_allowed,data/processed/stanford_cars/clean_crops/train_05773.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,Black,StanfordCars,True,conflict_aligned_case,black,target_case,,,,,,
train_06150_C3_presupposition_correction_allowed,data/processed/stanford_cars/clean_crops/train_06150.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,Black,StanfordCars,True,conflict_aligned_case,black,target_case,,,,,,
vcor_test_white_ac8fd42ee4_C3_presupposition_correction_allowed,data_external/vcor_selected/candidate_pool/white/vcor_test_white_ac8fd42ee4.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,Black,VCoR,True,conflict_aligned_case,black,target_case,,,,,,
vcor_test_white_c27b6c305a_C3_presupposition_correction_allowed,data_external/vcor_selected/candidate_pool/white/vcor_test_white_c27b6c305a.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,Black,VCoR,True,conflict_aligned_case,black,target_case,,,,,,
vcor_test_white_cc79dd085a_C3_presupposition_correction_allowed,data_external/vcor_selected/candidate_pool/white/vcor_test_white_cc79dd085a.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,Black,VCoR,True,conflict_aligned_case,black,target_case,,,,,,
vcor_train_white_0403cc673a_C3_presupposition_correction_allowed,data_external/vcor_selected/candidate_pool/white/vcor_train_white_0403cc673a.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,Black,VCoR,True,conflict_aligned_case,black,target_case,,,,,,
vcor_train_white_07e38253c0_C3_presupposition_correction_allowed,data_external/vcor_selected/candidate_pool/white/vcor_train_white_07e38253c0.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,Black,VCoR,True,conflict_aligned_case,black,target_case,,,,,,
vcor_train_white_119357b266_C3_presupposition_correction_allowed,data_external/vcor_selected/candidate_pool/white/vcor_train_white_119357b266.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,Black,VCoR,True,conflict_aligned_case,black,target_case,,,,,,
vcor_train_white_24008a96fd_C3_presupposition_correction_allowed,data_external/vcor_selected/candidate_pool/white/vcor_train_white_24008a96fd.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,Black,VCoR,True,conflict_aligned_case,black,target_case,,,,,,
vcor_train_white_2491c92cf7_C3_presupposition_correction_allowed,data_external/vcor_selected/candidate_pool/white/vcor_train_white_2491c92cf7.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,Black,VCoR,True,conflict_aligned_case,black,target_case,,,,,,
vcor_train_white_422cd72c41_C3_presupposition_correction_allowed,data_external/vcor_selected/candidate_pool/white/vcor_train_white_422cd72c41.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,Black,VCoR,True,conflict_aligned_case,black,target_case,,,,,,
vcor_train_white_46e3655634_C3_presupposition_correction_allowed,data_external/vcor_selected/candidate_pool/white/vcor_train_white_46e3655634.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,Black,VCoR,True,conflict_aligned_case,black,target_case,,,,,,
vcor_train_white_4726bf9d2c_C3_presupposition_correction_allowed,data_external/vcor_selected/candidate_pool/white/vcor_train_white_4726bf9d2c.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,Black,VCoR,True,conflict_aligned_case,black,target_case,,,,,,
vcor_train_white_54322230fe_C3_presupposition_correction_allowed,data_external/vcor_selected/candidate_pool/white/vcor_train_white_54322230fe.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,Black,VCoR,True,conflict_aligned_case,black,target_case,,,,,,
test_05360_C3_presupposition_correction_allowed,data/processed/stanford_cars/clean_crops/test_05360.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,black,white,Black,StanfordCars,False,matched_faithful_control,black,matched_true_color_and_source,,,,,,
test_05438_C3_presupposition_correction_allowed,data/processed/stanford_cars/clean_crops/test_05438.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,black,white,Black,StanfordCars,False,matched_faithful_control,black,matched_true_color_and_source,,,,,,
train_00211_C3_presupposition_correction_allowed,data/processed/stanford_cars/clean_crops/train_00211.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,black,white,Black,StanfordCars,False,matched_faithful_control,black,matched_true_color_and_source,,,,,,
test_03891_C3_presupposition_correction_allowed,data/processed/stanford_cars/clean_crops/test_03891.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,blue,red,Blue,StanfordCars,False,matched_faithful_control,blue,matched_true_color_and_source,,,,,,
train_05653_C3_presupposition_correction_allowed,data/processed/stanford_cars/clean_crops/train_05653.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,blue,red,Blue,StanfordCars,False,matched_faithful_control,blue,matched_true_color_and_source,,,,,,
vcor_test_blue_6e40005f44_C3_presupposition_correction_allowed,data_external/vcor_selected/candidate_pool/blue/vcor_test_blue_6e40005f44.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,blue,red,Blue,VCoR,False,matched_faithful_control,blue,matched_true_color_and_source,,,,,,
vcor_train_blue_01bcc025c5_C3_presupposition_correction_allowed,data_external/vcor_selected/candidate_pool/blue/vcor_train_blue_01bcc025c5.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,blue,red,Blue,VCoR,False,matched_faithful_control,blue,matched_true_color_and_source,,,,,,
test_01993_C3_presupposition_correction_allowed,data/processed/stanford_cars/clean_crops/test_01993.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,White,StanfordCars,False,matched_faithful_control,white,matched_true_color_and_source,,,,,,
train_00925_C3_presupposition_correction_allowed,data/processed/stanford_cars/clean_crops/train_00925.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,White,StanfordCars,False,matched_faithful_control,white,matched_true_color_and_source,,,,,,
train_01917_C3_presupposition_correction_allowed,data/processed/stanford_cars/clean_crops/train_01917.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,White,StanfordCars,False,matched_faithful_control,white,matched_true_color_and_source,,,,,,
train_05942_C3_presupposition_correction_allowed,data/processed/stanford_cars/clean_crops/train_05942.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,White,StanfordCars,False,matched_faithful_control,white,matched_true_color_and_source,,,,,,
train_07139_C3_presupposition_correction_allowed,data/processed/stanford_cars/clean_crops/train_07139.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,White,StanfordCars,False,matched_faithful_control,white,matched_true_color_and_source,,,,,,
train_07828_C3_presupposition_correction_allowed,data/processed/stanford_cars/clean_crops/train_07828.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,White,StanfordCars,False,matched_faithful_control,white,matched_true_color_and_source,,,,,,
vcor_test_white_05beec100f_C3_presupposition_correction_allowed,data_external/vcor_selected/candidate_pool/white/vcor_test_white_05beec100f.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,White,VCoR,False,matched_faithful_control,white,matched_true_color_and_source,,,,,,
vcor_test_white_14e13fda21_C3_presupposition_correction_allowed,data_external/vcor_selected/candidate_pool/white/vcor_test_white_14e13fda21.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,White,VCoR,False,matched_faithful_control,white,matched_true_color_and_source,,,,,,
vcor_test_white_8738d678a1_C3_presupposition_correction_allowed,data_external/vcor_selected/candidate_pool/white/vcor_test_white_8738d678a1.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,White,VCoR,False,matched_faithful_control,white,matched_true_color_and_source,,,,,,
vcor_test_white_a7a977f8a4_C3_presupposition_correction_allowed,data_external/vcor_selected/candidate_pool/white/vcor_test_white_a7a977f8a4.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,White,VCoR,False,matched_faithful_control,white,matched_true_color_after_source_shortage,,,,,,
vcor_test_white_dbe2a973a1_C3_presupposition_correction_allowed,data_external/vcor_selected/candidate_pool/white/vcor_test_white_dbe2a973a1.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,White,VCoR,False,matched_faithful_control,white,matched_true_color_and_source,,,,,,
vcor_train_white_05ebcf6962_C3_presupposition_correction_allowed,data_external/vcor_selected/candidate_pool/white/vcor_train_white_05ebcf6962.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,White,VCoR,False,matched_faithful_control,white,matched_true_color_and_source,,,,,,
vcor_train_white_23346783ff_C3_presupposition_correction_allowed,data_external/vcor_selected/candidate_pool/white/vcor_train_white_23346783ff.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,White,VCoR,False,matched_faithful_control,white,matched_true_color_and_source,,,,,,
vcor_train_white_242c206862_C3_presupposition_correction_allowed,data_external/vcor_selected/candidate_pool/white/vcor_train_white_242c206862.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,White,VCoR,False,matched_faithful_control,white,matched_true_color_and_source,,,,,,
vcor_train_white_2f636b92fe_C3_presupposition_correction_allowed,data_external/vcor_selected/candidate_pool/white/vcor_train_white_2f636b92fe.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,White,VCoR,False,matched_faithful_control,white,matched_true_color_and_source,,,,,,
vcor_train_white_36bbde0940_C3_presupposition_correction_allowed,data_external/vcor_selected/candidate_pool/white/vcor_train_white_36bbde0940.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,White,VCoR,False,matched_faithful_control,white,matched_true_color_and_source,,,,,,
vcor_train_white_3fa7a61921_C3_presupposition_correction_allowed,data_external/vcor_selected/candidate_pool/white/vcor_train_white_3fa7a61921.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,White,VCoR,False,matched_faithful_control,white,matched_true_color_after_source_shortage,,,,,,
vcor_train_white_455f4ec90b_C3_presupposition_correction_allowed,data_external/vcor_selected/candidate_pool/white/vcor_train_white_455f4ec90b.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,White,VCoR,False,matched_faithful_control,white,matched_true_color_and_source,,,,,,
vcor_train_white_4cc212b728_C3_presupposition_correction_allowed,data_external/vcor_selected/candidate_pool/white/vcor_train_white_4cc212b728.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,White,VCoR,False,matched_faithful_control,white,matched_true_color_and_source,,,,,,
vcor_train_white_4dde922c1d_C3_presupposition_correction_allowed,data_external/vcor_selected/candidate_pool/white/vcor_train_white_4dde922c1d.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,white,black,White,VCoR,False,matched_faithful_control,white,matched_true_color_and_source,,,,,,
