audit_row_id,target_row_id,sample_id,image_id,image_path,model,condition,robustness_variant,audit_source_module,true_color,false_prompt_color,model_output,source_dataset,is_conflict_aligned,is_faithful,audit_group,parsed_label,match_strategy,audit_visual_clarity,audit_body_color_salience,audit_specular_reflection,audit_shadow_or_night_effect,audit_background_color_bias,audit_multi_car_interference,audit_occlusion,audit_notes,audit_reviewer,audit_review_date
audit_015,target_015_main_original_C3_vcor_test_white_ac8fd42ee4,vcor_test_white_5f1aa0dd05_C3_presupposition_correction_allowed,vcor_test_white_5f1aa0dd05,data_external/vcor_selected/candidate_pool/white/vcor_test_white_5f1aa0dd05.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,white,black,White,VCoR,False,True,matched_faithful_control,white,matched_true_color_source_condition,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_016,target_017_main_original_C3_vcor_test_white_cc79dd085a,vcor_test_white_a7a977f8a4_C3_presupposition_correction_allowed,vcor_test_white_a7a977f8a4,data_external/vcor_selected/candidate_pool/white/vcor_test_white_a7a977f8a4.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,white,black,White,VCoR,False,True,matched_faithful_control,white,matched_true_color_source_condition,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_017,target_016_main_original_C3_vcor_test_white_c27b6c305a,vcor_test_white_dbe2a973a1_C3_presupposition_correction_allowed,vcor_test_white_dbe2a973a1,data_external/vcor_selected/candidate_pool/white/vcor_test_white_dbe2a973a1.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,white,black,White,VCoR,False,True,matched_faithful_control,white,matched_true_color_source_condition,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_018,target_011_main_original_C3_train_06150,vcor_train_white_05ebcf6962_C3_presupposition_correction_allowed,vcor_train_white_05ebcf6962,data_external/vcor_selected/candidate_pool/white/vcor_train_white_05ebcf6962.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,white,black,White,VCoR,False,True,matched_faithful_control,white,matched_true_color_condition,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_019,target_020_main_original_C3_vcor_train_white_119357b266,vcor_train_white_1238ede032_C3_presupposition_correction_allowed,vcor_train_white_1238ede032,data_external/vcor_selected/candidate_pool/white/vcor_train_white_1238ede032.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,white,black,White,VCoR,False,True,matched_faithful_control,white,matched_true_color_source_condition,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_020,target_023_main_original_C3_vcor_train_white_422cd72c41,vcor_train_white_23346783ff_C3_presupposition_correction_allowed,vcor_train_white_23346783ff,data_external/vcor_selected/candidate_pool/white/vcor_train_white_23346783ff.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,white,black,White,VCoR,False,True,matched_faithful_control,white,matched_true_color_source_condition,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_021,target_021_main_original_C3_vcor_train_white_24008a96fd,vcor_train_white_242c206862_C3_presupposition_correction_allowed,vcor_train_white_242c206862,data_external/vcor_selected/candidate_pool/white/vcor_train_white_242c206862.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,white,black,White,VCoR,False,True,matched_faithful_control,white,matched_true_color_source_condition,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_022,target_018_main_original_C3_vcor_train_white_0403cc673a,vcor_train_white_3193719724_C3_presupposition_correction_allowed,vcor_train_white_3193719724,data_external/vcor_selected/candidate_pool/white/vcor_train_white_3193719724.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,white,black,White,VCoR,False,True,matched_faithful_control,white,matched_true_color_source_condition,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_023,target_026_main_original_C3_vcor_train_white_54322230fe,vcor_train_white_380aa05f84_C3_presupposition_correction_allowed,vcor_train_white_380aa05f84,data_external/vcor_selected/candidate_pool/white/vcor_train_white_380aa05f84.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,white,black,White,VCoR,False,True,matched_faithful_control,white,matched_true_color_source_condition,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_024,target_010_main_original_C3_train_05773,vcor_train_white_3fc8c3261f_C3_presupposition_correction_allowed,vcor_train_white_3fc8c3261f,data_external/vcor_selected/candidate_pool/white/vcor_train_white_3fc8c3261f.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,white,black,White,VCoR,False,True,matched_faithful_control,white,matched_true_color_condition,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_025,target_025_main_original_C3_vcor_train_white_4726bf9d2c,vcor_train_white_4c1616d6f4_C3_presupposition_correction_allowed,vcor_train_white_4c1616d6f4,data_external/vcor_selected/candidate_pool/white/vcor_train_white_4c1616d6f4.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,white,black,White,VCoR,False,True,matched_faithful_control,white,matched_true_color_source_condition,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_026,target_024_main_original_C3_vcor_train_white_46e3655634,vcor_train_white_4dde922c1d_C3_presupposition_correction_allowed,vcor_train_white_4dde922c1d,data_external/vcor_selected/candidate_pool/white/vcor_train_white_4dde922c1d.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,,control_for_main_original_C3,white,black,White,VCoR,False,True,matched_faithful_control,white,matched_true_color_source_condition,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_027,target_029_main_original_C4_train_08107,train_05311_C4_stronger_open_conflict,train_05311,data/processed/stanford_cars/clean_crops/train_05311.jpg,LLaVA-1.5-7B,C4_stronger_open_conflict,,control_for_main_original_C4,black,white,Black,StanfordCars,False,True,matched_faithful_control,black,matched_true_color_source_condition,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_028,target_030_main_original_C4_vcor_test_black_9be75bffb3,vcor_train_black_1f2fa08321_C4_stronger_open_conflict,vcor_train_black_1f2fa08321,data_external/vcor_selected/candidate_pool/black/vcor_train_black_1f2fa08321.jpg,LLaVA-1.5-7B,C4_stronger_open_conflict,,control_for_main_original_C4,black,white,Black,VCoR,False,True,matched_faithful_control,black,matched_true_color_source_condition,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_029,target_028_main_original_C4_train_03125,train_05942_C4_stronger_open_conflict,train_05942,data/processed/stanford_cars/clean_crops/train_05942.jpg,LLaVA-1.5-7B,C4_stronger_open_conflict,,control_for_main_original_C4,white,black,White,StanfordCars,False,True,matched_faithful_control,white,matched_true_color_source_condition,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_030,target_027_main_original_C4_train_00272,train_07139_C4_stronger_open_conflict,train_07139,data/processed/stanford_cars/clean_crops/train_07139.jpg,LLaVA-1.5-7B,C4_stronger_open_conflict,,control_for_main_original_C4,white,black,White,StanfordCars,False,True,matched_faithful_control,white,matched_true_color_source_condition,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_031,target_036_main_original_C4_vcor_train_white_54322230fe,vcor_test_white_5f1aa0dd05_C4_stronger_open_conflict,vcor_test_white_5f1aa0dd05,data_external/vcor_selected/candidate_pool/white/vcor_test_white_5f1aa0dd05.jpg,LLaVA-1.5-7B,C4_stronger_open_conflict,,control_for_main_original_C4,white,black,White,VCoR,False,True,matched_faithful_control,white,matched_true_color_source_condition,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_032,target_031_main_original_C4_vcor_test_white_c27b6c305a,vcor_train_white_2f636b92fe_C4_stronger_open_conflict,vcor_train_white_2f636b92fe,data_external/vcor_selected/candidate_pool/white/vcor_train_white_2f636b92fe.jpg,LLaVA-1.5-7B,C4_stronger_open_conflict,,control_for_main_original_C4,white,black,White,VCoR,False,True,matched_faithful_control,white,matched_true_color_source_condition,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_033,target_034_main_original_C4_vcor_train_white_422cd72c41,vcor_train_white_380aa05f84_C4_stronger_open_conflict,vcor_train_white_380aa05f84,data_external/vcor_selected/candidate_pool/white/vcor_train_white_380aa05f84.jpg,LLaVA-1.5-7B,C4_stronger_open_conflict,,control_for_main_original_C4,white,black,White,VCoR,False,True,matched_faithful_control,white,matched_true_color_source_condition,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_034,target_035_main_original_C4_vcor_train_white_4726bf9d2c,vcor_train_white_46e3655634_C4_stronger_open_conflict,vcor_train_white_46e3655634,data_external/vcor_selected/candidate_pool/white/vcor_train_white_46e3655634.jpg,LLaVA-1.5-7B,C4_stronger_open_conflict,,control_for_main_original_C4,white,black,White,VCoR,False,True,matched_faithful_control,white,matched_true_color_source_condition,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_035,target_033_main_original_C4_vcor_train_white_119357b266,vcor_train_white_4cc212b728_C4_stronger_open_conflict,vcor_train_white_4cc212b728,data_external/vcor_selected/candidate_pool/white/vcor_train_white_4cc212b728.jpg,LLaVA-1.5-7B,C4_stronger_open_conflict,,control_for_main_original_C4,white,black,White,VCoR,False,True,matched_faithful_control,white,matched_true_color_source_condition,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_036,target_032_main_original_C4_vcor_train_white_07e38253c0,vcor_train_white_4dde922c1d_C4_stronger_open_conflict,vcor_train_white_4dde922c1d,data_external/vcor_selected/candidate_pool/white/vcor_train_white_4dde922c1d.jpg,LLaVA-1.5-7B,C4_stronger_open_conflict,,control_for_main_original_C4,white,black,White,VCoR,False,True,matched_faithful_control,white,matched_true_color_source_condition,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_037,target_039_wording_variant_C3_v2_train_08107,test_03801__C3_v2,test_03801,data/processed/stanford_cars/clean_crops/test_03801.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_v2,control_for_wording_variant_C3_v2,black,white,Black,StanfordCars,False,True,matched_faithful_control,black,matched_true_color_source_condition,moderate,medium,moderate,moderate,none_minor,none,none,"Black vehicle is visible but angled and shadowed, with reflection on the body panels.",Codex local visual review,2026-05-01
audit_038,target_038_wording_variant_C3_v2_test_07534,test_05003__C3_v2,test_05003,data/processed/stanford_cars/clean_crops/test_05003.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_v2,control_for_wording_variant_C3_v2,blue,red,Blue,StanfordCars,False,True,matched_faithful_control,blue,matched_true_color_source_condition,clear,high,moderate,none_minor,none_minor,none,none,Blue car is clear; headlight flare and body gloss create moderate reflection.,Codex local visual review,2026-05-01
audit_039,target_037_wording_variant_C3_v2_test_00209,train_05773__C3_v2,train_05773,data/processed/stanford_cars/clean_crops/train_05773.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_v2,control_for_wording_variant_C3_v2,white,black,White,StanfordCars,False,True,matched_faithful_control,white,matched_true_color_source_condition,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_040,target_040_wording_variant_C3_v2_vcor_test_white_cc79dd085a,vcor_train_white_23346783ff__C3_v2,vcor_train_white_23346783ff,data_external/vcor_selected/candidate_pool/white/vcor_train_white_23346783ff.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_v2,control_for_wording_variant_C3_v2,white,black,White,VCoR,False,True,matched_faithful_control,white,matched_true_color_source_condition,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_041,target_041_wording_variant_C3_v2_vcor_train_white_54322230fe,vcor_train_white_380aa05f84__C3_v2,vcor_train_white_380aa05f84,data_external/vcor_selected/candidate_pool/white/vcor_train_white_380aa05f84.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_v2,control_for_wording_variant_C3_v2,white,black,White,VCoR,False,True,matched_faithful_control,white,matched_true_color_source_condition,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_042,target_001_main_original_C3_test_03234,test_03234_C3_presupposition_correction_allowed,test_03234,data/processed/stanford_cars/clean_crops/test_03234.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_original,main_original_C3,black,white,White,StanfordCars,True,False,target_conflict_flip,white,target_case,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_043,target_006_main_original_C3_test_08002,test_08002_C3_presupposition_correction_allowed,test_08002,data/processed/stanford_cars/clean_crops/test_08002.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_original,main_original_C3,black,white,White,StanfordCars,True,False,target_conflict_flip,white,target_case,moderate,medium,moderate,none_minor,none_minor,minor,none,"Black pickup is visible, but wet pavement and glossy reflections make the body tone less clean than studio examples.",Codex local visual review,2026-05-01
audit_044,target_012_main_original_C3_train_08107,train_08107_C3_presupposition_correction_allowed,train_08107,data/processed/stanford_cars/clean_crops/train_08107.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_original,main_original_C3,black,white,White,StanfordCars,True,False,target_conflict_flip,white,target_case,moderate,medium,strong,moderate,moderate,present,none,Glossy black car in an indoor/showroom-like scene with strong reflections and nearby vehicles; color remains inspectable but not pristine.,Codex local visual review,2026-05-01
audit_045,target_005_main_original_C3_test_07534,test_07534_C3_presupposition_correction_allowed,test_07534,data/processed/stanford_cars/clean_crops/test_07534.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_original,main_original_C3,blue,red,Red,StanfordCars,True,False,target_conflict_flip,red,target_case,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_046,target_008_main_original_C3_train_00771,train_00771_C3_presupposition_correction_allowed,train_00771,data/processed/stanford_cars/clean_crops/train_00771.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_original,main_original_C3,blue,red,Red,StanfordCars,True,False,target_conflict_flip,red,target_case,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_047,target_013_main_original_C3_vcor_test_blue_19bb38978c,vcor_test_blue_19bb38978c_C3_presupposition_correction_allowed,vcor_test_blue_19bb38978c,data_external/vcor_selected/candidate_pool/blue/vcor_test_blue_19bb38978c.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_original,main_original_C3,blue,red,Red,VCoR,True,False,target_conflict_flip,red,target_case,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_048,target_014_main_original_C3_vcor_test_blue_fc0797898c,vcor_test_blue_fc0797898c_C3_presupposition_correction_allowed,vcor_test_blue_fc0797898c,data_external/vcor_selected/candidate_pool/blue/vcor_test_blue_fc0797898c.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_original,main_original_C3,blue,red,Red,VCoR,True,False,target_conflict_flip,red,target_case,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_049,target_000_main_original_C3_test_00209,test_00209_C3_presupposition_correction_allowed,test_00209,data/processed/stanford_cars/clean_crops/test_00209.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_original,main_original_C3,white,black,Black,StanfordCars,True,False,target_conflict_flip,black,target_case,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_050,target_002_main_original_C3_test_03751,test_03751_C3_presupposition_correction_allowed,test_03751,data/processed/stanford_cars/clean_crops/test_03751.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_original,main_original_C3,white,black,Black,StanfordCars,True,False,target_conflict_flip,black,target_case,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_051,target_003_main_original_C3_test_03865,test_03865_C3_presupposition_correction_allowed,test_03865,data/processed/stanford_cars/clean_crops/test_03865.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_original,main_original_C3,white,black,Black,StanfordCars,True,False,target_conflict_flip,black,target_case,clear,medium,moderate,none_minor,none_minor,none,none,"White body is clear, but dark/blue racing stripes introduce a non-body-color visual distractor.",Codex local visual review,2026-05-01
audit_052,target_004_main_original_C3_test_06383,test_06383_C3_presupposition_correction_allowed,test_06383,data/processed/stanford_cars/clean_crops/test_06383.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_original,main_original_C3,white,black,Black,StanfordCars,True,False,target_conflict_flip,black,target_case,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_053,target_007_main_original_C3_train_00272,train_00272_C3_presupposition_correction_allowed,train_00272,data/processed/stanford_cars/clean_crops/train_00272.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_original,main_original_C3,white,black,Black,StanfordCars,True,False,target_conflict_flip,black,target_case,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_054,target_009_main_original_C3_train_03125,train_03125_C3_presupposition_correction_allowed,train_03125,data/processed/stanford_cars/clean_crops/train_03125.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_original,main_original_C3,white,black,Black,StanfordCars,True,False,target_conflict_flip,black,target_case,clear,high,moderate,moderate,moderate,none,none,"White vehicle is clear, but indoor lighting and dark/red surroundings add visible contextual color contrast.",Codex local visual review,2026-05-01
audit_055,target_010_main_original_C3_train_05773,train_05773_C3_presupposition_correction_allowed,train_05773,data/processed/stanford_cars/clean_crops/train_05773.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_original,main_original_C3,white,black,Black,StanfordCars,True,False,target_conflict_flip,black,target_case,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
audit_056,target_011_main_original_C3_train_06150,train_06150_C3_presupposition_correction_allowed,train_06150,data/processed/stanford_cars/clean_crops/train_06150.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_original,main_original_C3,white,black,Black,StanfordCars,True,False,target_conflict_flip,black,target_case,clear,high,none_minor,moderate,none_minor,none,none,White van is inspectable; warm indoor lighting creates mild shadow/illumination variation.,Codex local visual review,2026-05-01
audit_057,target_015_main_original_C3_vcor_test_white_ac8fd42ee4,vcor_test_white_ac8fd42ee4_C3_presupposition_correction_allowed,vcor_test_white_ac8fd42ee4,data_external/vcor_selected/candidate_pool/white/vcor_test_white_ac8fd42ee4.jpg,LLaVA-1.5-7B,C3_presupposition_correction_allowed,C3_original,main_original_C3,white,black,Black,VCoR,True,False,target_conflict_flip,black,target_case,clear,high,none_minor,none_minor,none_minor,none,none,Body color is reviewable from the local image/contact sheet.,Codex local visual review,2026-05-01
