candidate_id,image_id,assigned_true_color,source_path,staged_path,width,height,car_detection_count,primary_car_score,primary_car_area_ratio,secondary_car_area_ratio,sharpness_score,highlight_ratio,shadow_ratio,color_match_ratio,quality_score,auto_recommend_keep,auto_rank_within_color,auto_reason
vcor_test_red_5211e70646,vcor_test_red_5211e70646,red,data_external/vcor_raw/vcor_extracted/test/red/5211e70646.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_5211e70646.jpg,550,282,1,0.9967,0.9755,0.0000,190.0065,0.0083,0.0074,0.5477,4.7082,1,8,passes_auto_screen
vcor_test_red_52b2996102,vcor_test_red_52b2996102,red,data_external/vcor_raw/vcor_extracted/test/red/52b2996102.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_52b2996102.jpg,1151,368,2,0.9993,0.8291,0.5974,240.7315,0.1252,0.0551,0.5378,3.5308,0,70,secondary_car_interference|highlight_overexposed
vcor_test_red_5424cbdd31,vcor_test_red_5424cbdd31,red,data_external/vcor_raw/vcor_extracted/test/red/5424cbdd31.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_5424cbdd31.jpg,308,138,1,0.9953,0.9856,0.0000,542.2186,0.1078,0.0456,0.4166,4.4342,0,22,passes_auto_screen
vcor_test_red_5661898df1,vcor_test_red_5661898df1,red,data_external/vcor_raw/vcor_extracted/test/red/5661898df1.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_5661898df1.jpg,281,157,1,0.9279,0.9204,0.0000,638.4146,0.1611,0.0755,0.4681,4.2845,0,33,highlight_overexposed
vcor_test_red_56783be736,vcor_test_red_56783be736,red,data_external/vcor_raw/vcor_extracted/test/red/56783be736.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_56783be736.jpg,664,371,0,0.0000,0.0000,0.0000,138.0407,0.2590,0.0362,0.2374,0.6883,0,80,car_too_small|highlight_overexposed
vcor_test_red_57a90c9f82,vcor_test_red_57a90c9f82,red,data_external/vcor_raw/vcor_extracted/test/red/57a90c9f82.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_57a90c9f82.jpg,945,490,2,0.9826,0.9465,0.3996,171.9116,0.0018,0.0332,0.2355,3.2230,0,72,secondary_car_interference
vcor_test_red_5812d51bc4,vcor_test_red_5812d51bc4,red,data_external/vcor_raw/vcor_extracted/test/red/5812d51bc4.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_5812d51bc4.jpg,1260,641,1,0.9959,0.8127,0.0000,66.7049,0.0082,0.0896,0.4032,3.5442,0,69,passes_auto_screen
vcor_test_red_58842af1de,vcor_test_red_58842af1de,red,data_external/vcor_raw/vcor_extracted/test/red/58842af1de.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_58842af1de.jpg,254,170,0,0.0000,0.0000,0.0000,287.3280,0.0188,0.0580,0.2376,1.3134,0,76,car_too_small
vcor_test_red_58cf5733f5,vcor_test_red_58cf5733f5,red,data_external/vcor_raw/vcor_extracted/test/red/58cf5733f5.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_58cf5733f5.jpg,1220,472,1,0.8163,0.7196,0.0000,324.9735,0.0487,0.0010,0.3034,3.5913,0,68,passes_auto_screen
vcor_test_red_598ff6a7b0,vcor_test_red_598ff6a7b0,red,data_external/vcor_raw/vcor_extracted/test/red/598ff6a7b0.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_598ff6a7b0.jpg,287,145,1,0.9891,0.7486,0.0000,238.6281,0.0011,0.1360,0.4874,4.1332,0,38,passes_auto_screen
vcor_test_red_5b1f38423d,vcor_test_red_5b1f38423d,red,data_external/vcor_raw/vcor_extracted/test/red/5b1f38423d.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_5b1f38423d.jpg,138,74,7,0.4069,0.6429,0.5177,278.2766,0.0457,0.0023,0.6551,3.2674,0,71,secondary_car_interference
vcor_test_red_5bbb7d8bc4,vcor_test_red_5bbb7d8bc4,red,data_external/vcor_raw/vcor_extracted/test/red/5bbb7d8bc4.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_5bbb7d8bc4.jpg,220,172,2,0.9003,0.7636,0.0064,299.2039,0.1052,0.0657,0.4994,4.0950,0,43,passes_auto_screen
vcor_test_red_5df879c7ad,vcor_test_red_5df879c7ad,red,data_external/vcor_raw/vcor_extracted/test/red/5df879c7ad.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_5df879c7ad.jpg,252,132,1,0.9970,0.8770,0.0000,253.3641,0.1120,0.0499,0.5666,4.5838,0,14,passes_auto_screen
vcor_test_red_5e2fd187ad,vcor_test_red_5e2fd187ad,red,data_external/vcor_raw/vcor_extracted/test/red/5e2fd187ad.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_5e2fd187ad.jpg,226,106,2,0.9958,0.9701,0.4173,535.5057,0.0772,0.0549,0.3982,3.8004,0,59,secondary_car_interference
vcor_test_red_5ffd6fe3e4,vcor_test_red_5ffd6fe3e4,red,data_external/vcor_raw/vcor_extracted/test/red/5ffd6fe3e4.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_5ffd6fe3e4.jpg,830,388,1,0.8089,0.7566,0.0000,265.5073,0.0066,0.0228,0.3419,3.7843,0,61,passes_auto_screen
vcor_test_red_63d195a819,vcor_test_red_63d195a819,red,data_external/vcor_raw/vcor_extracted/test/red/63d195a819.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_63d195a819.jpg,273,128,1,0.9340,0.9636,0.0000,671.8569,0.0767,0.0726,0.4314,4.3885,0,29,passes_auto_screen
vcor_test_red_65b5dc677a,vcor_test_red_65b5dc677a,red,data_external/vcor_raw/vcor_extracted/test/red/65b5dc677a.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_65b5dc677a.jpg,257,158,5,0.9222,0.7980,0.1645,608.4508,0.3453,0.0126,0.5512,3.8542,0,54,secondary_car_interference|highlight_overexposed
vcor_test_red_6aaa29c7a3,vcor_test_red_6aaa29c7a3,red,data_external/vcor_raw/vcor_extracted/test/red/6aaa29c7a3.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_6aaa29c7a3.jpg,256,94,3,0.9998,0.9178,0.4746,305.4833,0.0177,0.0607,0.4941,3.9244,0,52,secondary_car_interference
vcor_test_red_6bfe720ee2,vcor_test_red_6bfe720ee2,red,data_external/vcor_raw/vcor_extracted/test/red/6bfe720ee2.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_6bfe720ee2.jpg,314,160,1,0.9974,0.8845,0.0000,907.3400,0.0488,0.0482,0.4906,4.4867,0,20,passes_auto_screen
vcor_test_red_6cf37d25a0,vcor_test_red_6cf37d25a0,red,data_external/vcor_raw/vcor_extracted/test/red/6cf37d25a0.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_6cf37d25a0.jpg,235,111,1,0.9428,0.7174,0.0000,569.0710,0.0104,0.0629,0.4247,3.9753,0,49,passes_auto_screen
vcor_test_red_6d3dba47da,vcor_test_red_6d3dba47da,red,data_external/vcor_raw/vcor_extracted/test/red/6d3dba47da.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_6d3dba47da.jpg,189,81,1,0.9921,0.8987,0.0000,267.0952,0.0040,0.0524,0.5946,4.8205,1,3,passes_auto_screen
vcor_test_red_6e4c2fb6d5,vcor_test_red_6e4c2fb6d5,red,data_external/vcor_raw/vcor_extracted/test/red/6e4c2fb6d5.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_6e4c2fb6d5.jpg,672,181,2,0.9958,0.8885,0.5767,335.0972,0.0554,0.0129,0.5243,3.7976,0,60,secondary_car_interference
vcor_test_red_6ea23f5ee8,vcor_test_red_6ea23f5ee8,red,data_external/vcor_raw/vcor_extracted/test/red/6ea23f5ee8.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_6ea23f5ee8.jpg,203,149,1,0.9191,0.9652,0.0000,331.9601,0.0182,0.0334,0.5023,4.6664,0,11,passes_auto_screen
vcor_test_red_723fa71f5a,vcor_test_red_723fa71f5a,red,data_external/vcor_raw/vcor_extracted/test/red/723fa71f5a.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_723fa71f5a.jpg,185,90,3,0.9966,0.9228,0.4585,386.7444,0.0064,0.0253,0.5430,4.1255,0,40,secondary_car_interference
vcor_test_red_72f8a1b67c,vcor_test_red_72f8a1b67c,red,data_external/vcor_raw/vcor_extracted/test/red/72f8a1b67c.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_72f8a1b67c.jpg,170,49,3,0.9990,0.9535,0.0906,500.7767,0.0761,0.0165,0.6518,4.9009,1,1,passes_auto_screen
vcor_test_red_7361db7c17,vcor_test_red_7361db7c17,red,data_external/vcor_raw/vcor_extracted/test/red/7361db7c17.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_7361db7c17.jpg,195,69,1,0.9881,0.7779,0.0000,448.5651,0.0106,0.0012,0.4899,4.3571,0,30,passes_auto_screen
vcor_test_red_755ba4edc8,vcor_test_red_755ba4edc8,red,data_external/vcor_raw/vcor_extracted/test/red/755ba4edc8.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_755ba4edc8.jpg,545,257,1,0.9988,0.8414,0.0000,250.2381,0.1095,0.0628,0.5266,4.4042,0,25,passes_auto_screen
vcor_test_red_776841630b,vcor_test_red_776841630b,red,data_external/vcor_raw/vcor_extracted/test/red/776841630b.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_776841630b.jpg,264,110,7,0.9874,0.8979,0.3760,658.7936,0.0173,0.0199,0.3971,3.8115,0,58,secondary_car_interference
vcor_test_red_77ac4761b1,vcor_test_red_77ac4761b1,red,data_external/vcor_raw/vcor_extracted/test/red/77ac4761b1.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_77ac4761b1.jpg,233,93,4,0.9995,0.9768,0.3916,318.2955,0.0032,0.0338,0.6003,4.4681,0,21,secondary_car_interference
vcor_test_red_77bb096381,vcor_test_red_77bb096381,red,data_external/vcor_raw/vcor_extracted/test/red/77bb096381.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_77bb096381.jpg,181,132,1,0.8733,0.9540,0.0000,300.8480,0.0211,0.0057,0.5372,4.7186,1,6,passes_auto_screen
vcor_test_red_78fbd1e73d,vcor_test_red_78fbd1e73d,red,data_external/vcor_raw/vcor_extracted/test/red/78fbd1e73d.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_78fbd1e73d.jpg,324,129,4,0.9763,0.8849,0.0066,339.5551,0.0052,0.0420,0.4233,4.3517,0,31,passes_auto_screen
vcor_test_red_79a1f2e882,vcor_test_red_79a1f2e882,red,data_external/vcor_raw/vcor_extracted/test/red/79a1f2e882.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_79a1f2e882.jpg,226,106,4,0.9161,0.8650,0.4627,308.0645,0.0306,0.0366,0.4229,3.5991,0,67,secondary_car_interference
vcor_test_red_7b4ce5d119,vcor_test_red_7b4ce5d119,red,data_external/vcor_raw/vcor_extracted/test/red/7b4ce5d119.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_7b4ce5d119.jpg,294,144,1,0.9964,0.9630,0.0000,445.3919,0.1002,0.0182,0.4952,4.6228,0,12,passes_auto_screen
vcor_test_red_8022dd2e64,vcor_test_red_8022dd2e64,red,data_external/vcor_raw/vcor_extracted/test/red/8022dd2e64.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_8022dd2e64.jpg,244,149,3,0.9657,0.9837,0.0186,392.0339,0.0054,0.0100,0.4719,4.6771,1,10,passes_auto_screen
vcor_test_red_8037b54fbb,vcor_test_red_8037b54fbb,red,data_external/vcor_raw/vcor_extracted/test/red/8037b54fbb.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_8037b54fbb.jpg,213,143,1,0.9915,0.9236,0.0000,320.1519,0.0104,0.0173,0.5401,4.7607,1,5,passes_auto_screen
vcor_test_red_80491fc745,vcor_test_red_80491fc745,red,data_external/vcor_raw/vcor_extracted/test/red/80491fc745.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_80491fc745.jpg,276,152,1,0.9915,0.9813,0.0000,597.3087,0.0903,0.0708,0.5249,4.6889,1,9,passes_auto_screen
vcor_test_red_80dd14e495,vcor_test_red_80dd14e495,red,data_external/vcor_raw/vcor_extracted/test/red/80dd14e495.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_80dd14e495.jpg,233,118,2,0.9966,0.9404,0.0022,309.4721,0.0355,0.0053,0.4419,4.5320,0,17,passes_auto_screen
vcor_test_red_8322859640,vcor_test_red_8322859640,red,data_external/vcor_raw/vcor_extracted/test/red/8322859640.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_8322859640.jpg,157,78,4,0.8019,0.8320,0.3307,365.1197,0.0533,0.0846,0.4546,3.6303,0,66,secondary_car_interference
vcor_test_red_83ab77c69e,vcor_test_red_83ab77c69e,red,data_external/vcor_raw/vcor_extracted/test/red/83ab77c69e.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_83ab77c69e.jpg,128,73,1,0.8559,0.7965,0.0000,289.7638,0.0236,0.0000,0.5454,4.4130,0,23,passes_auto_screen
vcor_test_red_86249767a2,vcor_test_red_86249767a2,red,data_external/vcor_raw/vcor_extracted/test/red/86249767a2.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_86249767a2.jpg,175,80,4,0.9978,0.9007,0.4429,298.1848,0.0186,0.0949,0.5792,4.1103,0,41,secondary_car_interference
vcor_test_red_864b8ab66c,vcor_test_red_864b8ab66c,red,data_external/vcor_raw/vcor_extracted/test/red/864b8ab66c.jpg,data_external/vcor_selected/candidate_pool/red/vcor_test_red_864b8ab66c.jpg,222,148,1,0.9771,0.8335,0.0000,451.6776,0.0226,0.0068,0.3542,4.1004,0,42,passes_auto_screen
vcor_test_blue_00be3db68c,vcor_test_blue_00be3db68c,blue,data_external/vcor_raw/vcor_extracted/test/blue/00be3db68c.jpg,data_external/vcor_selected/candidate_pool/blue/vcor_test_blue_00be3db68c.jpg,210,117,3,0.8770,0.8397,0.5041,190.4568,0.0024,0.0250,0.5277,3.5759,0,201,secondary_car_interference
vcor_test_blue_01401b6d76,vcor_test_blue_01401b6d76,blue,data_external/vcor_raw/vcor_extracted/test/blue/01401b6d76.jpg,data_external/vcor_selected/candidate_pool/blue/vcor_test_blue_01401b6d76.jpg,171,125,3,0.9446,0.8821,0.0312,372.7526,0.0281,0.0071,0.6717,4.9145,1,29,passes_auto_screen
