model_key,model,condition_name,condition,true_color,false_prompt_color,pair_family,n,conflict_aligned_n,conflict_aligned_rate,faithful_n
internvl2_8b,InternVL2-8B,C2_false_assertion_open,C2,white,black,achromatic_black_white,50,0,0.0,50
internvl2_8b,InternVL2-8B,C2_false_assertion_open,C2,yellow,red,yellow_red,50,0,0.0,50
internvl2_8b,InternVL2-8B,C3_presupposition_correction_allowed,C3,black,white,achromatic_black_white,50,0,0.0,50
internvl2_8b,InternVL2-8B,C3_presupposition_correction_allowed,C3,blue,red,red_blue,50,0,0.0,50
internvl2_8b,InternVL2-8B,C3_presupposition_correction_allowed,C3,green,yellow,green_yellow,50,0,0.0,50
internvl2_8b,InternVL2-8B,C3_presupposition_correction_allowed,C3,red,blue,red_blue,50,0,0.0,50
internvl2_8b,InternVL2-8B,C3_presupposition_correction_allowed,C3,white,black,achromatic_black_white,50,0,0.0,50
internvl2_8b,InternVL2-8B,C3_presupposition_correction_allowed,C3,yellow,red,yellow_red,50,0,0.0,50
internvl2_8b,InternVL2-8B,C4_stronger_open_conflict,C4,black,white,achromatic_black_white,50,0,0.0,50
internvl2_8b,InternVL2-8B,C4_stronger_open_conflict,C4,blue,red,red_blue,50,0,0.0,50
internvl2_8b,InternVL2-8B,C4_stronger_open_conflict,C4,green,yellow,green_yellow,50,0,0.0,50
internvl2_8b,InternVL2-8B,C4_stronger_open_conflict,C4,red,blue,red_blue,50,0,0.0,50
internvl2_8b,InternVL2-8B,C4_stronger_open_conflict,C4,white,black,achromatic_black_white,50,0,0.0,50
internvl2_8b,InternVL2-8B,C4_stronger_open_conflict,C4,yellow,red,yellow_red,50,0,0.0,50
