model_key,model,condition_name,condition,true_color,false_prompt_pair,n,faithful_n,faithful_rate,faithful_ci_low,faithful_ci_high,conflict_aligned_n,conflict_aligned_rate,conflict_aligned_ci_low,conflict_aligned_ci_high,conflict_following_n,conflict_following_rate,other_wrong_n,refusal_n,parse_error_n
internvl2_8b,InternVL2-8B,C3_presupposition_correction_allowed,C3,blue,blue->red,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
internvl2_8b,InternVL2-8B,C3_presupposition_correction_allowed,C3,green,green->yellow,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
internvl2_8b,InternVL2-8B,C3_presupposition_correction_allowed,C3,red,red->blue,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
internvl2_8b,InternVL2-8B,C3_presupposition_correction_allowed,C3,white,white->black,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
internvl2_8b,InternVL2-8B,C3_presupposition_correction_allowed,C3,yellow,yellow->red,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
internvl2_8b,InternVL2-8B,C4_stronger_open_conflict,C4,black,black->white,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
internvl2_8b,InternVL2-8B,C4_stronger_open_conflict,C4,blue,blue->red,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
internvl2_8b,InternVL2-8B,C4_stronger_open_conflict,C4,green,green->yellow,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
internvl2_8b,InternVL2-8B,C4_stronger_open_conflict,C4,red,red->blue,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
internvl2_8b,InternVL2-8B,C4_stronger_open_conflict,C4,white,white->black,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
internvl2_8b,InternVL2-8B,C4_stronger_open_conflict,C4,yellow,yellow->red,50,50,1.0,0.9286524008666412,1.0,0,0.0,0.0,0.07134759913335874,0,0.0,0,0,0
