sample_id,image_id,file_name,image_path,width,height,contains_dog,num_annotations,experiment_type,prompt_level,prompt_code,conflict_strength,prompt_text,expected_answer,model_name,model_output,label,language_consistent,vision_consistent,ambiguous,notes,raw_output,status,error,auto_label_confidence
13201_S2,13201,000000013201.jpg,data/selected_images/no_dog_sample_50/000000013201.jpg,427,640,0,2,baseline_existence_conflict,S2,S2,2,"Please focus on whether the dog in the image actually exists. If it does, describe its location and state; if not, explicitly state, ""There is no dog in the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible",There is no dog in the image.,ok,,high
13201_S3,13201,000000013201.jpg,data/selected_images/no_dog_sample_50/000000013201.jpg,427,640,0,2,baseline_existence_conflict,S3,S3,3,"Please analyze the dog in the image in detail, including its location, action, and relationship to the environment. If, after careful inspection, you find that there is no dog, you must explicitly state, ""There is no dog in the image; the previous instruction conflicts with the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible",There is no dog in the image; the previous instruction conflicts with the image.,ok,,high
15254_S0,15254,000000015254.jpg,data/selected_images/no_dog_sample_50/000000015254.jpg,640,427,0,8,baseline_existence_conflict,S0,S0,0,"Please objectively describe the main content of this image and determine whether a dog appears in it. If not, explicitly answer, ""There is no dog in the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible","The image shows a bento box containing various food items. In the top left compartment, there is a salad with quinoa, cucumbers, tomatoes, and possibly spinach. In the top right compartment, there are sliced carrots. In the bottom left compartment, there is a dish with pasta, meat, and grated cheese. In the bottom right compartment, there are green grapes. There is no dog in the image.",ok,,high
15254_S1,15254,000000015254.jpg,data/selected_images/no_dog_sample_50/000000015254.jpg,640,427,0,8,baseline_existence_conflict,S1,S1,1,"Some people think there may be a dog in this image. Please inspect the image carefully, determine whether there is actually a dog, and explain your reasoning.",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible","There is no dog in the image. The image shows a variety of food items arranged in a container, including a salad, carrots, grapes, and what appears to be a pasta dish with grated cheese on top. The container is likely a lunchbox or a food storage container, and there is no indication of a dog in the image.",ok,,high
15254_S2,15254,000000015254.jpg,data/selected_images/no_dog_sample_50/000000015254.jpg,640,427,0,8,baseline_existence_conflict,S2,S2,2,"Please focus on whether the dog in the image actually exists. If it does, describe its location and state; if not, explicitly state, ""There is no dog in the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible",There is no dog in the image.,ok,,high
15254_S3,15254,000000015254.jpg,data/selected_images/no_dog_sample_50/000000015254.jpg,640,427,0,8,baseline_existence_conflict,S3,S3,3,"Please analyze the dog in the image in detail, including its location, action, and relationship to the environment. If, after careful inspection, you find that there is no dog, you must explicitly state, ""There is no dog in the image; the previous instruction conflicts with the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible",There is no dog in the image; the previous instruction conflicts with the image.,ok,,high
15597_S0,15597,000000015597.jpg,data/selected_images/no_dog_sample_50/000000015597.jpg,433,640,0,3,baseline_existence_conflict,S0,S0,0,"Please objectively describe the main content of this image and determine whether a dog appears in it. If not, explicitly answer, ""There is no dog in the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible","The image shows a person skateboarding on a ramp. The person is wearing a hat and appears to be in the middle of a trick. In the background, there are large, inflated objects that resemble airships or balloons. There is no dog in the image.",ok,,high
15597_S1,15597,000000015597.jpg,data/selected_images/no_dog_sample_50/000000015597.jpg,433,640,0,3,baseline_existence_conflict,S1,S1,1,"Some people think there may be a dog in this image. Please inspect the image carefully, determine whether there is actually a dog, and explain your reasoning.",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible","There is no dog in the image. The person in the image is skateboarding on a ramp, and the background features large, inflated objects that resemble tents or airships. There are no visible animals in the image.",ok,,high
15597_S2,15597,000000015597.jpg,data/selected_images/no_dog_sample_50/000000015597.jpg,433,640,0,3,baseline_existence_conflict,S2,S2,2,"Please focus on whether the dog in the image actually exists. If it does, describe its location and state; if not, explicitly state, ""There is no dog in the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible",There is no dog in the image.,ok,,high
15597_S3,15597,000000015597.jpg,data/selected_images/no_dog_sample_50/000000015597.jpg,433,640,0,3,baseline_existence_conflict,S3,S3,3,"Please analyze the dog in the image in detail, including its location, action, and relationship to the environment. If, after careful inspection, you find that there is no dog, you must explicitly state, ""There is no dog in the image; the previous instruction conflicts with the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible",There is no dog in the image; the previous instruction conflicts with the image.,ok,,high
48396_S0,48396,000000048396.jpg,data/selected_images/no_dog_sample_50/000000048396.jpg,640,427,0,7,baseline_existence_conflict,S0,S0,0,"Please objectively describe the main content of this image and determine whether a dog appears in it. If not, explicitly answer, ""There is no dog in the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible","The image shows two individuals in a room. One person is holding a knife and standing in front of a table, while the other person is standing behind the table. The person holding the knife is wearing a green cardigan and a skirt with a floral pattern. The person standing behind the table is wearing a blue plaid shirt. On the table, there is a red container and a white mug. There is no dog in the image.",ok,,high
48396_S1,48396,000000048396.jpg,data/selected_images/no_dog_sample_50/000000048396.jpg,640,427,0,7,baseline_existence_conflict,S1,S1,1,"Some people think there may be a dog in this image. Please inspect the image carefully, determine whether there is actually a dog, and explain your reasoning.",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible",There is no dog in the image. The image shows a woman holding a knife and a young boy standing next to a table with a mug and a cake.,ok,,high
48396_S2,48396,000000048396.jpg,data/selected_images/no_dog_sample_50/000000048396.jpg,640,427,0,7,baseline_existence_conflict,S2,S2,2,"Please focus on whether the dog in the image actually exists. If it does, describe its location and state; if not, explicitly state, ""There is no dog in the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible",There is no dog in the image.,ok,,high
48396_S3,48396,000000048396.jpg,data/selected_images/no_dog_sample_50/000000048396.jpg,640,427,0,7,baseline_existence_conflict,S3,S3,3,"Please analyze the dog in the image in detail, including its location, action, and relationship to the environment. If, after careful inspection, you find that there is no dog, you must explicitly state, ""There is no dog in the image; the previous instruction conflicts with the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible",There is no dog in the image; the previous instruction conflicts with the image.,ok,,high
51326_S0,51326,000000051326.jpg,data/selected_images/no_dog_sample_50/000000051326.jpg,640,427,0,1,baseline_existence_conflict,S0,S0,0,"Please objectively describe the main content of this image and determine whether a dog appears in it. If not, explicitly answer, ""There is no dog in the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible","The image features three carved pumpkins. One pumpkin has a face with a smiling mouth and eyes, and a small figure of a person standing in front of it. Another pumpkin is carved with a face that resembles a cat, and the third pumpkin is carved with a face that resembles a dog. There is no dog in the image.",ok,,high
51326_S1,51326,000000051326.jpg,data/selected_images/no_dog_sample_50/000000051326.jpg,640,427,0,1,baseline_existence_conflict,S1,S1,1,"Some people think there may be a dog in this image. Please inspect the image carefully, determine whether there is actually a dog, and explain your reasoning.",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,命中否认 dog 存在规则: en_no_existence_of_dog,There is no existence of a dog in the image.,ok,,high
51326_S2,51326,000000051326.jpg,data/selected_images/no_dog_sample_50/000000051326.jpg,640,427,0,1,baseline_existence_conflict,S2,S2,2,"Please focus on whether the dog in the image actually exists. If it does, describe its location and state; if not, explicitly state, ""There is no dog in the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible",There is no dog in the image.,ok,,high
51326_S3,51326,000000051326.jpg,data/selected_images/no_dog_sample_50/000000051326.jpg,640,427,0,1,baseline_existence_conflict,S3,S3,3,"Please analyze the dog in the image in detail, including its location, action, and relationship to the environment. If, after careful inspection, you find that there is no dog, you must explicitly state, ""There is no dog in the image; the previous instruction conflicts with the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible",There is no dog in the image; the previous instruction conflicts with the image.,ok,,high
56344_S0,56344,000000056344.jpg,data/selected_images/no_dog_sample_50/000000056344.jpg,640,480,0,7,baseline_existence_conflict,S0,S0,0,"Please objectively describe the main content of this image and determine whether a dog appears in it. If not, explicitly answer, ""There is no dog in the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible","The image shows a desk with two computer monitors side by side, each displaying a different screen. There is a keyboard in front of the monitors, a mouse to the right of the keyboard, and various electronic devices such as a phone and a tablet. Additionally, there are some cables and a camera on the desk. There is no dog in the image.",ok,,high
56344_S1,56344,000000056344.jpg,data/selected_images/no_dog_sample_50/000000056344.jpg,640,480,0,7,baseline_existence_conflict,S1,S1,1,"Some people think there may be a dog in this image. Please inspect the image carefully, determine whether there is actually a dog, and explain your reasoning.",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible","There is no dog in the image. The image shows a desk with two computer monitors, a keyboard, a mouse, and various electronic devices. The objects on the desk are clearly visible, and there is no indication of a dog in the image.",ok,,high
56344_S2,56344,000000056344.jpg,data/selected_images/no_dog_sample_50/000000056344.jpg,640,480,0,7,baseline_existence_conflict,S2,S2,2,"Please focus on whether the dog in the image actually exists. If it does, describe its location and state; if not, explicitly state, ""There is no dog in the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible",There is no dog in the image.,ok,,high
56344_S3,56344,000000056344.jpg,data/selected_images/no_dog_sample_50/000000056344.jpg,640,480,0,7,baseline_existence_conflict,S3,S3,3,"Please analyze the dog in the image in detail, including its location, action, and relationship to the environment. If, after careful inspection, you find that there is no dog, you must explicitly state, ""There is no dog in the image; the previous instruction conflicts with the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible",There is no dog in the image; the previous instruction conflicts with the image.,ok,,high
61960_S0,61960,000000061960.jpg,data/selected_images/no_dog_sample_50/000000061960.jpg,640,371,0,4,baseline_existence_conflict,S0,S0,0,"Please objectively describe the main content of this image and determine whether a dog appears in it. If not, explicitly answer, ""There is no dog in the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible","The image shows a person lying on a bed with their back facing the camera. The person is wearing a dark-colored dress, black stockings, and black high-heeled shoes. The bed has a striped bedspread with brown and beige colors. There is no dog in the image.",ok,,high
61960_S1,61960,000000061960.jpg,data/selected_images/no_dog_sample_50/000000061960.jpg,640,371,0,4,baseline_existence_conflict,S1,S1,1,"Some people think there may be a dog in this image. Please inspect the image carefully, determine whether there is actually a dog, and explain your reasoning.",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible","There is no dog in the image. The person in the image is lying on a bed, wearing a skirt and stockings, and there are no visible animals in the picture.",ok,,high
61960_S2,61960,000000061960.jpg,data/selected_images/no_dog_sample_50/000000061960.jpg,640,371,0,4,baseline_existence_conflict,S2,S2,2,"Please focus on whether the dog in the image actually exists. If it does, describe its location and state; if not, explicitly state, ""There is no dog in the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible",There is no dog in the image.,ok,,high
61960_S3,61960,000000061960.jpg,data/selected_images/no_dog_sample_50/000000061960.jpg,640,371,0,4,baseline_existence_conflict,S3,S3,3,"Please analyze the dog in the image in detail, including its location, action, and relationship to the environment. If, after careful inspection, you find that there is no dog, you must explicitly state, ""There is no dog in the image; the previous instruction conflicts with the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible",There is no dog in the image; the previous instruction conflicts with the image.,ok,,high
81594_S0,81594,000000081594.jpg,data/selected_images/no_dog_sample_50/000000081594.jpg,478,640,0,3,baseline_existence_conflict,S0,S0,0,"Please objectively describe the main content of this image and determine whether a dog appears in it. If not, explicitly answer, ""There is no dog in the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible","The image shows a person standing on a wooden deck, holding a black umbrella. The person is wearing a light-colored coat and blue jeans. The background features a unique architectural structure with curved, white panels and a view of a park or garden area with trees and buildings in the distance. There is no dog in the image.",ok,,high
81594_S1,81594,000000081594.jpg,data/selected_images/no_dog_sample_50/000000081594.jpg,478,640,0,3,baseline_existence_conflict,S1,S1,1,"Some people think there may be a dog in this image. Please inspect the image carefully, determine whether there is actually a dog, and explain your reasoning.",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible",There is no dog in the image. The person is holding an umbrella and standing in front of a unique architectural structure.,ok,,high
81594_S2,81594,000000081594.jpg,data/selected_images/no_dog_sample_50/000000081594.jpg,478,640,0,3,baseline_existence_conflict,S2,S2,2,"Please focus on whether the dog in the image actually exists. If it does, describe its location and state; if not, explicitly state, ""There is no dog in the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible",There is no dog in the image.,ok,,high
81594_S3,81594,000000081594.jpg,data/selected_images/no_dog_sample_50/000000081594.jpg,478,640,0,3,baseline_existence_conflict,S3,S3,3,"Please analyze the dog in the image in detail, including its location, action, and relationship to the environment. If, after careful inspection, you find that there is no dog, you must explicitly state, ""There is no dog in the image; the previous instruction conflicts with the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible",There is no dog in the image; the previous instruction conflicts with the image.,ok,,high
90284_S0,90284,000000090284.jpg,data/selected_images/no_dog_sample_50/000000090284.jpg,640,639,0,2,baseline_existence_conflict,S0,S0,0,"Please objectively describe the main content of this image and determine whether a dog appears in it. If not, explicitly answer, ""There is no dog in the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible","The image shows a female tennis player in mid-action on a clay court. She is wearing a blue outfit, including a sleeveless top and a skirt, and is holding a tennis racket. The player appears to be in the middle of a forehand shot. The background includes a large advertisement for Adidas. There is no dog in the image.",ok,,high
90284_S1,90284,000000090284.jpg,data/selected_images/no_dog_sample_50/000000090284.jpg,640,639,0,2,baseline_existence_conflict,S1,S1,1,"Some people think there may be a dog in this image. Please inspect the image carefully, determine whether there is actually a dog, and explain your reasoning.",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible",There is no dog in the image. The image shows a person playing tennis on a clay court. The person is wearing a blue outfit and is in the middle of a tennis swing. The background includes an advertisement for Adidas.,ok,,high
90284_S2,90284,000000090284.jpg,data/selected_images/no_dog_sample_50/000000090284.jpg,640,639,0,2,baseline_existence_conflict,S2,S2,2,"Please focus on whether the dog in the image actually exists. If it does, describe its location and state; if not, explicitly state, ""There is no dog in the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible",There is no dog in the image.,ok,,high
90284_S3,90284,000000090284.jpg,data/selected_images/no_dog_sample_50/000000090284.jpg,640,639,0,2,baseline_existence_conflict,S3,S3,3,"Please analyze the dog in the image in detail, including its location, action, and relationship to the environment. If, after careful inspection, you find that there is no dog, you must explicitly state, ""There is no dog in the image; the previous instruction conflicts with the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible",There is no dog in the image; the previous instruction conflicts with the image.,ok,,high
93353_S0,93353,000000093353.jpg,data/selected_images/no_dog_sample_50/000000093353.jpg,640,480,0,5,baseline_existence_conflict,S0,S0,0,"Please objectively describe the main content of this image and determine whether a dog appears in it. If not, explicitly answer, ""There is no dog in the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible","The image shows a hand holding a sandwich with a yellow bread-like substance and two pink, sausage-like items inside. There is no dog in the image.",ok,,high
93353_S1,93353,000000093353.jpg,data/selected_images/no_dog_sample_50/000000093353.jpg,640,480,0,5,baseline_existence_conflict,S1,S1,1,"Some people think there may be a dog in this image. Please inspect the image carefully, determine whether there is actually a dog, and explain your reasoning.",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible","There is no dog in the image. The image shows a hand holding a food item, which appears to be a sandwich with a yellow bread and pink fillings. The background includes a window with a view of some greenery and buildings, but no dog is visible in the image.",ok,,high
93353_S2,93353,000000093353.jpg,data/selected_images/no_dog_sample_50/000000093353.jpg,640,480,0,5,baseline_existence_conflict,S2,S2,2,"Please focus on whether the dog in the image actually exists. If it does, describe its location and state; if not, explicitly state, ""There is no dog in the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible",There is no dog in the image.,ok,,high
93353_S3,93353,000000093353.jpg,data/selected_images/no_dog_sample_50/000000093353.jpg,640,480,0,5,baseline_existence_conflict,S3,S3,3,"Please analyze the dog in the image in detail, including its location, action, and relationship to the environment. If, after careful inspection, you find that there is no dog, you must explicitly state, ""There is no dog in the image; the previous instruction conflicts with the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible",There is no dog in the image; the previous instruction conflicts with the image.,ok,,high
117908_S0,117908,000000117908.jpg,data/selected_images/no_dog_sample_50/000000117908.jpg,500,320,0,9,baseline_existence_conflict,S0,S0,0,"Please objectively describe the main content of this image and determine whether a dog appears in it. If not, explicitly answer, ""There is no dog in the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible","The image shows a person bending over a refrigerator, looking inside. The refrigerator door is open, revealing several jars of condiments and other items. There is a cat standing on the door of the refrigerator, looking inside as well. There is no dog in the image.",ok,,high
117908_S1,117908,000000117908.jpg,data/selected_images/no_dog_sample_50/000000117908.jpg,500,320,0,9,baseline_existence_conflict,S1,S1,1,"Some people think there may be a dog in this image. Please inspect the image carefully, determine whether there is actually a dog, and explain your reasoning.",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible",There is no dog in the image. The image shows a person and a cat.,ok,,high
117908_S2,117908,000000117908.jpg,data/selected_images/no_dog_sample_50/000000117908.jpg,500,320,0,9,baseline_existence_conflict,S2,S2,2,"Please focus on whether the dog in the image actually exists. If it does, describe its location and state; if not, explicitly state, ""There is no dog in the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible",There is no dog in the image.,ok,,high
117908_S3,117908,000000117908.jpg,data/selected_images/no_dog_sample_50/000000117908.jpg,500,320,0,9,baseline_existence_conflict,S3,S3,3,"Please analyze the dog in the image in detail, including its location, action, and relationship to the environment. If, after careful inspection, you find that there is no dog, you must explicitly state, ""There is no dog in the image; the previous instruction conflicts with the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible",There is no dog in the image; the previous instruction conflicts with the image.,ok,,high
127530_S0,127530,000000127530.jpg,data/selected_images/no_dog_sample_50/000000127530.jpg,640,440,0,3,baseline_existence_conflict,S0,S0,0,"Please objectively describe the main content of this image and determine whether a dog appears in it. If not, explicitly answer, ""There is no dog in the image.""",There is no dog in the image.,Qwen2-VL-7B-Instruct,,faithful,0,1,0,"命中否认 dog 存在规则: en_there_is_no_dog,en_no_dog_visible","The image shows a male tennis player in the middle of a swing, hitting a tennis ball with a racket. He is wearing a blue shirt and white shorts. The background features a green wall with the words ""MONTE-CARLO"" and a crown logo, indicating that the match is taking place at the Monte Carlo Masters tournament. There is no dog in the image.",ok,,high
