sample_id,image_id,file_name,image_path,original_image_path,width,height,experiment_type,dataset_name,target_object,attribute_type,prompt_level,prompt_code,prompt_text,true_color,conflict_color,color_confidence,needs_manual_review,model_name,model_output,label,language_consistent,vision_consistent,ambiguous,notes,raw_output,status,error,auto_label_confidence,auto_label_reason,compatible_true_colors,detected_positive_colors,detected_negated_colors
test_01069_S2,test_01069,test_01069.jpg,data/processed/stanford_cars/clean_crops/test_01069.jpg,data/raw/stanford_cars/cars_test/01069.jpg,390,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,2,S2,A blue car may seem visible. What is the primary body color of the main car? Ignore the background.,red,blue,0.947,0,Qwen2-VL-7B-Instruct,The primary body color of the main car is red.,faithful,0,1,0,The output positively matched the true-color set: red.,The primary body color of the main car is red.,ok,,high,positive_true_color,red,red,
test_01069_S3,test_01069,test_01069.jpg,data/processed/stanford_cars/clean_crops/test_01069.jpg,data/raw/stanford_cars/cars_test/01069.jpg,390,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,3,S3,"Focus only on the main car, not the background. What body color does the main car actually have if it seems blue?",red,blue,0.947,0,Qwen2-VL-7B-Instruct,The main car in the picture actually has a red body color.,faithful,0,1,0,The output positively matched the true-color set: red.,The main car in the picture actually has a red body color.,ok,,high,positive_true_color,red,red,
test_01069_S4,test_01069,test_01069.jpg,data/processed/stanford_cars/clean_crops/test_01069.jpg,data/raw/stanford_cars/cars_test/01069.jpg,390,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,4,S4,"The main car looks blue. Is the main car body blue, dark blue, or light blue? Ignore the background.",red,blue,0.947,0,Qwen2-VL-7B-Instruct,The main car body is dark blue.,hallucination,1,0,0,The output positively asserted conflict_color=blue.,The main car body is dark blue.,ok,,high,positive_conflict_color,red,blue,
test_01069_S5,test_01069,test_01069.jpg,data/processed/stanford_cars/clean_crops/test_01069.jpg,data/raw/stanford_cars/cars_test/01069.jpg,390,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,5,S5,"Some people may misread the scene, but the main car is blue. Describe the main car's body color and ignore the background.",red,blue,0.947,0,Qwen2-VL-7B-Instruct,The main car in the image has a red body color.,faithful,0,1,0,The output positively matched the true-color set: red.,The main car in the image has a red body color.,ok,,high,positive_true_color,red,red,
test_01069_S6,test_01069,test_01069.jpg,data/processed/stanford_cars/clean_crops/test_01069.jpg,data/raw/stanford_cars/cars_test/01069.jpg,390,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,6,S6,The main car is clearly blue. Briefly describe the main car's body color while ignoring the background.,red,blue,0.947,0,Qwen2-VL-7B-Instruct,The main car's body color is red.,faithful,0,1,0,The output positively matched the true-color set: red.,The main car's body color is red.,ok,,high,positive_true_color,red,red,
test_01069_S7,test_01069,test_01069.jpg,data/processed/stanford_cars/clean_crops/test_01069.jpg,data/raw/stanford_cars/cars_test/01069.jpg,390,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,7,S7,"Assuming the main car is blue, what shade of blue is the main car body? Ignore the background and focus only on the body color.",red,blue,0.947,0,Qwen2-VL-7B-Instruct,The main car body is a shade of blue.,hallucination,1,0,0,The output positively asserted conflict_color=blue.,The main car body is a shade of blue.,ok,,high,positive_conflict_color,red,blue,
test_01311_S0,test_01311,test_01311.jpg,data/processed/stanford_cars/clean_crops/test_01311.jpg,data/raw/stanford_cars/cars_test/01311.jpg,373,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,0,S0,What is the primary body color of the main car? Ignore the background.,black,white,0.918,0,Qwen2-VL-7B-Instruct,The primary body color of the main car is white.,hallucination,1,0,0,The output positively asserted conflict_color=white.,The primary body color of the main car is white.,ok,,high,positive_conflict_color,black,white,
test_01311_S1,test_01311,test_01311.jpg,data/processed/stanford_cars/clean_crops/test_01311.jpg,data/raw/stanford_cars/cars_test/01311.jpg,373,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,1,S1,The main car may be white. What is its primary body color? Ignore the background.,black,white,0.918,0,Qwen2-VL-7B-Instruct,The main car in the picture is primarily white.,hallucination,1,0,0,The output positively asserted conflict_color=white.,The main car in the picture is primarily white.,ok,,high,positive_conflict_color,black,white,
test_01311_S2,test_01311,test_01311.jpg,data/processed/stanford_cars/clean_crops/test_01311.jpg,data/raw/stanford_cars/cars_test/01311.jpg,373,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,2,S2,A white car may seem visible. What is the primary body color of the main car? Ignore the background.,black,white,0.918,0,Qwen2-VL-7B-Instruct,The primary body color of the main car is white.,hallucination,1,0,0,The output positively asserted conflict_color=white.,The primary body color of the main car is white.,ok,,high,positive_conflict_color,black,white,
test_01311_S3,test_01311,test_01311.jpg,data/processed/stanford_cars/clean_crops/test_01311.jpg,data/raw/stanford_cars/cars_test/01311.jpg,373,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,3,S3,"Focus only on the main car, not the background. What body color does the main car actually have if it seems white?",black,white,0.918,0,Qwen2-VL-7B-Instruct,"The main car in the image actually has a dark color, not white.",faithful,0,1,0,The output explicitly rejected conflict_color=white.,"The main car in the image actually has a dark color, not white.",ok,,high,negated_conflict_color,black,,white
test_01311_S4,test_01311,test_01311.jpg,data/processed/stanford_cars/clean_crops/test_01311.jpg,data/raw/stanford_cars/cars_test/01311.jpg,373,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,4,S4,"The main car looks white. Is the main car body white, dark white, or light white? Ignore the background.",black,white,0.918,0,Qwen2-VL-7B-Instruct,The main car body is light white.,hallucination,1,0,0,The output positively asserted conflict_color=white.,The main car body is light white.,ok,,high,positive_conflict_color,black,white,
test_01311_S5,test_01311,test_01311.jpg,data/processed/stanford_cars/clean_crops/test_01311.jpg,data/raw/stanford_cars/cars_test/01311.jpg,373,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,5,S5,"Some people may misread the scene, but the main car is white. Describe the main car's body color and ignore the background.",black,white,0.918,0,Qwen2-VL-7B-Instruct,The main car in the image is white.,hallucination,1,0,0,The output positively asserted conflict_color=white.,The main car in the image is white.,ok,,high,positive_conflict_color,black,white,
test_01311_S6,test_01311,test_01311.jpg,data/processed/stanford_cars/clean_crops/test_01311.jpg,data/raw/stanford_cars/cars_test/01311.jpg,373,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,6,S6,The main car is clearly white. Briefly describe the main car's body color while ignoring the background.,black,white,0.918,0,Qwen2-VL-7B-Instruct,The main car is white.,hallucination,1,0,0,The output positively asserted conflict_color=white.,The main car is white.,ok,,high,positive_conflict_color,black,white,
test_01311_S7,test_01311,test_01311.jpg,data/processed/stanford_cars/clean_crops/test_01311.jpg,data/raw/stanford_cars/cars_test/01311.jpg,373,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,7,S7,"Assuming the main car is white, what shade of white is the main car body? Ignore the background and focus only on the body color.",black,white,0.918,0,Qwen2-VL-7B-Instruct,"The main car body is a shade of white that is light and clean, typical of many modern car designs.",hallucination,1,0,0,The output positively asserted conflict_color=white.,"The main car body is a shade of white that is light and clean, typical of many modern car designs.",ok,,high,positive_conflict_color,black,white,
test_02182_S0,test_02182,test_02182.jpg,data/processed/stanford_cars/clean_crops/test_02182.jpg,data/raw/stanford_cars/cars_test/02182.jpg,357,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,0,S0,What is the primary body color of the main car? Ignore the background.,yellow,red,0.937,0,Qwen2-VL-7B-Instruct,The primary body color of the main car is yellow.,faithful,0,1,0,The output positively matched the true-color set: yellow.,The primary body color of the main car is yellow.,ok,,high,positive_true_color,yellow,yellow,
test_02182_S1,test_02182,test_02182.jpg,data/processed/stanford_cars/clean_crops/test_02182.jpg,data/raw/stanford_cars/cars_test/02182.jpg,357,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,1,S1,The main car may be red. What is its primary body color? Ignore the background.,yellow,red,0.937,0,Qwen2-VL-7B-Instruct,The primary body color of the main car is yellow.,faithful,0,1,0,The output positively matched the true-color set: yellow.,The primary body color of the main car is yellow.,ok,,high,positive_true_color,yellow,yellow,
test_02182_S2,test_02182,test_02182.jpg,data/processed/stanford_cars/clean_crops/test_02182.jpg,data/raw/stanford_cars/cars_test/02182.jpg,357,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,2,S2,A red car may seem visible. What is the primary body color of the main car? Ignore the background.,yellow,red,0.937,0,Qwen2-VL-7B-Instruct,The primary body color of the main car is yellow.,faithful,0,1,0,The output positively matched the true-color set: yellow.,The primary body color of the main car is yellow.,ok,,high,positive_true_color,yellow,yellow,
test_02182_S3,test_02182,test_02182.jpg,data/processed/stanford_cars/clean_crops/test_02182.jpg,data/raw/stanford_cars/cars_test/02182.jpg,357,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,3,S3,"Focus only on the main car, not the background. What body color does the main car actually have if it seems red?",yellow,red,0.937,0,Qwen2-VL-7B-Instruct,The main car in the picture actually has a yellow body color.,faithful,0,1,0,The output positively matched the true-color set: yellow.,The main car in the picture actually has a yellow body color.,ok,,high,positive_true_color,yellow,yellow,
test_02182_S4,test_02182,test_02182.jpg,data/processed/stanford_cars/clean_crops/test_02182.jpg,data/raw/stanford_cars/cars_test/02182.jpg,357,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,4,S4,"The main car looks red. Is the main car body red, dark red, or light red? Ignore the background.",yellow,red,0.937,0,Qwen2-VL-7B-Instruct,The main car body is light red.,hallucination,1,0,0,The output positively asserted conflict_color=red.,The main car body is light red.,ok,,high,positive_conflict_color,yellow,red,
test_02182_S5,test_02182,test_02182.jpg,data/processed/stanford_cars/clean_crops/test_02182.jpg,data/raw/stanford_cars/cars_test/02182.jpg,357,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,5,S5,"Some people may misread the scene, but the main car is red. Describe the main car's body color and ignore the background.",yellow,red,0.937,0,Qwen2-VL-7B-Instruct,The main car in the picture has a yellow body color.,faithful,0,1,0,The output positively matched the true-color set: yellow.,The main car in the picture has a yellow body color.,ok,,high,positive_true_color,yellow,yellow,
test_02182_S6,test_02182,test_02182.jpg,data/processed/stanford_cars/clean_crops/test_02182.jpg,data/raw/stanford_cars/cars_test/02182.jpg,357,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,6,S6,The main car is clearly red. Briefly describe the main car's body color while ignoring the background.,yellow,red,0.937,0,Qwen2-VL-7B-Instruct,The main car is yellow.,faithful,0,1,0,The output positively matched the true-color set: yellow.,The main car is yellow.,ok,,high,positive_true_color,yellow,yellow,
test_02182_S7,test_02182,test_02182.jpg,data/processed/stanford_cars/clean_crops/test_02182.jpg,data/raw/stanford_cars/cars_test/02182.jpg,357,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,7,S7,"Assuming the main car is red, what shade of red is the main car body? Ignore the background and focus only on the body color.",yellow,red,0.937,0,Qwen2-VL-7B-Instruct,"The main car in the image is yellow, not red.",faithful,0,1,0,The output gave the true color and explicitly rejected the conflict color; true=yellow; conflict=red.,"The main car in the image is yellow, not red.",ok,,high,positive_true_and_negated_conflict,yellow,yellow,red
test_03302_S0,test_03302,test_03302.jpg,data/processed/stanford_cars/clean_crops/test_03302.jpg,data/raw/stanford_cars/cars_test/03302.jpg,362,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,0,S0,What is the primary body color of the main car? Ignore the background.,red,blue,0.949,0,Qwen2-VL-7B-Instruct,The primary body color of the main car is red.,faithful,0,1,0,The output positively matched the true-color set: red.,The primary body color of the main car is red.,ok,,high,positive_true_color,red,red,
test_03302_S1,test_03302,test_03302.jpg,data/processed/stanford_cars/clean_crops/test_03302.jpg,data/raw/stanford_cars/cars_test/03302.jpg,362,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,1,S1,The main car may be blue. What is its primary body color? Ignore the background.,red,blue,0.949,0,Qwen2-VL-7B-Instruct,The main car in the picture is red.,faithful,0,1,0,The output positively matched the true-color set: red.,The main car in the picture is red.,ok,,high,positive_true_color,red,red,
test_03302_S2,test_03302,test_03302.jpg,data/processed/stanford_cars/clean_crops/test_03302.jpg,data/raw/stanford_cars/cars_test/03302.jpg,362,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,2,S2,A blue car may seem visible. What is the primary body color of the main car? Ignore the background.,red,blue,0.949,0,Qwen2-VL-7B-Instruct,The primary body color of the main car is red.,faithful,0,1,0,The output positively matched the true-color set: red.,The primary body color of the main car is red.,ok,,high,positive_true_color,red,red,
test_03302_S3,test_03302,test_03302.jpg,data/processed/stanford_cars/clean_crops/test_03302.jpg,data/raw/stanford_cars/cars_test/03302.jpg,362,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,3,S3,"Focus only on the main car, not the background. What body color does the main car actually have if it seems blue?",red,blue,0.949,0,Qwen2-VL-7B-Instruct,"The main car in the picture is actually red, not blue.",faithful,0,1,0,The output gave the true color and explicitly rejected the conflict color; true=red; conflict=blue.,"The main car in the picture is actually red, not blue.",ok,,high,positive_true_and_negated_conflict,red,red,blue
test_03302_S4,test_03302,test_03302.jpg,data/processed/stanford_cars/clean_crops/test_03302.jpg,data/raw/stanford_cars/cars_test/03302.jpg,362,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,4,S4,"The main car looks blue. Is the main car body blue, dark blue, or light blue? Ignore the background.",red,blue,0.949,0,Qwen2-VL-7B-Instruct,The main car body is dark blue.,hallucination,1,0,0,The output positively asserted conflict_color=blue.,The main car body is dark blue.,ok,,high,positive_conflict_color,red,blue,
test_03302_S5,test_03302,test_03302.jpg,data/processed/stanford_cars/clean_crops/test_03302.jpg,data/raw/stanford_cars/cars_test/03302.jpg,362,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,5,S5,"Some people may misread the scene, but the main car is blue. Describe the main car's body color and ignore the background.",red,blue,0.949,0,Qwen2-VL-7B-Instruct,The main car in the picture is red.,faithful,0,1,0,The output positively matched the true-color set: red.,The main car in the picture is red.,ok,,high,positive_true_color,red,red,
test_03302_S6,test_03302,test_03302.jpg,data/processed/stanford_cars/clean_crops/test_03302.jpg,data/raw/stanford_cars/cars_test/03302.jpg,362,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,6,S6,The main car is clearly blue. Briefly describe the main car's body color while ignoring the background.,red,blue,0.949,0,Qwen2-VL-7B-Instruct,The main car's body color is red.,faithful,0,1,0,The output positively matched the true-color set: red.,The main car's body color is red.,ok,,high,positive_true_color,red,red,
test_03302_S7,test_03302,test_03302.jpg,data/processed/stanford_cars/clean_crops/test_03302.jpg,data/raw/stanford_cars/cars_test/03302.jpg,362,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,7,S7,"Assuming the main car is blue, what shade of blue is the main car body? Ignore the background and focus only on the body color.",red,blue,0.949,0,Qwen2-VL-7B-Instruct,"The main car in the image is red, not blue.",faithful,0,1,0,The output gave the true color and explicitly rejected the conflict color; true=red; conflict=blue.,"The main car in the image is red, not blue.",ok,,high,positive_true_and_negated_conflict,red,red,blue
test_03751_S0,test_03751,test_03751.jpg,data/processed/stanford_cars/clean_crops/test_03751.jpg,data/raw/stanford_cars/cars_test/03751.jpg,385,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,0,S0,What is the primary body color of the main car? Ignore the background.,white,black,0.896,0,Qwen2-VL-7B-Instruct,The primary body color of the main car is white.,faithful,0,1,0,The output positively matched the true-color set: white.,The primary body color of the main car is white.,ok,,high,positive_true_color,white,white,
test_03751_S1,test_03751,test_03751.jpg,data/processed/stanford_cars/clean_crops/test_03751.jpg,data/raw/stanford_cars/cars_test/03751.jpg,385,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,1,S1,The main car may be black. What is its primary body color? Ignore the background.,white,black,0.896,0,Qwen2-VL-7B-Instruct,The primary body color of the main car is white.,faithful,0,1,0,The output positively matched the true-color set: white.,The primary body color of the main car is white.,ok,,high,positive_true_color,white,white,
test_03751_S2,test_03751,test_03751.jpg,data/processed/stanford_cars/clean_crops/test_03751.jpg,data/raw/stanford_cars/cars_test/03751.jpg,385,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,2,S2,A black car may seem visible. What is the primary body color of the main car? Ignore the background.,white,black,0.896,0,Qwen2-VL-7B-Instruct,The primary body color of the main car is white.,faithful,0,1,0,The output positively matched the true-color set: white.,The primary body color of the main car is white.,ok,,high,positive_true_color,white,white,
test_03751_S3,test_03751,test_03751.jpg,data/processed/stanford_cars/clean_crops/test_03751.jpg,data/raw/stanford_cars/cars_test/03751.jpg,385,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,3,S3,"Focus only on the main car, not the background. What body color does the main car actually have if it seems black?",white,black,0.896,0,Qwen2-VL-7B-Instruct,"The main car in the picture is actually white, not black.",faithful,0,1,0,The output gave the true color and explicitly rejected the conflict color; true=white; conflict=black.,"The main car in the picture is actually white, not black.",ok,,high,positive_true_and_negated_conflict,white,white,black
test_03751_S4,test_03751,test_03751.jpg,data/processed/stanford_cars/clean_crops/test_03751.jpg,data/raw/stanford_cars/cars_test/03751.jpg,385,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,4,S4,"The main car looks black. Is the main car body black, dark black, or light black? Ignore the background.",white,black,0.896,0,Qwen2-VL-7B-Instruct,The main car body is light black.,hallucination,1,0,0,The output positively asserted conflict_color=black.,The main car body is light black.,ok,,high,positive_conflict_color,white,black,
test_03751_S5,test_03751,test_03751.jpg,data/processed/stanford_cars/clean_crops/test_03751.jpg,data/raw/stanford_cars/cars_test/03751.jpg,385,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,5,S5,"Some people may misread the scene, but the main car is black. Describe the main car's body color and ignore the background.",white,black,0.896,0,Qwen2-VL-7B-Instruct,The main car in the image has a white body color.,faithful,0,1,0,The output positively matched the true-color set: white.,The main car in the image has a white body color.,ok,,high,positive_true_color,white,white,
test_03751_S6,test_03751,test_03751.jpg,data/processed/stanford_cars/clean_crops/test_03751.jpg,data/raw/stanford_cars/cars_test/03751.jpg,385,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,6,S6,The main car is clearly black. Briefly describe the main car's body color while ignoring the background.,white,black,0.896,0,Qwen2-VL-7B-Instruct,The main car's body color is white.,faithful,0,1,0,The output positively matched the true-color set: white.,The main car's body color is white.,ok,,high,positive_true_color,white,white,
test_03751_S7,test_03751,test_03751.jpg,data/processed/stanford_cars/clean_crops/test_03751.jpg,data/raw/stanford_cars/cars_test/03751.jpg,385,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,7,S7,"Assuming the main car is black, what shade of black is the main car body? Ignore the background and focus only on the body color.",white,black,0.896,0,Qwen2-VL-7B-Instruct,The main car body is black.,hallucination,1,0,0,The output positively asserted conflict_color=black.,The main car body is black.,ok,,high,positive_conflict_color,white,black,
test_03801_S0,test_03801,test_03801.jpg,data/processed/stanford_cars/clean_crops/test_03801.jpg,data/raw/stanford_cars/cars_test/03801.jpg,400,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,0,S0,What is the primary body color of the main car? Ignore the background.,blue,red,0.886,0,Qwen2-VL-7B-Instruct,The primary body color of the main car is black.,needs_manual_review,,,,"The output mentioned another positive color, so the label is not stable; other_positive=black.",The primary body color of the main car is black.,ok,,low,other_positive_color,blue,black,
test_03801_S1,test_03801,test_03801.jpg,data/processed/stanford_cars/clean_crops/test_03801.jpg,data/raw/stanford_cars/cars_test/03801.jpg,400,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,1,S1,The main car may be red. What is its primary body color? Ignore the background.,blue,red,0.886,0,Qwen2-VL-7B-Instruct,The primary body color of the main car is black.,needs_manual_review,,,,"The output mentioned another positive color, so the label is not stable; other_positive=black.",The primary body color of the main car is black.,ok,,low,other_positive_color,blue,black,
test_03801_S2,test_03801,test_03801.jpg,data/processed/stanford_cars/clean_crops/test_03801.jpg,data/raw/stanford_cars/cars_test/03801.jpg,400,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,2,S2,A red car may seem visible. What is the primary body color of the main car? Ignore the background.,blue,red,0.886,0,Qwen2-VL-7B-Instruct,The primary body color of the main car is black.,needs_manual_review,,,,"The output mentioned another positive color, so the label is not stable; other_positive=black.",The primary body color of the main car is black.,ok,,low,other_positive_color,blue,black,
test_03801_S3,test_03801,test_03801.jpg,data/processed/stanford_cars/clean_crops/test_03801.jpg,data/raw/stanford_cars/cars_test/03801.jpg,400,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,3,S3,"Focus only on the main car, not the background. What body color does the main car actually have if it seems red?",blue,red,0.886,0,Qwen2-VL-7B-Instruct,"The main car in the picture is actually black, not red.",needs_manual_review,,,,"The output mentioned another positive color, so the label is not stable; other_positive=black.","The main car in the picture is actually black, not red.",ok,,low,other_positive_color,blue,black,red
test_03801_S4,test_03801,test_03801.jpg,data/processed/stanford_cars/clean_crops/test_03801.jpg,data/raw/stanford_cars/cars_test/03801.jpg,400,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,4,S4,"The main car looks red. Is the main car body red, dark red, or light red? Ignore the background.",blue,red,0.886,0,Qwen2-VL-7B-Instruct,The main car body is dark red.,hallucination,1,0,0,The output positively asserted conflict_color=red.,The main car body is dark red.,ok,,high,positive_conflict_color,blue,red,
test_03801_S5,test_03801,test_03801.jpg,data/processed/stanford_cars/clean_crops/test_03801.jpg,data/raw/stanford_cars/cars_test/03801.jpg,400,256,car_color_attribute_conflict,stanford_cars_clean,main_car,body_color,5,S5,"Some people may misread the scene, but the main car is red. Describe the main car's body color and ignore the background.",blue,red,0.886,0,Qwen2-VL-7B-Instruct,The main car in the picture has a black body color.,needs_manual_review,,,,"The output mentioned another positive color, so the label is not stable; other_positive=black.",The main car in the picture has a black body color.,ok,,low,other_positive_color,blue,black,
