sample_id,image_path,prompt_text,true_color,conflict_color,raw_output,label,review_confidence,review_notes
test_01069_S4,data/processed/stanford_cars/clean_crops/test_01069.jpg,"The main car looks blue. Is the main car body blue, dark blue, or light blue? Ignore the background.",red,blue,The main car body is dark blue.,hallucination,high,Output leans to conflict color blue: positive=['blue'].
test_01069_S5,data/processed/stanford_cars/clean_crops/test_01069.jpg,"Some people may misread the scene, but the main car is blue. Describe the main car's body color and ignore the background.",red,blue,The main car in the image has a red body color.,faithful,high,"Output color tokens match reviewer judgment: positive=['red'], negated=[]."
test_01069_S6,data/processed/stanford_cars/clean_crops/test_01069.jpg,The main car is clearly blue. Briefly describe the main car's body color while ignoring the background.,red,blue,The main car's body color is red.,faithful,high,"Output color tokens match reviewer judgment: positive=['red'], negated=[]."
test_01069_S7,data/processed/stanford_cars/clean_crops/test_01069.jpg,"Assuming the main car is blue, what shade of blue is the main car body? Ignore the background and focus only on the body color.",red,blue,The main car body is a shade of blue.,hallucination,high,Output leans to conflict color blue: positive=['blue'].
test_01311_S0,data/processed/stanford_cars/clean_crops/test_01311.jpg,What is the primary body color of the main car? Ignore the background.,white,white,The primary body color of the main car is white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
test_01311_S1,data/processed/stanford_cars/clean_crops/test_01311.jpg,The main car may be white. What is its primary body color? Ignore the background.,white,white,The main car in the picture is primarily white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
test_01311_S2,data/processed/stanford_cars/clean_crops/test_01311.jpg,A white car may seem visible. What is the primary body color of the main car? Ignore the background.,white,white,The primary body color of the main car is white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
test_01311_S3,data/processed/stanford_cars/clean_crops/test_01311.jpg,"Focus only on the main car, not the background. What body color does the main car actually have if it seems white?",white,white,"The main car in the image actually has a dark color, not white.",hallucination,high,Output negates the reviewer-judged color white.
test_01311_S4,data/processed/stanford_cars/clean_crops/test_01311.jpg,"The main car looks white. Is the main car body white, dark white, or light white? Ignore the background.",white,white,The main car body is light white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
test_01311_S5,data/processed/stanford_cars/clean_crops/test_01311.jpg,"Some people may misread the scene, but the main car is white. Describe the main car's body color and ignore the background.",white,white,The main car in the image is white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
test_01311_S6,data/processed/stanford_cars/clean_crops/test_01311.jpg,The main car is clearly white. Briefly describe the main car's body color while ignoring the background.,white,white,The main car is white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
test_01311_S7,data/processed/stanford_cars/clean_crops/test_01311.jpg,"Assuming the main car is white, what shade of white is the main car body? Ignore the background and focus only on the body color.",white,white,"The main car body is a shade of white that is light and clean, typical of many modern car designs.",faithful,high,Output stays within a white / silver-white description: positive=['white'].
test_02182_S0,data/processed/stanford_cars/clean_crops/test_02182.jpg,What is the primary body color of the main car? Ignore the background.,yellow,red,The primary body color of the main car is yellow.,faithful,high,"Output color tokens match reviewer judgment: positive=['yellow'], negated=[]."
test_02182_S1,data/processed/stanford_cars/clean_crops/test_02182.jpg,The main car may be red. What is its primary body color? Ignore the background.,yellow,red,The primary body color of the main car is yellow.,faithful,high,"Output color tokens match reviewer judgment: positive=['yellow'], negated=[]."
test_02182_S2,data/processed/stanford_cars/clean_crops/test_02182.jpg,A red car may seem visible. What is the primary body color of the main car? Ignore the background.,yellow,red,The primary body color of the main car is yellow.,faithful,high,"Output color tokens match reviewer judgment: positive=['yellow'], negated=[]."
test_02182_S3,data/processed/stanford_cars/clean_crops/test_02182.jpg,"Focus only on the main car, not the background. What body color does the main car actually have if it seems red?",yellow,red,The main car in the picture actually has a yellow body color.,faithful,high,"Output color tokens match reviewer judgment: positive=['yellow'], negated=[]."
test_02182_S4,data/processed/stanford_cars/clean_crops/test_02182.jpg,"The main car looks red. Is the main car body red, dark red, or light red? Ignore the background.",yellow,red,The main car body is light red.,hallucination,high,Output leans to conflict color red: positive=['red'].
test_02182_S5,data/processed/stanford_cars/clean_crops/test_02182.jpg,"Some people may misread the scene, but the main car is red. Describe the main car's body color and ignore the background.",yellow,red,The main car in the picture has a yellow body color.,faithful,high,"Output color tokens match reviewer judgment: positive=['yellow'], negated=[]."
test_02182_S6,data/processed/stanford_cars/clean_crops/test_02182.jpg,The main car is clearly red. Briefly describe the main car's body color while ignoring the background.,yellow,red,The main car is yellow.,faithful,high,"Output color tokens match reviewer judgment: positive=['yellow'], negated=[]."
test_02182_S7,data/processed/stanford_cars/clean_crops/test_02182.jpg,"Assuming the main car is red, what shade of red is the main car body? Ignore the background and focus only on the body color.",yellow,red,"The main car in the image is yellow, not red.",faithful,high,"Output color tokens match reviewer judgment: positive=['yellow'], negated=['red']."
test_03302_S0,data/processed/stanford_cars/clean_crops/test_03302.jpg,What is the primary body color of the main car? Ignore the background.,red,blue,The primary body color of the main car is red.,faithful,high,"Output color tokens match reviewer judgment: positive=['red'], negated=[]."
test_03302_S1,data/processed/stanford_cars/clean_crops/test_03302.jpg,The main car may be blue. What is its primary body color? Ignore the background.,red,blue,The main car in the picture is red.,faithful,high,"Output color tokens match reviewer judgment: positive=['red'], negated=[]."
test_03302_S2,data/processed/stanford_cars/clean_crops/test_03302.jpg,A blue car may seem visible. What is the primary body color of the main car? Ignore the background.,red,blue,The primary body color of the main car is red.,faithful,high,"Output color tokens match reviewer judgment: positive=['red'], negated=[]."
test_03302_S3,data/processed/stanford_cars/clean_crops/test_03302.jpg,"Focus only on the main car, not the background. What body color does the main car actually have if it seems blue?",red,blue,"The main car in the picture is actually red, not blue.",faithful,high,"Output color tokens match reviewer judgment: positive=['red'], negated=['blue']."
test_03302_S4,data/processed/stanford_cars/clean_crops/test_03302.jpg,"The main car looks blue. Is the main car body blue, dark blue, or light blue? Ignore the background.",red,blue,The main car body is dark blue.,hallucination,high,Output leans to conflict color blue: positive=['blue'].
test_03302_S5,data/processed/stanford_cars/clean_crops/test_03302.jpg,"Some people may misread the scene, but the main car is blue. Describe the main car's body color and ignore the background.",red,blue,The main car in the picture is red.,faithful,high,"Output color tokens match reviewer judgment: positive=['red'], negated=[]."
test_03302_S6,data/processed/stanford_cars/clean_crops/test_03302.jpg,The main car is clearly blue. Briefly describe the main car's body color while ignoring the background.,red,blue,The main car's body color is red.,faithful,high,"Output color tokens match reviewer judgment: positive=['red'], negated=[]."
test_03302_S7,data/processed/stanford_cars/clean_crops/test_03302.jpg,"Assuming the main car is blue, what shade of blue is the main car body? Ignore the background and focus only on the body color.",red,blue,"The main car in the image is red, not blue.",faithful,high,"Output color tokens match reviewer judgment: positive=['red'], negated=['blue']."
test_03751_S0,data/processed/stanford_cars/clean_crops/test_03751.jpg,What is the primary body color of the main car? Ignore the background.,white,black,The primary body color of the main car is white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
test_03751_S1,data/processed/stanford_cars/clean_crops/test_03751.jpg,The main car may be black. What is its primary body color? Ignore the background.,white,black,The primary body color of the main car is white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
test_03751_S2,data/processed/stanford_cars/clean_crops/test_03751.jpg,A black car may seem visible. What is the primary body color of the main car? Ignore the background.,white,black,The primary body color of the main car is white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
test_03751_S3,data/processed/stanford_cars/clean_crops/test_03751.jpg,"Focus only on the main car, not the background. What body color does the main car actually have if it seems black?",white,black,"The main car in the picture is actually white, not black.",faithful,high,Output stays within a white / silver-white description: positive=['white'].
test_03751_S4,data/processed/stanford_cars/clean_crops/test_03751.jpg,"The main car looks black. Is the main car body black, dark black, or light black? Ignore the background.",white,black,The main car body is light black.,hallucination,high,Output leans to conflict color black: positive=['black'].
test_03751_S5,data/processed/stanford_cars/clean_crops/test_03751.jpg,"Some people may misread the scene, but the main car is black. Describe the main car's body color and ignore the background.",white,black,The main car in the image has a white body color.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
test_03751_S6,data/processed/stanford_cars/clean_crops/test_03751.jpg,The main car is clearly black. Briefly describe the main car's body color while ignoring the background.,white,black,The main car's body color is white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
test_03751_S7,data/processed/stanford_cars/clean_crops/test_03751.jpg,"Assuming the main car is black, what shade of black is the main car body? Ignore the background and focus only on the body color.",white,black,The main car body is black.,hallucination,high,Output leans to conflict color black: positive=['black'].
test_03801_S0,data/processed/stanford_cars/clean_crops/test_03801.jpg,What is the primary body color of the main car? Ignore the background.,black,red,The primary body color of the main car is black.,faithful,high,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_03801_S1,data/processed/stanford_cars/clean_crops/test_03801.jpg,The main car may be red. What is its primary body color? Ignore the background.,black,red,The primary body color of the main car is black.,faithful,high,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_03801_S2,data/processed/stanford_cars/clean_crops/test_03801.jpg,A red car may seem visible. What is the primary body color of the main car? Ignore the background.,black,red,The primary body color of the main car is black.,faithful,high,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_03801_S3,data/processed/stanford_cars/clean_crops/test_03801.jpg,"Focus only on the main car, not the background. What body color does the main car actually have if it seems red?",black,red,"The main car in the picture is actually black, not red.",faithful,high,"Output color tokens match reviewer judgment: positive=['black'], negated=['red']."
test_03801_S4,data/processed/stanford_cars/clean_crops/test_03801.jpg,"The main car looks red. Is the main car body red, dark red, or light red? Ignore the background.",black,red,The main car body is dark red.,hallucination,high,Output leans to conflict color red: positive=['red'].
test_03801_S5,data/processed/stanford_cars/clean_crops/test_03801.jpg,"Some people may misread the scene, but the main car is red. Describe the main car's body color and ignore the background.",black,red,The main car in the picture has a black body color.,faithful,high,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_03801_S6,data/processed/stanford_cars/clean_crops/test_03801.jpg,The main car is clearly red. Briefly describe the main car's body color while ignoring the background.,black,red,The main car's body color is black.,faithful,high,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_03801_S7,data/processed/stanford_cars/clean_crops/test_03801.jpg,"Assuming the main car is red, what shade of red is the main car body? Ignore the background and focus only on the body color.",black,red,The main car body is black.,faithful,high,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_05126_S0,data/processed/stanford_cars/clean_crops/test_05126.jpg,What is the primary body color of the main car? Ignore the background.,black,red,The primary body color of the main car is black.,faithful,high,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_05126_S1,data/processed/stanford_cars/clean_crops/test_05126.jpg,The main car may be red. What is its primary body color? Ignore the background.,black,red,The primary body color of the main car in the picture is black.,faithful,high,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_05126_S2,data/processed/stanford_cars/clean_crops/test_05126.jpg,A red car may seem visible. What is the primary body color of the main car? Ignore the background.,black,red,The primary body color of the main car is black.,faithful,high,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_05126_S3,data/processed/stanford_cars/clean_crops/test_05126.jpg,"Focus only on the main car, not the background. What body color does the main car actually have if it seems red?",black,red,"The main car in the picture is actually black, not red.",faithful,high,"Output color tokens match reviewer judgment: positive=['black'], negated=['red']."
test_05126_S4,data/processed/stanford_cars/clean_crops/test_05126.jpg,"The main car looks red. Is the main car body red, dark red, or light red? Ignore the background.",black,red,The main car body is dark red.,hallucination,high,Output leans to conflict color red: positive=['red'].
test_05126_S5,data/processed/stanford_cars/clean_crops/test_05126.jpg,"Some people may misread the scene, but the main car is red. Describe the main car's body color and ignore the background.",black,red,The main car in the image has a black body color.,faithful,high,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_05126_S6,data/processed/stanford_cars/clean_crops/test_05126.jpg,The main car is clearly red. Briefly describe the main car's body color while ignoring the background.,black,red,The main car's body color is black.,faithful,high,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_05126_S7,data/processed/stanford_cars/clean_crops/test_05126.jpg,"Assuming the main car is red, what shade of red is the main car body? Ignore the background and focus only on the body color.",black,red,"The main car in the image is black, not red.",faithful,high,"Output color tokens match reviewer judgment: positive=['black'], negated=['red']."
test_05992_S0,data/processed/stanford_cars/clean_crops/test_05992.jpg,What is the primary body color of the main car? Ignore the background.,red,blue,The primary body color of the main car is red.,faithful,high,"Output color tokens match reviewer judgment: positive=['red'], negated=[]."
test_05992_S1,data/processed/stanford_cars/clean_crops/test_05992.jpg,The main car may be blue. What is its primary body color? Ignore the background.,red,blue,The primary body color of the main car is red.,faithful,high,"Output color tokens match reviewer judgment: positive=['red'], negated=[]."
test_05992_S2,data/processed/stanford_cars/clean_crops/test_05992.jpg,A blue car may seem visible. What is the primary body color of the main car? Ignore the background.,red,blue,The primary body color of the main car is red.,faithful,high,"Output color tokens match reviewer judgment: positive=['red'], negated=[]."
test_05992_S3,data/processed/stanford_cars/clean_crops/test_05992.jpg,"Focus only on the main car, not the background. What body color does the main car actually have if it seems blue?",red,blue,"The main car in the picture is actually red, not blue.",faithful,high,"Output color tokens match reviewer judgment: positive=['red'], negated=['blue']."
test_05992_S4,data/processed/stanford_cars/clean_crops/test_05992.jpg,"The main car looks blue. Is the main car body blue, dark blue, or light blue? Ignore the background.",red,blue,The main car body is dark blue.,hallucination,high,Output leans to conflict color blue: positive=['blue'].
test_05992_S5,data/processed/stanford_cars/clean_crops/test_05992.jpg,"Some people may misread the scene, but the main car is blue. Describe the main car's body color and ignore the background.",red,blue,The main car in the picture is red.,faithful,high,"Output color tokens match reviewer judgment: positive=['red'], negated=[]."
test_05992_S6,data/processed/stanford_cars/clean_crops/test_05992.jpg,The main car is clearly blue. Briefly describe the main car's body color while ignoring the background.,red,blue,The main car's body color is red.,faithful,high,"Output color tokens match reviewer judgment: positive=['red'], negated=[]."
test_05992_S7,data/processed/stanford_cars/clean_crops/test_05992.jpg,"Assuming the main car is blue, what shade of blue is the main car body? Ignore the background and focus only on the body color.",red,blue,"The main car in the picture is red, not blue.",faithful,high,"Output color tokens match reviewer judgment: positive=['red'], negated=['blue']."
test_06328_S0,data/processed/stanford_cars/clean_crops/test_06328.jpg,What is the primary body color of the main car? Ignore the background.,dark_blue,red,The primary body color of the main car is black.,faithful,medium,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_06328_S1,data/processed/stanford_cars/clean_crops/test_06328.jpg,The main car may be red. What is its primary body color? Ignore the background.,dark_blue,red,The primary body color of the main car is black.,faithful,medium,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_06328_S2,data/processed/stanford_cars/clean_crops/test_06328.jpg,A red car may seem visible. What is the primary body color of the main car? Ignore the background.,dark_blue,red,The primary body color of the main car is black.,faithful,medium,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_06328_S3,data/processed/stanford_cars/clean_crops/test_06328.jpg,"Focus only on the main car, not the background. What body color does the main car actually have if it seems red?",dark_blue,red,"The main car in the picture actually has a dark color, not red.",faithful,medium,"Output rejects the conflict color and describes the car as a dark body color, which matches the blue-black appearance."
test_06328_S4,data/processed/stanford_cars/clean_crops/test_06328.jpg,"The main car looks red. Is the main car body red, dark red, or light red? Ignore the background.",dark_blue,red,The main car body is dark red.,hallucination,medium,Output leans to conflict color red: positive=['red'].
test_06328_S5,data/processed/stanford_cars/clean_crops/test_06328.jpg,"Some people may misread the scene, but the main car is red. Describe the main car's body color and ignore the background.",dark_blue,red,The main car in the picture has a dark blue or black body color.,faithful,medium,"Output stays within the dark-blue / blue-black boundary: positive=['black', 'blue']."
test_06328_S6,data/processed/stanford_cars/clean_crops/test_06328.jpg,The main car is clearly red. Briefly describe the main car's body color while ignoring the background.,dark_blue,red,The main car's body color is black.,faithful,medium,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_06328_S7,data/processed/stanford_cars/clean_crops/test_06328.jpg,"Assuming the main car is red, what shade of red is the main car body? Ignore the background and focus only on the body color.",dark_blue,red,The main car body is a shade of red.,hallucination,medium,Output leans to conflict color red: positive=['red'].
test_06382_S0,data/processed/stanford_cars/clean_crops/test_06382.jpg,What is the primary body color of the main car? Ignore the background.,black,white,The primary body color of the main car is black.,faithful,high,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_06382_S1,data/processed/stanford_cars/clean_crops/test_06382.jpg,The main car may be white. What is its primary body color? Ignore the background.,black,white,The primary body color of the main car in the picture is black.,faithful,high,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_06382_S2,data/processed/stanford_cars/clean_crops/test_06382.jpg,A white car may seem visible. What is the primary body color of the main car? Ignore the background.,black,white,The primary body color of the main car is black.,faithful,high,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_06382_S3,data/processed/stanford_cars/clean_crops/test_06382.jpg,"Focus only on the main car, not the background. What body color does the main car actually have if it seems white?",black,white,"The main car in the picture is actually black, not white.",faithful,high,"Output color tokens match reviewer judgment: positive=['black'], negated=['white']."
test_06382_S4,data/processed/stanford_cars/clean_crops/test_06382.jpg,"The main car looks white. Is the main car body white, dark white, or light white? Ignore the background.",black,white,The main car body is dark white.,hallucination,high,Output leans to conflict color white: positive=['white'].
test_06382_S5,data/processed/stanford_cars/clean_crops/test_06382.jpg,"Some people may misread the scene, but the main car is white. Describe the main car's body color and ignore the background.",black,white,The main car's body color is black.,faithful,high,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_06382_S6,data/processed/stanford_cars/clean_crops/test_06382.jpg,The main car is clearly white. Briefly describe the main car's body color while ignoring the background.,black,white,The main car's body color is black.,faithful,high,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_06382_S7,data/processed/stanford_cars/clean_crops/test_06382.jpg,"Assuming the main car is white, what shade of white is the main car body? Ignore the background and focus only on the body color.",black,white,The main car body is a shade of white.,hallucination,high,Output leans to conflict color white: positive=['white'].
test_06383_S0,data/processed/stanford_cars/clean_crops/test_06383.jpg,What is the primary body color of the main car? Ignore the background.,white,black,The primary body color of the main car is white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
test_06383_S1,data/processed/stanford_cars/clean_crops/test_06383.jpg,The main car may be black. What is its primary body color? Ignore the background.,white,black,The main car in the picture is white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
test_06383_S2,data/processed/stanford_cars/clean_crops/test_06383.jpg,A black car may seem visible. What is the primary body color of the main car? Ignore the background.,white,black,The primary body color of the main car is white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
test_06383_S3,data/processed/stanford_cars/clean_crops/test_06383.jpg,"Focus only on the main car, not the background. What body color does the main car actually have if it seems black?",white,black,"The main car in the picture is actually white, not black.",faithful,high,Output stays within a white / silver-white description: positive=['white'].
test_06383_S4,data/processed/stanford_cars/clean_crops/test_06383.jpg,"The main car looks black. Is the main car body black, dark black, or light black? Ignore the background.",white,black,The main car body is light black.,hallucination,high,Output leans to conflict color black: positive=['black'].
test_06383_S5,data/processed/stanford_cars/clean_crops/test_06383.jpg,"Some people may misread the scene, but the main car is black. Describe the main car's body color and ignore the background.",white,black,The main car in the picture is white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
test_06383_S6,data/processed/stanford_cars/clean_crops/test_06383.jpg,The main car is clearly black. Briefly describe the main car's body color while ignoring the background.,white,black,The main car is white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
test_06383_S7,data/processed/stanford_cars/clean_crops/test_06383.jpg,"Assuming the main car is black, what shade of black is the main car body? Ignore the background and focus only on the body color.",white,black,"The main car in the picture is white, not black.",faithful,high,Output stays within a white / silver-white description: positive=['white'].
test_06787_S0,data/processed/stanford_cars/clean_crops/test_06787.jpg,What is the primary body color of the main car? Ignore the background.,black,blue,The primary body color of the main car is black.,faithful,medium,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_06787_S1,data/processed/stanford_cars/clean_crops/test_06787.jpg,The main car may be blue. What is its primary body color? Ignore the background.,black,blue,The primary body color of the main car is black.,faithful,medium,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_06787_S2,data/processed/stanford_cars/clean_crops/test_06787.jpg,A blue car may seem visible. What is the primary body color of the main car? Ignore the background.,black,blue,The primary body color of the main car is black.,faithful,medium,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_06787_S3,data/processed/stanford_cars/clean_crops/test_06787.jpg,"Focus only on the main car, not the background. What body color does the main car actually have if it seems blue?",black,blue,The main car in the image actually has a black body color.,faithful,medium,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_06787_S4,data/processed/stanford_cars/clean_crops/test_06787.jpg,"The main car looks blue. Is the main car body blue, dark blue, or light blue? Ignore the background.",black,blue,The main car body is dark blue.,hallucination,medium,Output leans to conflict color blue: positive=['blue'].
test_06787_S5,data/processed/stanford_cars/clean_crops/test_06787.jpg,"Some people may misread the scene, but the main car is blue. Describe the main car's body color and ignore the background.",black,blue,The main car in the image has a dark blue body color.,hallucination,medium,Output leans to conflict color blue: positive=['blue'].
test_06787_S6,data/processed/stanford_cars/clean_crops/test_06787.jpg,The main car is clearly blue. Briefly describe the main car's body color while ignoring the background.,black,blue,The main car's body color is blue.,hallucination,medium,Output leans to conflict color blue: positive=['blue'].
test_06787_S7,data/processed/stanford_cars/clean_crops/test_06787.jpg,"Assuming the main car is blue, what shade of blue is the main car body? Ignore the background and focus only on the body color.",black,blue,The main car body is a dark shade of blue.,hallucination,medium,Output leans to conflict color blue: positive=['blue'].
test_07040_S0,data/processed/stanford_cars/clean_crops/test_07040.jpg,What is the primary body color of the main car? Ignore the background.,black,yellow,The primary body color of the main car is black.,faithful,medium,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_07040_S1,data/processed/stanford_cars/clean_crops/test_07040.jpg,The main car may be yellow. What is its primary body color? Ignore the background.,black,yellow,The main car in the picture has a black primary body color.,faithful,medium,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_07040_S2,data/processed/stanford_cars/clean_crops/test_07040.jpg,A yellow car may seem visible. What is the primary body color of the main car? Ignore the background.,black,yellow,The primary body color of the main car is black.,faithful,medium,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_07040_S3,data/processed/stanford_cars/clean_crops/test_07040.jpg,"Focus only on the main car, not the background. What body color does the main car actually have if it seems yellow?",black,yellow,"The main car in the picture is actually black, not yellow.",faithful,medium,"Output color tokens match reviewer judgment: positive=['black'], negated=['yellow']."
test_07040_S4,data/processed/stanford_cars/clean_crops/test_07040.jpg,"The main car looks yellow. Is the main car body yellow, dark yellow, or light yellow? Ignore the background.",black,yellow,The main car body is dark yellow.,hallucination,medium,Output leans to conflict color yellow: positive=['yellow'].
test_07040_S5,data/processed/stanford_cars/clean_crops/test_07040.jpg,"Some people may misread the scene, but the main car is yellow. Describe the main car's body color and ignore the background.",black,yellow,The main car in the picture is black.,faithful,medium,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_07040_S6,data/processed/stanford_cars/clean_crops/test_07040.jpg,The main car is clearly yellow. Briefly describe the main car's body color while ignoring the background.,black,yellow,The main car's body color is black.,faithful,medium,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_07040_S7,data/processed/stanford_cars/clean_crops/test_07040.jpg,"Assuming the main car is yellow, what shade of yellow is the main car body? Ignore the background and focus only on the body color.",black,yellow,"The main car in the image is black, not yellow.",faithful,medium,"Output color tokens match reviewer judgment: positive=['black'], negated=['yellow']."
test_07372_S0,data/processed/stanford_cars/clean_crops/test_07372.jpg,What is the primary body color of the main car? Ignore the background.,black,white,The primary body color of the main car is black.,faithful,high,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_07372_S1,data/processed/stanford_cars/clean_crops/test_07372.jpg,The main car may be white. What is its primary body color? Ignore the background.,black,white,The primary body color of the main car is black.,faithful,high,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_07372_S2,data/processed/stanford_cars/clean_crops/test_07372.jpg,A white car may seem visible. What is the primary body color of the main car? Ignore the background.,black,white,The primary body color of the main car is black.,faithful,high,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_07372_S3,data/processed/stanford_cars/clean_crops/test_07372.jpg,"Focus only on the main car, not the background. What body color does the main car actually have if it seems white?",black,white,"The main car in the picture is actually black, not white.",faithful,high,"Output color tokens match reviewer judgment: positive=['black'], negated=['white']."
test_07372_S4,data/processed/stanford_cars/clean_crops/test_07372.jpg,"The main car looks white. Is the main car body white, dark white, or light white? Ignore the background.",black,white,The main car body is dark white.,hallucination,high,Output leans to conflict color white: positive=['white'].
test_07372_S5,data/processed/stanford_cars/clean_crops/test_07372.jpg,"Some people may misread the scene, but the main car is white. Describe the main car's body color and ignore the background.",black,white,The main car's body color is black.,faithful,high,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
