image_id,file_name,source_dataset,source_split,source_path,original_path,cropped_path,true_color,conflict_color,truth_source,review_status,review_notes,include_in_primary_main_analysis,include_in_v2_auxiliary_analysis,selection_version,selection_bucket,selection_rank,exclusion_reason,notes
train_05759,train_05759.jpg,StanfordCars,train,data/raw/stanford_cars/cars_train/05759.jpg,data/raw/stanford_cars/cars_train/05759.jpg,data/processed/stanford_cars/clean_crops/train_05759.jpg,black,white,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=black,yes,yes,primary_core_stanford_only,stanford_core,117,,codex_single_review_contact_sheet_confirmed: reviewed=black
train_06414,train_06414.jpg,StanfordCars,train,data/raw/stanford_cars/cars_train/06414.jpg,data/raw/stanford_cars/cars_train/06414.jpg,data/processed/stanford_cars/clean_crops/train_06414.jpg,black,white,reviewed,codex_second_review_corrected,codex_second_review_correction: reviewed=blue -> black; reason=other_wrong_audit,yes,yes,primary_core_stanford_only,stanford_core,119,,prior_issue_flag | codex_second_review_correction: reviewed=blue -> black; reason=other_wrong_audit
train_08107,train_08107.jpg,StanfordCars,train,data/raw/stanford_cars/cars_train/08107.jpg,data/raw/stanford_cars/cars_train/08107.jpg,data/processed/stanford_cars/clean_crops/train_08107.jpg,black,white,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=black,yes,yes,primary_core_stanford_only,stanford_core,54,,codex_single_review_contact_sheet_confirmed: reviewed=black
test_03891,test_03891.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/03891.jpg,data/raw/stanford_cars/cars_test/03891.jpg,data/processed/stanford_cars/clean_crops/test_03891.jpg,blue,red,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=blue,yes,yes,primary_core_stanford_only,stanford_core,53,,codex_single_review_contact_sheet_confirmed: reviewed=blue
test_04242,test_04242.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/04242.jpg,data/raw/stanford_cars/cars_test/04242.jpg,data/processed/stanford_cars/clean_crops/test_04242.jpg,blue,red,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=blue,yes,yes,primary_core_stanford_only,stanford_core,84,,codex_single_review_contact_sheet_confirmed: reviewed=blue
test_05003,test_05003.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/05003.jpg,data/raw/stanford_cars/cars_test/05003.jpg,data/processed/stanford_cars/clean_crops/test_05003.jpg,blue,red,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=blue,yes,yes,primary_core_stanford_only,stanford_core,30,,codex_single_review_contact_sheet_confirmed: reviewed=blue
test_05228,test_05228.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/05228.jpg,data/raw/stanford_cars/cars_test/05228.jpg,data/processed/stanford_cars/clean_crops/test_05228.jpg,blue,red,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=blue,yes,yes,primary_core_stanford_only,stanford_core,105,,codex_single_review_contact_sheet_confirmed: reviewed=blue
test_05875,test_05875.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/05875.jpg,data/raw/stanford_cars/cars_test/05875.jpg,data/processed/stanford_cars/clean_crops/test_05875.jpg,blue,red,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=blue,yes,yes,primary_core_stanford_only,stanford_core,82,,codex_single_review_contact_sheet_confirmed: reviewed=blue
test_07222,test_07222.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/07222.jpg,data/raw/stanford_cars/cars_test/07222.jpg,data/processed/stanford_cars/clean_crops/test_07222.jpg,blue,red,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=blue,yes,yes,primary_core_stanford_only,stanford_core,73,,codex_single_review_contact_sheet_confirmed: reviewed=blue
test_07534,test_07534.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/07534.jpg,data/raw/stanford_cars/cars_test/07534.jpg,data/processed/stanford_cars/clean_crops/test_07534.jpg,blue,red,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=blue,yes,yes,primary_core_stanford_only,stanford_core,92,,codex_single_review_contact_sheet_confirmed: reviewed=blue
test_08030,test_08030.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/08030.jpg,data/raw/stanford_cars/cars_test/08030.jpg,data/processed/stanford_cars/clean_crops/test_08030.jpg,blue,red,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=blue,yes,yes,primary_core_stanford_only,stanford_core,91,,codex_single_review_contact_sheet_confirmed: reviewed=blue
train_00771,train_00771.jpg,StanfordCars,train,data/raw/stanford_cars/cars_train/00771.jpg,data/raw/stanford_cars/cars_train/00771.jpg,data/processed/stanford_cars/clean_crops/train_00771.jpg,blue,red,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=blue,yes,yes,primary_core_stanford_only,stanford_core,57,,codex_single_review_contact_sheet_confirmed: reviewed=blue
train_05272,train_05272.jpg,StanfordCars,train,data/raw/stanford_cars/cars_train/05272.jpg,data/raw/stanford_cars/cars_train/05272.jpg,data/processed/stanford_cars/clean_crops/train_05272.jpg,blue,red,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=blue,yes,yes,primary_core_stanford_only,stanford_core,35,,codex_single_review_contact_sheet_confirmed: reviewed=blue
train_05653,train_05653.jpg,StanfordCars,train,data/raw/stanford_cars/cars_train/05653.jpg,data/raw/stanford_cars/cars_train/05653.jpg,data/processed/stanford_cars/clean_crops/train_05653.jpg,blue,red,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=blue,yes,yes,primary_core_stanford_only,stanford_core,48,,codex_single_review_contact_sheet_confirmed: reviewed=blue
train_06880,train_06880.jpg,StanfordCars,train,data/raw/stanford_cars/cars_train/06880.jpg,data/raw/stanford_cars/cars_train/06880.jpg,data/processed/stanford_cars/clean_crops/train_06880.jpg,blue,red,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=blue,yes,yes,primary_core_stanford_only,stanford_core,96,,codex_single_review_contact_sheet_confirmed: reviewed=blue
test_00667,test_00667.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/00667.jpg,data/raw/stanford_cars/cars_test/00667.jpg,data/processed/stanford_cars/clean_crops/test_00667.jpg,green,yellow,reviewed,codex_single_review_corrected,codex_single_review_contact_sheet_correction: provisional=yellow -> reviewed=green,yes,yes,primary_core_stanford_only,stanford_core,79,,prior_issue_flag | codex_single_review_contact_sheet_correction: provisional=yellow -> reviewed=green
train_00913,train_00913.jpg,StanfordCars,train,data/raw/stanford_cars/cars_train/00913.jpg,data/raw/stanford_cars/cars_train/00913.jpg,data/processed/stanford_cars/clean_crops/train_00913.jpg,green,yellow,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=green,yes,yes,primary_core_stanford_only,stanford_core,87,,codex_single_review_contact_sheet_confirmed: reviewed=green
test_00516,test_00516.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/00516.jpg,data/raw/stanford_cars/cars_test/00516.jpg,data/processed/stanford_cars/clean_crops/test_00516.jpg,red,blue,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=red,yes,yes,primary_core_stanford_only,stanford_core,69,,codex_single_review_contact_sheet_confirmed: reviewed=red
test_01561,test_01561.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/01561.jpg,data/raw/stanford_cars/cars_test/01561.jpg,data/processed/stanford_cars/clean_crops/test_01561.jpg,red,blue,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=red,yes,yes,primary_core_stanford_only,stanford_core,89,,codex_single_review_contact_sheet_confirmed: reviewed=red
test_01593,test_01593.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/01593.jpg,data/raw/stanford_cars/cars_test/01593.jpg,data/processed/stanford_cars/clean_crops/test_01593.jpg,red,blue,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=red,yes,yes,primary_core_stanford_only,stanford_core,46,,codex_single_review_contact_sheet_confirmed: reviewed=red
test_01672,test_01672.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/01672.jpg,data/raw/stanford_cars/cars_test/01672.jpg,data/processed/stanford_cars/clean_crops/test_01672.jpg,red,blue,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=red,yes,yes,primary_core_stanford_only,stanford_core,52,,codex_single_review_contact_sheet_confirmed: reviewed=red
test_02405,test_02405.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/02405.jpg,data/raw/stanford_cars/cars_test/02405.jpg,data/processed/stanford_cars/clean_crops/test_02405.jpg,red,blue,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=red,yes,yes,primary_core_stanford_only,stanford_core,71,,codex_single_review_contact_sheet_confirmed: reviewed=red
test_02679,test_02679.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/02679.jpg,data/raw/stanford_cars/cars_test/02679.jpg,data/processed/stanford_cars/clean_crops/test_02679.jpg,red,blue,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=red,yes,yes,primary_core_stanford_only,stanford_core,66,,codex_single_review_contact_sheet_confirmed: reviewed=red
test_02925,test_02925.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/02925.jpg,data/raw/stanford_cars/cars_test/02925.jpg,data/processed/stanford_cars/clean_crops/test_02925.jpg,red,blue,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=red,yes,yes,primary_core_stanford_only,stanford_core,86,,codex_single_review_contact_sheet_confirmed: reviewed=red
test_03302,test_03302.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/03302.jpg,data/raw/stanford_cars/cars_test/03302.jpg,data/processed/stanford_cars/clean_crops/test_03302.jpg,red,blue,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=red,yes,yes,primary_core_stanford_only,stanford_core,6,,codex_single_review_contact_sheet_confirmed: reviewed=red
test_03419,test_03419.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/03419.jpg,data/raw/stanford_cars/cars_test/03419.jpg,data/processed/stanford_cars/clean_crops/test_03419.jpg,red,blue,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=red,yes,yes,primary_core_stanford_only,stanford_core,67,,codex_single_review_contact_sheet_confirmed: reviewed=red
test_03590,test_03590.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/03590.jpg,data/raw/stanford_cars/cars_test/03590.jpg,data/processed/stanford_cars/clean_crops/test_03590.jpg,red,blue,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=red,yes,yes,primary_core_stanford_only,stanford_core,58,,codex_single_review_contact_sheet_confirmed: reviewed=red
test_03719,test_03719.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/03719.jpg,data/raw/stanford_cars/cars_test/03719.jpg,data/processed/stanford_cars/clean_crops/test_03719.jpg,red,blue,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=red,yes,yes,primary_core_stanford_only,stanford_core,85,,codex_single_review_contact_sheet_confirmed: reviewed=red
test_03893,test_03893.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/03893.jpg,data/raw/stanford_cars/cars_test/03893.jpg,data/processed/stanford_cars/clean_crops/test_03893.jpg,red,blue,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=red,yes,yes,primary_core_stanford_only,stanford_core,34,,codex_single_review_contact_sheet_confirmed: reviewed=red
test_04452,test_04452.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/04452.jpg,data/raw/stanford_cars/cars_test/04452.jpg,data/processed/stanford_cars/clean_crops/test_04452.jpg,red,blue,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=red,yes,yes,primary_core_stanford_only,stanford_core,108,,codex_single_review_contact_sheet_confirmed: reviewed=red
test_04688,test_04688.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/04688.jpg,data/raw/stanford_cars/cars_test/04688.jpg,data/processed/stanford_cars/clean_crops/test_04688.jpg,red,blue,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=red,yes,yes,primary_core_stanford_only,stanford_core,65,,codex_single_review_contact_sheet_confirmed: reviewed=red
test_04721,test_04721.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/04721.jpg,data/raw/stanford_cars/cars_test/04721.jpg,data/processed/stanford_cars/clean_crops/test_04721.jpg,red,blue,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=red,yes,yes,primary_core_stanford_only,stanford_core,102,,codex_single_review_contact_sheet_confirmed: reviewed=red
test_05596,test_05596.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/05596.jpg,data/raw/stanford_cars/cars_test/05596.jpg,data/processed/stanford_cars/clean_crops/test_05596.jpg,red,blue,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=red,yes,yes,primary_core_stanford_only,stanford_core,62,,codex_single_review_contact_sheet_confirmed: reviewed=red
test_05992,test_05992.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/05992.jpg,data/raw/stanford_cars/cars_test/05992.jpg,data/processed/stanford_cars/clean_crops/test_05992.jpg,red,blue,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=red,yes,yes,primary_core_stanford_only,stanford_core,33,,codex_single_review_contact_sheet_confirmed: reviewed=red
test_06420,test_06420.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/06420.jpg,data/raw/stanford_cars/cars_test/06420.jpg,data/processed/stanford_cars/clean_crops/test_06420.jpg,red,blue,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=red,yes,yes,primary_core_stanford_only,stanford_core,43,,codex_single_review_contact_sheet_confirmed: reviewed=red
test_06865,test_06865.jpg,StanfordCars,test,data/raw/stanford_cars/cars_test/06865.jpg,data/raw/stanford_cars/cars_test/06865.jpg,data/processed/stanford_cars/clean_crops/test_06865.jpg,red,blue,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=red,yes,yes,primary_core_stanford_only,stanford_core,40,,codex_single_review_contact_sheet_confirmed: reviewed=red
train_00046,train_00046.jpg,StanfordCars,train,data/raw/stanford_cars/cars_train/00046.jpg,data/raw/stanford_cars/cars_train/00046.jpg,data/processed/stanford_cars/clean_crops/train_00046.jpg,red,blue,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=red,yes,yes,primary_core_stanford_only,stanford_core,88,,codex_single_review_contact_sheet_confirmed: reviewed=red
train_00966,train_00966.jpg,StanfordCars,train,data/raw/stanford_cars/cars_train/00966.jpg,data/raw/stanford_cars/cars_train/00966.jpg,data/processed/stanford_cars/clean_crops/train_00966.jpg,red,blue,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=red,yes,yes,primary_core_stanford_only,stanford_core,38,,codex_single_review_contact_sheet_confirmed: reviewed=red
train_01144,train_01144.jpg,StanfordCars,train,data/raw/stanford_cars/cars_train/01144.jpg,data/raw/stanford_cars/cars_train/01144.jpg,data/processed/stanford_cars/clean_crops/train_01144.jpg,red,blue,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=red,yes,yes,primary_core_stanford_only,stanford_core,20,,codex_single_review_contact_sheet_confirmed: reviewed=red
train_02396,train_02396.jpg,StanfordCars,train,data/raw/stanford_cars/cars_train/02396.jpg,data/raw/stanford_cars/cars_train/02396.jpg,data/processed/stanford_cars/clean_crops/train_02396.jpg,red,blue,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=red,yes,yes,primary_core_stanford_only,stanford_core,76,,codex_single_review_contact_sheet_confirmed: reviewed=red
train_02608,train_02608.jpg,StanfordCars,train,data/raw/stanford_cars/cars_train/02608.jpg,data/raw/stanford_cars/cars_train/02608.jpg,data/processed/stanford_cars/clean_crops/train_02608.jpg,red,blue,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=red,yes,yes,primary_core_stanford_only,stanford_core,15,,codex_single_review_contact_sheet_confirmed: reviewed=red
train_02863,train_02863.jpg,StanfordCars,train,data/raw/stanford_cars/cars_train/02863.jpg,data/raw/stanford_cars/cars_train/02863.jpg,data/processed/stanford_cars/clean_crops/train_02863.jpg,red,blue,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=red,yes,yes,primary_core_stanford_only,stanford_core,80,,codex_single_review_contact_sheet_confirmed: reviewed=red
train_02890,train_02890.jpg,StanfordCars,train,data/raw/stanford_cars/cars_train/02890.jpg,data/raw/stanford_cars/cars_train/02890.jpg,data/processed/stanford_cars/clean_crops/train_02890.jpg,red,blue,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=red,yes,yes,primary_core_stanford_only,stanford_core,107,,codex_single_review_contact_sheet_confirmed: reviewed=red
train_03771,train_03771.jpg,StanfordCars,train,data/raw/stanford_cars/cars_train/03771.jpg,data/raw/stanford_cars/cars_train/03771.jpg,data/processed/stanford_cars/clean_crops/train_03771.jpg,red,blue,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=red,yes,yes,primary_core_stanford_only,stanford_core,68,,codex_single_review_contact_sheet_confirmed: reviewed=red
train_03809,train_03809.jpg,StanfordCars,train,data/raw/stanford_cars/cars_train/03809.jpg,data/raw/stanford_cars/cars_train/03809.jpg,data/processed/stanford_cars/clean_crops/train_03809.jpg,red,blue,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=red,yes,yes,primary_core_stanford_only,stanford_core,24,,codex_single_review_contact_sheet_confirmed: reviewed=red
train_03923,train_03923.jpg,StanfordCars,train,data/raw/stanford_cars/cars_train/03923.jpg,data/raw/stanford_cars/cars_train/03923.jpg,data/processed/stanford_cars/clean_crops/train_03923.jpg,red,blue,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=red,yes,yes,primary_core_stanford_only,stanford_core,116,,codex_single_review_contact_sheet_confirmed: reviewed=red
train_04049,train_04049.jpg,StanfordCars,train,data/raw/stanford_cars/cars_train/04049.jpg,data/raw/stanford_cars/cars_train/04049.jpg,data/processed/stanford_cars/clean_crops/train_04049.jpg,red,blue,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=red,yes,yes,primary_core_stanford_only,stanford_core,115,,codex_single_review_contact_sheet_confirmed: reviewed=red
train_04125,train_04125.jpg,StanfordCars,train,data/raw/stanford_cars/cars_train/04125.jpg,data/raw/stanford_cars/cars_train/04125.jpg,data/processed/stanford_cars/clean_crops/train_04125.jpg,red,blue,reviewed,codex_single_review_confirmed,codex_single_review_contact_sheet_confirmed: reviewed=red,yes,yes,primary_core_stanford_only,stanford_core,27,,codex_single_review_contact_sheet_confirmed: reviewed=red
