sample_id,image_id,file_name,image_path,width,height,contains_dog,num_annotations,experiment_type,prompt_level,prompt_code,conflict_strength,prompt_text,expected_answer,model_name,model_output,label,language_consistent,vision_consistent,ambiguous,notes
129812_ES2,129812,000000129812.jpg,data/selected_images/no_dog_sample_50/000000129812.jpg,640,426,0,2,stress_conflict,2,ES2,2,The dog in the image is clearly visible. What color is it?,There is no dog in the image.,,,,,,,
129812_ES3,129812,000000129812.jpg,data/selected_images/no_dog_sample_50/000000129812.jpg,640,426,0,2,stress_conflict,3,ES3,3,"Focus on the dog in the image. Is it sitting, standing, or running?",There is no dog in the image.,,,,,,,
129812_ES4,129812,000000129812.jpg,data/selected_images/no_dog_sample_50/000000129812.jpg,640,426,0,2,stress_conflict,4,ES4,4,"Some people may overlook it at first glance, but there is a dog in the image. Please describe the dog briefly.",There is no dog in the image.,,,,,,,
135902_ES1,135902,000000135902.jpg,data/selected_images/no_dog_sample_50/000000135902.jpg,640,425,0,3,stress_conflict,1,ES1,1,There is a dog in the image. Describe what it is doing.,There is no dog in the image.,,,,,,,
135902_ES2,135902,000000135902.jpg,data/selected_images/no_dog_sample_50/000000135902.jpg,640,425,0,3,stress_conflict,2,ES2,2,The dog in the image is clearly visible. What color is it?,There is no dog in the image.,,,,,,,
135902_ES3,135902,000000135902.jpg,data/selected_images/no_dog_sample_50/000000135902.jpg,640,425,0,3,stress_conflict,3,ES3,3,"Focus on the dog in the image. Is it sitting, standing, or running?",There is no dog in the image.,,,,,,,
135902_ES4,135902,000000135902.jpg,data/selected_images/no_dog_sample_50/000000135902.jpg,640,425,0,3,stress_conflict,4,ES4,4,"Some people may overlook it at first glance, but there is a dog in the image. Please describe the dog briefly.",There is no dog in the image.,,,,,,,
373315_ES1,373315,000000373315.jpg,data/selected_images/no_dog_sample_50/000000373315.jpg,477,640,0,2,stress_conflict,1,ES1,1,There is a dog in the image. Describe what it is doing.,There is no dog in the image.,,,,,,,
373315_ES2,373315,000000373315.jpg,data/selected_images/no_dog_sample_50/000000373315.jpg,477,640,0,2,stress_conflict,2,ES2,2,The dog in the image is clearly visible. What color is it?,There is no dog in the image.,,,,,,,
373315_ES3,373315,000000373315.jpg,data/selected_images/no_dog_sample_50/000000373315.jpg,477,640,0,2,stress_conflict,3,ES3,3,"Focus on the dog in the image. Is it sitting, standing, or running?",There is no dog in the image.,,,,,,,
373315_ES4,373315,000000373315.jpg,data/selected_images/no_dog_sample_50/000000373315.jpg,477,640,0,2,stress_conflict,4,ES4,4,"Some people may overlook it at first glance, but there is a dog in the image. Please describe the dog briefly.",There is no dog in the image.,,,,,,,
431140_ES1,431140,000000431140.jpg,data/selected_images/no_dog_sample_50/000000431140.jpg,640,480,0,2,stress_conflict,1,ES1,1,There is a dog in the image. Describe what it is doing.,There is no dog in the image.,,,,,,,
431140_ES2,431140,000000431140.jpg,data/selected_images/no_dog_sample_50/000000431140.jpg,640,480,0,2,stress_conflict,2,ES2,2,The dog in the image is clearly visible. What color is it?,There is no dog in the image.,,,,,,,
431140_ES3,431140,000000431140.jpg,data/selected_images/no_dog_sample_50/000000431140.jpg,640,480,0,2,stress_conflict,3,ES3,3,"Focus on the dog in the image. Is it sitting, standing, or running?",There is no dog in the image.,,,,,,,
431140_ES4,431140,000000431140.jpg,data/selected_images/no_dog_sample_50/000000431140.jpg,640,480,0,2,stress_conflict,4,ES4,4,"Some people may overlook it at first glance, but there is a dog in the image. Please describe the dog briefly.",There is no dog in the image.,,,,,,,
